"SELECTIF REGIONAL SLALOM DU PONT ROYAL - Orleans - 2007-09-30","Course 1","2007-09-30","Régional","119"
"Nicolas Arnoult","K1H","213.66","-","287",""
"Boris Sacre","K1H","214.58","175","293",""
"Timothee Venot","K1H","215.02","277","296",""
"Yoann Turowsky","K1H","216.17","351","303",""
"Marquais Kevin","K1H","216.49","398","304",""
"Kevine Cliquet","K1H","217.30","-","309",""
"Matthieu Basset","K1H","217.47","290","311",""
"Jean-noel Avril","K1H","217.49","300","311",""
"Flavien Odile","K1H","217.92","312","314",""
"Arthur Feraud","K1H","219.84","397","325",""
"Pierre Bontoux","K1H","220.49","283","329",""
"Keuterick Yohan","K1H","221.23","366","334",""
"Bessiere Florian","K1H","228.20","330","376",""
"Alexandre Bordas","K1H","229.79","515","386",""
"Baptiste Grosjean","K1H","231.56","-","396",""
"Romain Faurie","K1H","231.77","499","397",""
"Jerome Augustine","K1H","233.51","-","409",""
"Gael Prodeau","K1H","235.59","525","421",""
"Gaillot Mathias","K1H","237.50","390","433",""
"Jan Baudet","K1H","239.38","598","445",""
"Maxime Thoreau","K1H","240.57","-","452",""
"Antoine Beaudoin","K1H","241.72","-","459",""
"Ronan Collin","K1H","243.38","-","469",""
"Guillaume Tagand","K1H","243.85","-","472",""
"Remi Vallin","K1H","244.75","556","477",""
"Antoine Colas","K1H","245.28","-","480",""
"David Couture","K1H","249.73","-","507",""
"Augustin Sacaze","K1H","251.50","484","519",""
"Normand Aymeric","K1H","252.32","-","523",""
"Alexandre Avril","K1H","252.85","586","526",""
"Benoit Ropital","K1H","254.90","-","539",""
"Henri Despont","K1H","256.85","-","551",""
"Colas Geier","K1H","257.13","1159","552",""
"Cheron Valentin","K1H","257.30","449","553",""
"Nicolas Petipez","K1H","259.26","906","566",""
"Simon Philibert","K1H","259.96","203","570",""
"Bonenfant Alexis","K1H","261.20","-","577",""
"Neveu Remi","K1H","265.69","652","605",""
"Foulier Odilon","K1H","273.88","-","655",""
"Paul Bornier","K1H","274.05","599","656",""
"Gerard Cartier","K1H","276.97","-","674",""
"Valentin Millet Naas","K1H","287.72","-","740",""
"Abrell Thomas","K1H","290.94","-","760",""
"Dominique Odile","K1H","291.31","544","762",""
"Benjamin Millet Naas","K1H","293.41","591","774",""
"Emmanuel Despont","K1H","294.87","571","783",""
"Beaulieu Alain","K1H","296.11","914","791",""
"Adrien Kaiser","K1H","302.29","668","829",""
"Valentin Blondel","K1H","308.45","-","866",""
"Eric Pouradier","K1H","317.73","-","923",""
"Marquais Alexis","K1H","333.77","-","1020",""
"Sylvain Georges","K1H","334.60","-","1025",""
"Nicolas Leconte","K1H","348.19","825","1108",""
"Anthime Larousse","K1H","365.94","1357","1217",""
"Saulnier Antoine","K1H","378.84","-","1295",""
"Aurelien Ballandras","K1H","384.79","-","1332",""
"Youcef Bahlat","K1H","390.66","318","1368",""
"Wilhelm Heimburger","K1H","491.95","876","1986",""
"Meriel Paul","K1H","498.26","-","2024",""
"Quentin Nerborac","K1H","516.95","-","2138",""
"Moreau Dean","K1H","563.98","-","2426",""
"Felix Thomas","K1H","568.22","-","2451",""
"Vincent Nicolosi","K1H","604.91","-","2675",""
"Duterme Geofrey","K1H","759.71","-","3620",""
