"Sélectif Régional - Veigne - Course 2 | Finale - 2014-11-16","Course 2 | Finale","2014-11-16","Régional","141"
"Jules Heurtin","K1HM","113.39","-","-","Course 2 | Finale A"
"Tom Genest","K1HM","113.5","-","467.46","Course 2 | Finale A"
"Alexis Bobon","K1HM","115.3","-","490.58","Course 2 | Finale A"
"Florian Sauvage","K1HM","118.93","-","-","Course 2 | Finale A"
"Xavier Jourdain","C1H","106.37","259.2","315.83","Course 2 | Finale B"
"Janos Peterlin","C1H","106.79","-","320.97","Course 2 | Finale B"
"Adrien Picco","C1H","110.12","355.64","361.7","Course 2 | Finale B"
"Christophe Augu","C1H","110.88","-","371","Course 2 | Finale B"
"Lucas Pagnard - Tissier","C1H","111.09","408.36","373.57","Course 2 | Finale B"
"Benjamin Thouvignon","C1H","112.11","352.58","386.04","Course 2 | Finale B"
"Nicolas Thomas","C1H","113.5","-","403.04","Course 2 | Finale B"
"Theo Foucher","C1H","117.73","405.7","454.79","Course 2 | Finale B"
"Herve Busson","C1H","118.1","425.76","459.31","Course 2 | Finale B"
"Jeremy Bretteville","C1H","120.71","-","491.24","Course 2 | Finale B"
"Theo Renaud","C1H","126.34","436.8","560.11","Course 2 | Finale B"
"Collin Pouradier","C1H","163.12","-","1009.99","Course 2 | Finale B"
"Lucas Godevin","C1H","Abs","-","-","Course 2 | Finale B"
"Joseph Martin","C1HM","138.62","-","710.31","Course 2 | Finale B"
"Tom Genest","C1HM","143.57","-","770.86","Course 2 | Finale B"
"Florian Sauvage","C1HM","144.13","-","-","Course 2 | Finale B"
"Emeric Bussonnais","C1HM","159.96","-","971.34","Course 2 | Finale B"
"Martin Barbier","C1HM","Abd","-","-","Course 2 | Finale B"
"Christophe Augu-Benjamin Thouvignon","C2H","117.13","-","382.33","Course 2 | Finale B"
"Paul Tallet Pinet-Nicolas Leconte","C2H","124.27","358.36","465.69","Course 2 | Finale B"
"Charles Beaumont-Lucas Pagnard - Tissier","C2H","135.93","573.24","601.84","Course 2 | Finale B"
"Emilie Chamouleau","K1D","113.69","233.51","306.92","Course 2 | Finale B"
"Tiphaine Drouin","K1D","117.9","288.36","354.76","Course 2 | Finale B"
"Laurine Naveau","K1D","Abs","-","-","Course 2 | Finale B"
"Gauthier Vanden  Abeele","K1H","108.05","387.72","402.46","Course 2 | Finale B"
"Paulin Cachanado","K1H","108.78","372.83","411.84","Course 2 | Finale B"
"Florian Torche","K1H","109.32","596.95","418.78","Course 2 | Finale B"
"Jeremy Bretteville","K1H","109.41","-","419.93","Course 2 | Finale B"
"Samuel Breton","K1H","109.82","384.23","425.2","Course 2 | Finale B"
"Julien Paulais","K1H","110.02","-","427.77","Course 2 | Finale B"
"Jean Terasas","K1H","110.15","422.26","429.44","Course 2 | Finale B"
"Ludovic Couture","K1H","111.32","404.05","444.46","Course 2 | Finale B"
"Lucas Godevin","K1H","111.37","381.33","445.1","Course 2 | Finale B"
"Nicolas Leconte","K1H","112.19","426.63","455.64","Course 2 | Finale B"
"Olivier Brochard","K1H","112.63","417.47","461.29","Course 2 | Finale B"
"Florent Bouderlique","K1H","113.48","-","472.2","Course 2 | Finale B"
"Pierre Louis Ferre","K1H","114.47","907.39","484.92","Course 2 | Finale B"
"Pierre Huan","K1H","115.89","512.45","503.16","Course 2 | Finale B"
"Richard Gouget","K1H","122.47","657.54","587.67","Course 2 | Finale B"
"Benjamin Harreau","K1H","122.49","565.34","587.93","Course 2 | Finale B"
"Eric Pouradier","K1H","124.6","981.2","615.03","Course 2 | Finale B"
"Nicolas Petipez","K1H","126.78","651.06","643.02","Course 2 | Finale B"
"Ghislain Guyon","K1H","129.72","1089.67","680.78","Course 2 | Finale B"
"Antoine Repussard","K1H","132.75","964.94","719.7","Course 2 | Finale B"
"Gerard Lemonnier","K1H","137.2","614.94","776.85","Course 2 | Finale B"
"Benjamin Chausson","K1H","138.51","574.84","793.68","Course 2 | Finale B"
"Florent Dohet","K1H","147.14","1564.17","904.52","Course 2 | Finale B"
"Nicolas Mousset","K1H","149.77","-","938.3","Course 2 | Finale B"
"Collin Pouradier","K1H","157.63","874.75","1039.25","Course 2 | Finale B"
"Baptiste Carreau","K1H","158.41","-","1049.27","Course 2 | Finale B"
"Yohan Robert","K1H","182.73","874.4","1361.62","Course 2 | Finale B"
"Clement Collardez","K1H","187.63","-","1424.56","Course 2 | Finale B"
"Lucas Berthelot","K1H","Des","-","-","Course 2 | Finale B"
"Romain Branjauneau","K1HM","115.55","-","-","Course 2 | Finale B"
"Antoine Dey","K1HM","125.02","-","-","Course 2 | Finale B"
"Thijs Duvillard","K1HM","126.49","-","-","Course 2 | Finale B"
"Arthur Lagleyze","K1HM","126.8","-","643.28","Course 2 | Finale B"
"Anthony Dupoux","K1HM","133.14","-","724.71","Course 2 | Finale B"
"Mael Poirier","K1HM","145.55","-","884.1","Course 2 | Finale B"
"Romain Caburol","K1HM","148.11","-","916.98","Course 2 | Finale B"
"Johan Piat","K1HM","152.23","-","-","Course 2 | Finale B"
"Hugo Chevalier","K1HM","155.97","-","1017.93","Course 2 | Finale B"
"Sander Duvillard","K1HM","190.59","-","-","Course 2 | Finale B"
"Simon Diogo","K1HM","263.91","-","-","Course 2 | Finale B"
"Andre Filipe Nunes Marques","K1HM","292.86","-","2776.09","Course 2 | Finale B"
