"Sélectif Régional - Sélestat - 2012-09-30","Course 4","2012-09-30","Régional","154"
"Philippe Thevenin-Patrick Thevenin","C2H","118.75","177.33","233.83",""
"Nathan Barbier-Thibaut Chariot","C2H","120.79","292.98","255.45",""
"Nicolas Fritsch-Xavier Sucker","C2H","128.8","-","340.38",""
"Clement Travert-Lucas Galmiche","C2H","129.46","437.53","347.38",""
"Dylan Hirtz-Anthony Ulrich","C2H","145.53","868.63","517.76",""
"Eryck Dubuisson-Jeremy Collin","C2H","294.67","-","2099.05",""
"Emile Gousselot-Enrique Billet","C2H","Nt","-","-",""
"Quentin Crancee-Eryck Dubuisson","C2H","Nt","-","-",""
"Christine Poix-Emmanuel Del Rey","C2M","128.52","-","245.02",""
"Emma Maujean-Louis Savart","C2M","154.99","380.58","506.65",""
"Alexandre Lambert-Sarah Rothenbuhler","C2M","159.23","550.47","548.56",""
"Claire Haab-Pierre Marie Roussel","C2M","Nt","-","-",""
"Charlie Barbier-Laurine Grandadam","C2M","Nt","-","-",""
"Florianne Gautier","K1D","111.24","100.55","122.88",""
"Anne Traband","K1D","114.27","131.04","154.16",""
"Elodie Delavelle","K1D","120.83","189.86","221.86",""
"Lea Martin","K1D","121.16","-","225.27",""
"Cecile Meichel","K1D","124.65","281.94","261.29",""
"Julie Baumann","K1D","125.44","284.92","269.45",""
"Saskia De Bruijn","K1D","126.98","-","285.34",""
"Lucile Remond","K1D","127.43","312.52","289.98",""
"Emma Maujean","K1D","128.85","255.05","304.64",""
"Christelle Gilg","K1D","129.69","297.95","313.31",""
"Laure Camozzi","K1D","129.93","366.13","315.78",""
"Caroline Scherer","K1D","130.05","292.82","317.02",""
"Margaux Bandel","K1D","130.5","356.71","321.67",""
"Elsa Monnet","K1D","133.78","522.88","355.52",""
"Marlene Dumoulin","K1D","134.35","343.31","361.41",""
"Camille Zumstein","K1D","136.06","-","379.05",""
"Camille Billerach","K1D","136.85","344.01","387.21",""
"Manon Bucher","K1D","148.66","-","509.11",""
"Manon Louis","K1D","Nt","-","-",""
"Noemie Hauss","K1D","Nt","-","-",""
"Johanna Haug","K1D","Nt","-","-",""
"Carole Dolmaire","K1D","Nt","-","-",""
"Brigitte Marechal","K1D","Nt","-","-",""
"Sarah Rothenbuhler","K1D","Nt","-","-",""
"Laurine Grandadam","K1D","Nt","-","-",""
"Claire Haab","K1D","Nt","-","-",""
"Andrea Gratwohl","K1D","Nt","-","-",""
"Emmanuel Walczak","K1H","94.17","18.4","73.05",""
"Clement Travert","K1H","98.08","96.91","118.66",""
"Alexis Caspar","K1H","98.22","78.12","120.29",""
"Silvere Desongins","K1H","99.57","91.92","136.03",""
"Laurent Starck","K1H","100.12","107.19","142.45",""
"Pierre Marie Roussel","K1H","100.23","36.86","143.73",""
"Florient Tagnon","K1H","100.57","74.35","147.7",""
"Nicolas Burgi","K1H","101.35","113.97","156.79",""
"Jean Messialle","K1H","102.72","94.84","172.77",""
"Xavier Sucker","K1H","102.81","145.15","173.82",""
"Arnaud Pellizzoni","K1H","103.62","140.66","183.27",""
"Nicolas Mangeolle","K1H","103.68","146.28","183.97",""
"Xavier Marie","K1H","103.83","125.86","185.72",""
"Otello Willmann Rosso","K1H","104.14","187.57","189.33",""
"Olivier Urbain","K1H","104.7","172.12","195.86",""
"Billel Khenchouche","K1H","104.97","126.23","199.01",""
"Liam Jegou","K1H","105.39","155.18","203.91",""
"Nathan Barbier","K1H","106.21","86.27","213.48",""
"Charlie Barbier","K1H","106.24","119.21","213.83",""
"Maxime Bottex","K1H","106.85","197.79","220.94",""
"Paolo Willmann Rosso","K1H","106.95","242.71","222.11",""
"Jeremy Poux","K1H","107.75","187.58","231.44",""
"Guillaume Carpentier","K1H","108.08","-","235.29",""
"William Boutet","K1H","108.15","159.55","236.1",""
"Christophe Siffert","K1H","108.47","221.34","239.83",""
"Christophe Godinat","K1H","110.77","250.98","266.66",""
"Louis Savart","K1H","110.89","168.35","268.06",""
"Nicolas Fritsch","K1H","111.13","247.8","270.86",""
"Jean-baptiste Wolff","K1H","111.67","-","277.16",""
"Alexandre Allemang","K1H","111.79","442.85","278.55",""
"Lucas Galmiche","K1H","112.09","257.51","282.05",""
"Christophe Harding","K1H","112.35","245.5","285.09",""
"Pascal Philip","K1H","113.21","-","295.12",""
"Philippe Godinat","K1H","113.82","-","302.23",""
"Antoine Leroy","K1H","114.03","200.11","304.68",""
"Quentin Madureira","K1H","114.51","396","310.28",""
"Jordan Bostoen","K1H","114.62","-","311.56",""
"Dylan Hirtz","K1H","114.74","264.88","312.96",""
"Anthony Ulrich","K1H","114.75","306.14","313.08",""
"Damien Siegfried","K1H","114.82","240.43","313.89",""
"Matthieu Haab","K1H","114.86","320.11","314.36",""
"Florent Tamburini","K1H","115.29","253.29","319.38",""
"Romain Pergaud","K1H","116.99","358.68","339.2",""
"Erwan Rouch","K1H","117.4","317.95","343.98",""
"Jack Williams","K1H","118.58","395.32","357.75",""
"Vincent Herrenberger","K1H","118.63","301.78","358.33",""
"Nicolas Abel","K1H","118.94","366.85","361.95",""
"David Pierson","K1H","119.5","397.09","368.48",""
"Gilles Barthelemy","K1H","120.35","414.11","378.39",""
"Paul Frommer","K1H","120.96","390.67","385.5",""
"Victor Beau","K1H","122.34","374.32","401.6",""
"Alexandre Diemert","K1H","125.5","431.3","438.45",""
"Baptiste Maes","K1H","129.87","457.21","489.42",""
"Eric Louis","K1H","130.08","539.29","491.87",""
"Emile Gousselot","K1H","130.89","470.84","501.32",""
"Leo Di Jorio","K1H","131.78","918.85","511.7",""
"Alexandre Lambert","K1H","133.89","575.99","536.31",""
"Quentin Maillier","K1H","137.6","526.34","579.58",""
"Eryck Dubuisson","K1H","138.07","787.76","585.06",""
"Benjamin Aubry","K1H","140.64","701.16","615.03",""
"Julien Carisey","K1H","140.86","617.94","617.6",""
"Kyle Gelb","K1H","143.4","599.2","647.22",""
"Cyril Gallezot","K1H","164.57","280.19","894.13",""
"Enrique Billet","K1H","180.64","595.11","1081.55",""
"Damien Corler","K1H","198.82","-","1293.58",""
"Ludovic Mazimann","K1H","212.85","-","1457.21",""
"Quentin Robert","K1H","Nt","-","-",""
"Laurent Guyot","K1H","Nt","-","-",""
"Pierre Aubry","K1H","Nt","-","-",""
"Jean Guyot","K1H","Nt","-","-",""
"Florian Balhuizen","K1H","Nt","-","-",""
"Fabien Fritsch","K1H","Nt","-","-",""
"Christophe Billaud","K1H","Nt","-","-",""
"Christophe Dalla-zuana","K1H","Nt","-","-",""
"Maxence Grandadam","K1H","Nt","-","-",""
"Thibaut Chariot","K1H","Nt","-","-",""
"Julien Haberland","K1H","Nt","-","-",""
"Lukas Werro","K1H","Nt","-","-",""
