"Sélectif régional - Cergy-Neuville - 2005-10-16","Course 1","2005-10-16","Régional","235"
"Delabarre Kevin- Delamare Julien","C2H","652.75","889","3234",""
"Claire Landrin","K1D","183.34","66","104",""
"Caroline Bourry","K1D","185.35","76","117",""
"Dejours Nelly","K1D","188.87","101","139",""
"Caroline Loir","K1D","190.45","213","149",""
"Chevrier Cecile","K1D","195.14","80","180",""
"Goncalves Caroline","K1D","198.51","-","201",""
"Bucar Masa","K1D","215.95","343","314",""
"Tifenn Van Delft","K1D","218.40","239","329",""
"Nathalie Gil","K1D","222.38","322","354",""
"Clara Yang-ting","K1D","222.88","317","358",""
"Defoix Angelique","K1D","223.15","215","360",""
"Lea Feuillard","K1D","224.63","340","369",""
"Celia Jodar","K1D","230.88","-","410",""
"Fievez Julie","K1D","249.56","377","529",""
"Beuvin Camille","K1D","258.20","229","585",""
"Heroui Lynda","K1D","293.86","-","814",""
"Picart Carole","K1D","301.71","417","864",""
"Vinzend Ingrid Thuy Vi","K1D","302.31","-","868",""
"Pauline Pillion","K1D","354.54","500","1203",""
"Camille Gil","K1D","355.05","-","1207",""
"Cart Sophie","K1D","435.05","-","1721",""
"Charlotte Hay","K1D","443.32","371","1774",""
"Fiora Bourges","K1D","504.99","-","2170",""
"Delecolle Audrey","K1D","582.85","-","2670",""
"Remy Julie","K1D","583.85","490","2677",""
"Christophe Augu","K1H","162.78","31","108",""
"Quentin Bove","K1H","163.82","91","115",""
"Coiffe Florion","K1H","165.02","135","124",""
"Ronan Lucas","K1H","165.40","130","127",""
"Venceslas Viseur","K1H","166.57","56","135",""
"Louis Philippe Rigal","K1H","166.60","126","136",""
"Benjamin Thouvignon","K1H","167.26","121","140",""
"Xavier Jourdain","K1H","167.70","133","144",""
"Yoann Hautecloche","K1H","167.86","128","145",""
"Oswald Besch","K1H","168.32","120","148",""
"Michel Gombert","K1H","169.22","129","155",""
"Thibaud Delaunay","K1H","169.30","60","155",""
"Gregory Busson","K1H","169.78","135","159",""
"Sarazin Emmanuel","K1H","169.82","126","159",""
"Emile Devaux","K1H","170.92","190","167",""
"Julien Daumont","K1H","171.06","179","168",""
"Pierre Pans","K1H","171.36","116","170",""
"De Berchen Sebastien","K1H","172.17","110","176",""
"Olivier Machiels","K1H","172.55","206","179",""
"Romain Bove","K1H","172.60","170","179",""
"Benjamin Thiboust","K1H","172.62","208","179",""
"Benjamin Buys","K1H","172.91","107","181",""
"Julien Antide","K1H","173.09","-","182",""
"Paul Brier","K1H","174.42","129","192",""
"Maubourguet Mathias","K1H","174.49","220","193",""
"Philippe Daumont","K1H","174.61","213","193",""
"Mikael Maupin","K1H","174.96","166","197",""
"Aurel Sebastien","K1H","177.00","228","211",""
"Gilles Flores","K1H","178.15","255","220",""
"Vincent Reiter","K1H","179.63","167","230",""
"Florian Perenchio","K1H","180.11","244","234",""
"Dupont Eric","K1H","180.24","201","234",""
"Jeremy Poux","K1H","180.38","201","235",""
"Antoine Lebastard","K1H","181.29","182","242",""
"Loic Monbel","K1H","181.48","296","244",""
"Meynier Nicolas","K1H","181.50","-","244",""
"Romain Fraisse","K1H","181.95","337","247",""
"Julien Darees","K1H","182.15","318","249",""
"Jeremy Cremonesi","K1H","182.52","212","251",""
"Laurent Van Poucke","K1H","182.56","241","252",""
"Le Berte Maxime","K1H","182.57","250","252",""
"Thomas Rollot","K1H","182.62","269","252",""
"Alexandre Guerinet","K1H","183.18","241","256",""
"Timothee Venot","K1H","183.30","313","257",""
"Didier Niel","K1H","183.77","254","261",""
"Lagache Jean Christophe","K1H","184.77","310","267",""
"Jean-noel Avril","K1H","185.44","334","273",""
"Valadon Louis","K1H","185.68","198","274",""
"Pierre Baux","K1H","185.80","261","275",""
"Christophe Gosselin","K1H","186.28","226","278",""
"Yves Moreno","K1H","186.31","275","278",""
"Simon Joudou","K1H","187.02","277","284",""
"Franck Dessaint","K1H","188.43","237","294",""
"Soete Arnaud","K1H","190.00","290","306",""
"Bastien Darcillon","K1H","190.05","296","306",""
"Julien Fougeron","K1H","192.62","-","325",""
"Nicolas Dupres","K1H","192.80","305","326",""
"Philippe Valeri","K1H","193.28","303","329",""
"Gaetan Kieffert","K1H","193.37","376","330",""
"Julien Vetele","K1H","193.63","253","331",""
"Anthony Mottais","K1H","193.68","336","332",""
"Jean-luc Mottais","K1H","194.65","304","339",""
"Bonnin Sylvain","K1H","194.88","329","341",""
"Alban Planchais","K1H","194.97","335","341",""
"Eric Lamour","K1H","195.26","353","343",""
"Josselin Bertrand","K1H","197.07","-","357",""
"Axel Marais","K1H","197.13","-","357",""
"Samuel Lhegu","K1H","197.17","-","358",""
"Thenon Gregori","K1H","197.74","390","361",""
"Tourte Etienne","K1H","197.87","286","362",""
"Soria Amaury","K1H","198.28","317","366",""
"Jerome Mailfait","K1H","198.97","-","371",""
"Sebastien Delaunay","K1H","199.12","351","372",""
"Guillaume Doutreix","K1H","200.10","381","379",""
"Simon Philibert","K1H","200.92","426","384",""
"Viratelle Vincent","K1H","201.13","353","386",""
"Lahaye Paulin","K1H","201.82","-","391",""
"Nedelec Etienne","K1H","204.16","-","409",""
"Eric Marmet","K1H","204.22","350","409",""
"Gaetan Dheilly","K1H","204.41","384","410",""
"Boris Sacre","K1H","204.93","-","414",""
"Maurice Gregory","K1H","205.51","-","419",""
"Barnavon Guillaume","K1H","205.73","620","420",""
"Zawadzki Wilfried","K1H","206.15","401","423",""
"Reus Frederic","K1H","207.64","414","434",""
"Benjamin Fourmet","K1H","207.81","471","435",""
"Drisch Nicolas","K1H","208.31","411","438",""
"Stephane Sagnier","K1H","209.93","392","451",""
"Friquet Arnaud","K1H","210.68","396","456",""
"Gerard Lafargue","K1H","211.29","352","460",""
"Thibault Dhennin","K1H","211.40","-","460",""
"Johann Beldame","K1H","211.54","368","462",""
"Antoine Deffontaine","K1H","211.66","487","463",""
"Saillard Julien","K1H","211.86","-","464",""
"Remy Daumont","K1H","212.04","436","466",""
"Germain Carre","K1H","212.84","457","471",""
"Dinally Ganny","K1H","213.71","-","478",""
"Laurent Bes","K1H","213.80","-","478",""
"Depreck Josselin","K1H","215.36","533","489",""
"Kermer Serge","K1H","215.51","547","490",""
"Desemerie Thomas","K1H","219.91","453","522",""
"Barnavon Nicolas","K1H","220.36","482","526",""
"Debruyere Benjamin","K1H","223.52","263","549",""
"Camille Mege","K1H","223.56","493","549",""
"Sassatelli Nicolas","K1H","228.92","-","588",""
"Lair Nicolas","K1H","232.27","245","613",""
"Malderez Sebastien","K1H","252.96","334","763",""
"Jodar Sebastien","K1H","254.64","342","775",""
"Vieillard Alexis","K1H","257.61","258","796",""
"Simon Bonnet","K1H","257.86","370","798",""
"Mannier Quentin","K1H","258.54","414","803",""
"Nicolas Girault","K1H","258.82","538","805",""
"Paul Poulet","K1H","259.22","434","808",""
"Quentin Chopart","K1H","262.46","-","831",""
"Holleville Guillaume","K1H","266.35","453","860",""
"Verger Nicolas","K1H","266.97","419","864",""
"Quentin Moreaux","K1H","267.12","630","866",""
"Pascault Didier","K1H","270.62","-","891",""
"Launay Emmanuel","K1H","275.92","476","930",""
"Dubu Alain","K1H","277.99","377","944",""
"Parguel Nicolas","K1H","278.34","-","947",""
"Adel Faycal","K1H","286.07","450","1002",""
"Gilles Lucas","K1H","287.68","430","1015",""
"Jeremy Huguenin","K1H","290.15","-","1032",""
"Dupin Nicolas","K1H","291.84","628","1044",""
"Lecomte Romain","K1H","293.22","538","1054",""
"Florian Lefebvre","K1H","294.95","-","1067",""
"Jean-loup Bachmann","K1H","296.07","-","1075",""
"Poupart Maxime","K1H","296.50","654","1079",""
"Keuterick Yohan","K1H","298.79","530","1095",""
"Batstraen Louis","K1H","299.45","-","1099",""
"Bayeux Aurelien","K1H","299.87","-","1103",""
"Julien Signarbieux","K1H","305.43","330","1144",""
"Gaillard Sebastien","K1H","322.16","-","1265",""
"Loic Gobert","K1H","341.31","-","1404",""
"Valentin Casse","K1H","343.85","680","1422",""
"Thomas Plomion","K1H","353.78","510","1495",""
"Adrien Alusse","K1H","354.07","-","1497",""
"Leclerc Julien","K1H","357.13","614","1519",""
"Thomas Viratelle","K1H","363.14","-","1562",""
"Aimeric Brouillard","K1H","367.23","948","1592",""
"Chemin Ludovic","K1H","367.24","-","1592",""
"Quentin Dheilly","K1H","370.40","-","1615",""
"Brouillard Thibault","K1H","382.84","665","1705",""
"Pierre Bontoux","K1H","388.60","-","1747",""
"Maxime Raux","K1H","400.63","-","1835",""
"Alexandre Peslin","K1H","401.85","-","1843",""
"Baptiste Grosjean","K1H","414.16","829","1933",""
"Coudray Sylvain","K1H","433.44","825","2073",""
"Baudry Pierre Luc","K1H","465.96","819","2309",""
"Domenger Paul","K1H","479.43","651","2406",""
"Aurelien Noiret","K1H","484.80","-","2445",""
"Opfermann Alexandre","K1H","498.79","-","2546",""
"Berenger Bonnard","K1H","501.33","816","2565",""
"Coudiere Sebastien","K1H","508.15","452","2615",""
"Bequignon Nicolas","K1H","525.35","589","2740",""
"Hugo Francois","K1H","544.36","-","2878",""
"Damien Jacques","K1H","553.00","841","2940",""
"Coupin Olivier","K1H","557.23","688","2971",""
"Brivot Victorien","K1H","581.10","-","3145",""
"Cheron Valentin","K1H","609.03","662","3347",""
"Coulibaly Oussman","K1H","638.99","-","3564",""
"Henry Théophile","K1H","683.45","845","3887",""
"Louchez Benoit","K1H","802.61","-","4753",""
"Le Meur Kevin","K1H","958.37","-","5883",""
