"Championnat de France Slalom Cadet sur Junior sur C2M sur C2D - Bourg St Maurice - Qualification - Manche 2 - 2016-07-27","Qualification - Manche 2","2016-07-27","Championnats de France","173"
"Youn Aubry","K1H","102.59","-","-",""
"LoÏc Winiarski","K1H","102.89","-","-",""
"Jean Philippe Roche","K1H","102.91","-","-",""
"Julien Paulais","K1H","103.09","-","-",""
"Enzo Cozette","K1H","104.04","-","-",""
"Benoit Lecoester","K1H","104.3","-","-",""
"Tom Benini","K1H","104.52","-","-",""
"Gael Adisson","K1H","104.56","-","-",""
"Florian Sauvage","K1H","104.72","-","-",""
"Yann Zaepffel","K1H","105.39","-","-",""
"Lucas Pagnard - Tissier","K1H","105.4","-","-",""
"Jean Charles Hacquart","K1H","105.41","-","-",""
"Brieuc Richard","K1H","105.52","-","-",""
"Loan Queffelec","K1H","105.57","-","-",""
"Henri Bergognon","K1H","105.57","-","-",""
"Lubin Huet","K1H","105.63","-","-",""
"Lucas Correia","K1H","105.84","-","-",""
"Edouard Lecomte","K1H","105.91","-","-",""
"Matheo Gillaizeau","K1H","105.98","-","-",""
"Jules Heurtin","K1H","106.17","-","-",""
"Anthony Rouhier","K1H","106.21","-","-",""
"Adrien Mesmoudi","K1H","106.47","-","-",""
"Vincent Laclide","K1H","106.47","-","-",""
"Killian Flegeau","K1H","106.61","-","-",""
"Tom Zanfini","K1H","106.65","-","-",""
"Quentin Angot","K1H","107.03","-","-",""
"Louis Debureaux","K1H","107.11","-","-",""
"Benoit Blard","K1H","107.3","-","-",""
"Clement Font-boinel","K1H","107.74","-","-",""
"Thomas Brochard","K1H","108.18","-","-",""
"Thomas Riviere","K1H","108.88","-","-",""
"Paul Gaillard","K1H","108.93","-","-",""
"Mikael Clanchin","K1H","109.98","-","-",""
"Antoine Grillier","K1H","110.25","-","-",""
"Thomas Descotes","K1H","111.36","-","-",""
"Alexis Pacholak","K1H","111.4","-","-",""
"Tanguy Zaninotto","K1H","112.95","-","-",""
"Gaetan Robin","K1H","114.37","-","-",""
"Dorian Ollivier","K1H","114.76","-","-",""
"Lucas Ramard","K1H","115.89","-","-",""
"Gawaine Chikh","K1H","119.3","-","-",""
"Arthur Cousty","K1H","120.74","-","-",""
"Timothee Cornu","K1H","121.93","-","-",""
"Djimy Kar","K1H","122.4","-","-",""
"Jonas Flament","K1H","140.41","-","-",""
"David Mingasson","K1H","148.25","-","-",""
"Benjamin Harreau","K1H","150.18","-","-",""
"Leo Vuitton","K1H","153.41","-","-",""
"Pierre Bourdet","K1H","154.02","-","-",""
"Jules Bernardet","K1H","157.37","-","-",""
"Yvan Leblond","K1H","164.05","-","-",""
"Louis Pein","K1H","165.68","-","-",""
"Leo Demazeau","K1H","171.79","-","-",""
"Corentin Douady","K1H","207.27","-","-",""
"Teo Bouvier","K1H","220.91","-","-",""
"Leo Tasset","K1H","274.33","-","-",""
"Martin Jouves","K1H","Abs","-","-",""
"Adrien Fischer","K1H","Abs","-","-",""
