"SELECTION REGIONALE 1 - Guilligomarch - Roches Du Diable - 2005-02-13","Course 1","2005-02-13","Régional","187"
"Stephanie Le Mercier","K1D","277.96","215","211",""
"Anne Fischer","K1D","280.19","241","220",""
"Sarah Michel","K1D","286.70","242","250",""
"Sarah Despres","K1D","287.38","330","253",""
"Sylvaine Louis","K1D","288.69","274","260",""
"Erell Chardon Vivier","K1D","294.40","298","287",""
"Elodie Le Nechet","K1D","298.17","293","303",""
"Kristell Bervet","K1D","305.70","356","338",""
"Laetitia Odermatt","K1D","307.66","384","347",""
"Zoungrana Annececile","K1D","315.99","405","386",""
"Sabri Myriam","K1D","334.34","524","470",""
"Le Bourser Magali","K1D","337.38","547","485",""
"Aziliz Le Paih","K1D","337.47","590","485",""
"Deborah Larsonneur","K1D","337.58","604","485",""
"Chevalier Yvane","K1D","340.79","511","500",""
"Fouille Aline","K1D","349.41","340","540",""
"Claire Pichon","K1D","352.92","597","556",""
"Sophie Louis","K1D","364.44","-","609",""
"Julie Quesne","K1D","376.87","428","666",""
"Marie Duval","K1D","466.84","644","1081",""
"Breton Enora","K1D","468.90","762","1090",""
"Morin Camille","K1D","484.97","-","1164",""
"Christophe Augu","K1H","223.97","39","96",""
"Erwan Cadio","K1H","225.59","104","104",""
"Sebastien Combot","K1H","228.97","64","121",""
"Matthieu Le Gall","K1H","229.31","38","124",""
"Christophe Marechal","K1H","229.60","23","125",""
"Laurent Le Touze","K1H","229.96","115","127",""
"Nicolas Coudert","K1H","230.86","78","131",""
"Riwal Le Berre","K1H","232.54","97","140",""
"Benjamin Thouvignon","K1H","233.35","118","144",""
"Benoit Letellier","K1H","234.51","126","150",""
"Nicolas Veillard","K1H","234.71","108","151",""
"Mathieu Le Gal","K1H","237.29","80","165",""
"Sarazin Emmanuel","K1H","239.63","142","178",""
"Fontaine Damien","K1H","240.13","152","180",""
"Lionel Tinevez","K1H","242.38","175","192",""
"Laurent Rigaud","K1H","244.00","169","200",""
"Tirel Paul","K1H","244.60","171","203",""
"Sylvain Herrbach","K1H","245.15","151","206",""
"Reveillere Pierrick","K1H","245.30","287","207",""
"Pierre Marie Roussel","K1H","245.94","171","211",""
"Thomas Masuy","K1H","246.41","113","213",""
"Franck Delachair","K1H","246.79","176","215",""
"Christophe Siffert","K1H","247.51","139","218",""
"Le Marec Hermann","K1H","247.89","189","220",""
"Vivien Colober","K1H","248.12","281","222",""
"Zoungrana Sebastien","K1H","248.17","196","222",""
"Berthe Christophe","K1H","249.12","172","227",""
"Christophe Le Mercier","K1H","249.47","172","228",""
"Emmanuel Cosse","K1H","249.60","237","229",""
"Brieuc Cadic","K1H","250.32","289","233",""
"Anthony Cadoret","K1H","250.46","194","234",""
"Alain Droniou","K1H","250.52","191","234",""
"Julien Vetele","K1H","251.36","282","238",""
"Le Goff Morgan","K1H","252.02","-","241",""
"Vincent Gourmel","K1H","252.97","300","247",""
"Guigo Luc","K1H","253.22","213","248",""
"Anthony Thuillier","K1H","253.28","279","248",""
"Nicolas Ciemniewski","K1H","253.44","162","249",""
"Benjamin Thiboust","K1H","254.21","234","253",""
"Gwenael Marquer","K1H","255.18","223","258",""
"Jean Yves Prigent","K1H","257.89","260","272",""
"Regis Cabel","K1H","257.97","362","272",""
"Le Pesquer Yann","K1H","258.56","211","276",""
"Valentin Brindeau","K1H","258.96","383","278",""
"Jeremy Poux","K1H","259.06","208","279",""
"Cozigou Edouard","K1H","259.44","279","280",""
"Pascal Marrec","K1H","260.66","-","287",""
"Emmanuel Walczak","K1H","261.38","214","291",""
"Fouquart Thierry","K1H","261.91","257","293",""
"Romain Guyomard","K1H","262.99","332","299",""
"Corbeau Benjamin","K1H","264.15","347","305",""
"Arthur Sucker","K1H","264.87","287","309",""
"Fabien Le Nechet","K1H","265.30","376","311",""
"Lebreton Simon","K1H","265.37","277","311",""
"Patrick Jegou","K1H","266.13","304","315",""
"Guillaume Coroller","K1H","267.64","-","323",""
"Yves Lecointe","K1H","268.24","209","326",""
"Thomas Le Lons","K1H","269.23","382","332",""
"Le Garrec Julien","K1H","269.99","308","335",""
"Rossignol Yves","K1H","270.22","333","336",""
"Guillaume Huppert","K1H","270.48","303","338",""
"Chaumier Florian","K1H","271.67","331","344",""
"Wendling Valentin","K1H","272.97","365","350",""
"Didier Rouet","K1H","274.43","440","358",""
"Charles Kerbellec","K1H","275.28","364","362",""
"Rosnarho Tanguy","K1H","276.68","-","370",""
"Pierre Yves Tanguy","K1H","277.06","334","372",""
"Anthony Mottais","K1H","277.07","391","372",""
"Ova Roberto","K1H","277.45","631","375",""
"Simon Even","K1H","277.81","462","376",""
"Dubu Alain","K1H","277.82","369","376",""
"Laurent Van Poucke","K1H","278.77","261","381",""
"Pierre-yves Lebreton","K1H","279.12","378","383",""
"Hoel Carnot","K1H","280.63","402","391",""
"Melen Pilorge","K1H","281.88","473","398",""
"Sinquin Gwenael","K1H","282.97","491","403",""
"Le Bouder Emilien","K1H","283.00","-","403",""
"Vincent Salmon","K1H","283.58","418","407",""
"Marrec Loic","K1H","283.64","-","407",""
"Sullivan Porcher","K1H","283.73","118","407",""
"Jeremy Froger","K1H","283.83","315","408",""
"Guyomard Julien","K1H","286.47","384","421",""
"Simon Joseph","K1H","286.77","383","423",""
"Buffler Ambroise","K1H","287.70","554","427",""
"Cadoudal Vincent","K1H","287.99","415","429",""
"Prigent Mathieu","K1H","290.65","426","443",""
"Descheres Erwan","K1H","298.05","494","481",""
"Beyou Vincent","K1H","299.29","-","488",""
"Verre Brendan","K1H","300.39","535","493",""
"Thomas Le Berre","K1H","300.99","621","497",""
"Le Jacques François","K1H","304.22","628","513",""
"William Basset","K1H","304.43","-","514",""
"Debray Tony","K1H","304.98","-","518",""
"Van Poucke Mathieu","K1H","306.60","493","527",""
"Le Cornec Hilaire","K1H","308.57","461","536",""
"Alan Reveillere","K1H","308.79","748","538",""
"Froger Alexandre","K1H","309.11","586","539",""
"Lefeuvre Kevin","K1H","311.21","-","550",""
"Jean Messialle","K1H","314.96","610","569",""
"Le Mouillour Sylvain","K1H","315.22","751","571",""
"Wendling Jean-Mathieu","K1H","318.74","510","589",""
"Lefort David","K1H","320.87","430","600",""
"Melaine Caurant","K1H","324.96","579","621",""
"Alexandre Rivolet","K1H","326.60","640","630",""
"Thibaut Chariot","K1H","329.01","-","643",""
"Sanquer Jean-Phillippe","K1H","331.76","-","658",""
"Texier Samuel","K1H","336.72","822","683",""
"Houel Nicolas","K1H","341.05","562","706",""
"Chevallier Clément","K1H","342.42","545","713",""
"Solen Le Bourles","K1H","343.20","513","717",""
"Eric Louis","K1H","346.23","581","732",""
"Matthieu Jonnart-baur","K1H","365.95","616","835",""
"Milbeo Nicolas","K1H","374.78","746","881",""
"Sylvain Martineau","K1H","378.26","849","900",""
"Fabien Le Bourser","K1H","380.11","443","909",""
"Perrin Gurvan","K1H","387.23","-","946",""
"Tanguy Benjamin","K1H","419.87","-","1115",""
"Lecallennec Marc","K1H","422.76","731","1131",""
"Guittier Guenole","K1H","455.34","890","1300",""
