"Sélectif Régional de Slalom - Slalom De Troyes (double Sr) - Course n°1 | Finale - 2016-09-24","Course n°1 | Finale","2016-09-24","Régional","158"
"Loic Bourgeois","K1H","92.42","422.14","443.01","Course n°1 | Finale A"
"Mathurin Garnier","K1H","93.92","321.6","465.83","Course n°1 | Finale A"
"Kilian Godart","K1H","94.66","385.51","477.09","Course n°1 | Finale A"
"Alexis Pacholak","K1H","94.75","376.64","478.46","Course n°1 | Finale A"
"Guerlain Robin","K1H","95.46","430.46","489.27","Course n°1 | Finale A"
"Nicolas Castagnetti","K1H","96.21","500.55","500.68","Course n°1 | Finale A"
"Alexandre Mathis","K1H","96.68","418.7","507.83","Course n°1 | Finale A"
"Erwan Degreve","K1H","100.05","494.01","559.11","Course n°1 | Finale A"
"Antoine Pas","K1H","100.83","460.16","570.98","Course n°1 | Finale A"
"Thomas Argenson","K1H","104.69","-","629.72","Course n°1 | Finale A"
"Pierre Biagui","K1H","110.6","468.67","719.65","Course n°1 | Finale A"
"Ludovic Ngo","K1H","132.54","270.4","1053.51","Course n°1 | Finale A"
"Arthur Lagleyze","K1H","135.85","331.17","1103.88","Course n°1 | Finale A"
"Loric Bertrand Delorme","K1H","143.02","425.09","1212.98","Course n°1 | Finale A"
"Louis Labbe","K1H","Dsq","-","-","Course n°1 | Finale A"
"Lucas Augu","K1HM","84.98","281.06","329.79","Course n°1 | Finale A"
"Jean Charles Hacquart","K1HM","87","295.64","360.53","Course n°1 | Finale A"
"LoÏc Pottier","K1HM","91.06","380.43","422.31","Course n°1 | Finale A"
"Thomas Ukalovic","K1HM","95.62","700.52","491.7","Course n°1 | Finale A"
"Aurelien Merieux Danneaux","K1HM","98.92","-","541.92","Course n°1 | Finale A"
"Theo Douady","K1HM","99.74","586.88","554.39","Course n°1 | Finale A"
"Antonin Robert","K1HM","101.32","635.27","578.44","Course n°1 | Finale A"
"Matheo Dejonghe","K1HM","104.86","546.36","632.31","Course n°1 | Finale A"
"Matthew Vuillard","K1HM","108.46","725.93","687.09","Course n°1 | Finale A"
"Marvin Tulpin","C1H","96.02","534.8","433.21","Course n°1 | Finale B"
"Matthieu Walfard","C1H","101.11","595.54","506.98","Course n°1 | Finale B"
"Guerlain Robin","C1H","103.56","561.81","542.48","Course n°1 | Finale B"
"Angelino Castagnetti","C1H","109.01","741.95","621.46","Course n°1 | Finale B"
"Patrick Choiseau","C1H","116.95","772.21","736.53","Course n°1 | Finale B"
"Boris Bonenfant","C1H","117.88","761.93","750.02","Course n°1 | Finale B"
"Paul Farrugio","C1H","127.29","725.89","886.39","Course n°1 | Finale B"
"Arthur Dupont","C1H","128.14","704.52","898.7","Course n°1 | Finale B"
"Clement Prelot","C1H","139.06","-","1056.96","Course n°1 | Finale B"
"Anthony Dubois","C1H","161.99","1260.67","1389.27","Course n°1 | Finale B"
"Hugo Pierre","C1H","198.65","-","1920.55","Course n°1 | Finale B"
"Nicolas Gallais","C1H","Abd","-","-","Course n°1 | Finale B"
"Theo Viallard","C1H","Abs","-","-","Course n°1 | Finale B"
"Baptist Besancon","C1HM","118.29","2197.27","755.95","Course n°1 | Finale B"
"Mattis Orchilles","C1HM","129.89","-","924.07","Course n°1 | Finale B"
"Tanguy Malingre","C1HM","140.78","-","1081.88","Course n°1 | Finale B"
"Yann Mercier","C1HM","149.14","-","1203.04","Course n°1 | Finale B"
"Antonin Robert","C1HM","175.35","-","1582.89","Course n°1 | Finale B"
"Loric Bertrand Delorme-Pierre Biagui","C2H","125.92","-","783.59","Course n°1 | Finale B"
"Antoine Pas-Thomas Argenson","C2H","131.25","-","857.31","Course n°1 | Finale B"
"Leo Fresneda-Baptist Besancon","C2H","151.75","-","1140.91","Course n°1 | Finale B"
"Lea Riera","K1D","110.4","536.8","528.34","Course n°1 | Finale B"
"Margaux Barbier","K1D","118.8","554.15","641.46","Course n°1 | Finale B"
"Sarah Rothenbuhler","K1D","120.78","543.49","668.12","Course n°1 | Finale B"
"Heloise Pinon","K1D","136.52","771.32","880.08","Course n°1 | Finale B"
"Ludivine Jeanray","K1D","172.56","-","1365.41","Course n°1 | Finale B"
"Coralie Delmotte","K1D","268.11","-","2652.1","Course n°1 | Finale B"
"Loane Foulongani","K1D","Nt","-","-","Course n°1 | Finale B"
"Aymeric Dollat","K1H","95.4","454.37","493.35","Course n°1 | Finale B"
"Philippe Piat","K1H","95.84","477.29","500.05","Course n°1 | Finale B"
"Basile Guerrapin","K1H","97.52","538.58","525.61","Course n°1 | Finale B"
"Guillaume Cochut","K1H","98.26","579.53","536.87","Course n°1 | Finale B"
"Lucas Gamain","K1H","99.67","-","558.33","Course n°1 | Finale B"
"Theo Viallard","K1H","101.34","527.2","583.74","Course n°1 | Finale B"
"Gauthier Maillot","K1H","101.69","746.01","589.07","Course n°1 | Finale B"
"Nicolas Gallais","K1H","103.49","502.44","616.46","Course n°1 | Finale B"
"Romain Caburol","K1H","106.93","810.85","668.8","Course n°1 | Finale B"
"Clement Prelot","K1H","107.22","-","673.22","Course n°1 | Finale B"
"Yann Dhieux","K1H","109.26","675.68","704.26","Course n°1 | Finale B"
"Angelino Castagnetti","K1H","112.38","689.26","751.74","Course n°1 | Finale B"
"Quentin Henry","K1H","114.54","-","784.61","Course n°1 | Finale B"
"Claude Breuzard","K1H","114.86","646.88","789.47","Course n°1 | Finale B"
"Emrys Meddour","K1H","116.52","-","814.73","Course n°1 | Finale B"
"Joshua Ravet","K1H","118.48","815.95","844.56","Course n°1 | Finale B"
"Quentin Henri","K1H","118.57","-","845.93","Course n°1 | Finale B"
"Gerald Oudin","K1H","119.55","-","860.84","Course n°1 | Finale B"
"Eric Pouradier","K1H","119.72","745.24","863.43","Course n°1 | Finale B"
"Marc-olivier Allaria","K1H","120.13","903.96","869.67","Course n°1 | Finale B"
"Antoine Jacquet","K1H","120.86","-","880.78","Course n°1 | Finale B"
"Thibault Chausson","K1H","120.99","-","882.75","Course n°1 | Finale B"
"Paul Farrugio","K1H","121.06","642.75","883.82","Course n°1 | Finale B"
"Paul Beteille","K1H","122.46","1303.88","905.12","Course n°1 | Finale B"
"Leo Fresneda","K1H","135.73","1047.65","1107.05","Course n°1 | Finale B"
"Christophe Come","K1H","137.94","-","1140.68","Course n°1 | Finale B"
"Gaetan Cornu","K1H","138.45","-","1148.44","Course n°1 | Finale B"
"Ilan Foulongani","K1H","140.47","-","1179.18","Course n°1 | Finale B"
"Anthony Dubois","K1H","148.62","963.7","1303.2","Course n°1 | Finale B"
"Barnabe Sennelier","K1H","165.67","-","1562.65","Course n°1 | Finale B"
"Thibault Pereira","K1H","Des","-","-","Course n°1 | Finale B"
"Mickael Dubois","K1H","Des","-","-","Course n°1 | Finale B"
"Tanguy Malingre","K1HM","113.11","730.09","762.84","Course n°1 | Finale B"
"Theophile Vincent","K1HM","115.86","-","804.69","Course n°1 | Finale B"
"Antoine Marion","K1HM","116.71","-","817.63","Course n°1 | Finale B"
"Noah Fresneda","K1HM","116.83","793.23","819.45","Course n°1 | Finale B"
"Romain Brouard","K1HM","123.4","-","919.43","Course n°1 | Finale B"
"Gustave Wuhrlin","K1HM","125.38","-","949.56","Course n°1 | Finale B"
"Yann Mercier","K1HM","128.5","-","997.03","Course n°1 | Finale B"
"Victor Lagleyze","K1HM","129.09","947.11","1006.01","Course n°1 | Finale B"
