"Sélectif Régional de Slalom - Finale Coupe De Lorraine - Finale - 2016-11-06","Finale","2016-11-06","Régional","158"
"Maurine Laugel","K1D","115.81","456.21","364.04","Finale B"
"Emma Vaubourg","K1D","118.4","396.43","394.58","Finale B"
"Margot Perrin","K1D","121.68","368.16","433.24","Finale B"
"Carole Dolmaire","K1D","128.47","557.85","513.3","Finale B"
"Maude Dominique","K1D","130.02","565.3","531.58","Finale B"
"Margaux Barbier","K1D","132.38","601.66","559.39","Finale B"
"Kelly Capitaine","K1D","134.23","525.02","581.22","Finale B"
"Perrine Venot","K1D","142.7","-","681.07","Finale B"
"Eva Guillaumot","K1D","145.4","1087.61","712.92","Finale B"
"Margaux Mourlon","K1D","161.13","762.54","898.37","Finale B"
"Fiona Gille","K1D","176.95","493.08","1084.89","Finale B"
"Ludivine Jeanray","K1D","196.42","1358.65","1314.45","Finale B"
"Lucille Meunier-cheyssac","K1DM","134.87","495.45","588.76","Finale B"
"Mylene Guilcher","K1DM","142.85","490.35","682.85","Finale B"
"Pierre Biagui","K1H","101.81","424.41","355.02","Finale B"
"Djimy Kar","K1H","104.92","386.5","396.45","Finale B"
"Loic Bourgeois","K1H","107.47","406.87","430.43","Finale B"
"Nicolas Gallais","K1H","109.75","483.7","460.8","Finale B"
"Aymeric Dollat","K1H","110.07","488.06","465.07","Finale B"
"Guillaume Cochut","K1H","110.77","497.57","474.39","Finale B"
"Bastien Delaubier","K1H","112.3","539.25","494.78","Finale B"
"Michel Bert","K1H","114.55","598.66","524.75","Finale B"
"Lucas Gamain","K1H","117.33","545.85","561.79","Finale B"
"Leonard Painteaux","K1H","118.8","544.52","581.38","Finale B"
"Mathieu Deloffre","K1H","119.8","-","594.7","Finale B"
"Bastien Caillet","K1H","119.91","563.89","596.17","Finale B"
"Alexandre L'huillier","K1H","120","538.56","597.36","Finale B"
"Louis Gasser","K1H","121.19","557.85","613.22","Finale B"
"Etienne Rougeron","K1H","121.21","637.04","613.49","Finale B"
"Gerald Oudin","K1H","121.77","947.56","620.95","Finale B"
"Axel Ganthier","K1H","124.43","-","656.39","Finale B"
"Quentin Henry","K1H","129.55","880.82","724.6","Finale B"
"Hugo Pierre","K1H","143.23","-","906.86","Finale B"
"Gaetan Cornu","K1H","143.91","1134.34","915.92","Finale B"
"Stephane Cassin","K1H","166.22","1325.92","1213.15","Finale B"
"Tanguy Malingre","K1HM","115.71","592.13","540.21","Finale B"
"Antoine Paumier","K1HM","119.14","591.53","585.91","Finale B"
"Danil Buneev","K1HM","129.02","759.68","717.54","Finale B"
"Stanislas Ledore","K1HM","130.27","671.83","734.19","Finale B"
"Florentin Abel","K1HM","137.23","-","826.92","Finale B"
"Theophile Didierjean","K1HM","138.65","743.86","845.84","Finale B"
"Louis Thiebaut","K1HM","152.89","-","1035.56","Finale B"
