"Sélectif Régional - Foix - Stade d'eau vive du Rebech - Finale - 2014-05-03","Finale","2014-05-03","Régional","118"
"Maxime Gaillard","K1H","139.59","443.94","582.84","Finale B"
"Hugo Simon","K1H","163.63","265.87","841.63","Finale B"
"Lucas Galmiche","K1H","167.52","205.91","883.51","Finale B"
"Julien Delaleux","K1H","179.05","414.46","1007.63","Finale B"
"Clement Bosc","K1H","180.94","370.31","1027.98","Finale B"
"Marc Laborde","K1H","182.97","385.5","1049.83","Finale B"
"Edouard Lecomte","K1H","185.88","456.47","1081.16","Finale B"
"Antoine Laye","K1H","188.86","434.79","1113.24","Finale B"
"Theau Le Loch","K1H","195.99","481.53","1189.99","Finale B"
"Theo Ducasse","K1H","211.99","552.26","1362.24","Finale B"
"Micael Rodriguez Alves Lato","K1H","236.93","351.47","1630.72","Finale B"
"Marc Cailhol","K1H","264.39","494.14","1926.33","Finale B"
"Loic Thibaut","K1H","306.26","842.22","2377.06","Finale B"
"Vincent Ardonceau","K1H","453.26","611.79","3959.53","Finale B"
"Ugo Rolland","K1H","Nt","-","-","Finale B"
