"Manche de la Coupe de France National 3 Slalom Nord - 62170 Montreuil - Qualification - 2019-03-31","Qualification","2019-03-31","Nationale 3","173"
"Pauline Soenen-Antoine Martin","C2M","128.54","579.17","704.33",""
"Leontine Dubuisson-Bertrand Avril","C2M","131.64","-","745.13",""
"Chloe Gatuingt-Nicolas Candieu","C2M","133.91","774.6","775.02",""
"Estephe Decarsin-Eloise Riviere","C2M","138.75","-","838.73",""
"Florence Marchal-Jacques Nardeau","C2M","146.88","549.33","945.76",""
"Louis Marvillet-Lisa Manach","C2M","147.72","967.29","956.81",""
"Delphine Brunet-Samuel Bonvalet","C2M","151.02","877.32","1000.26",""
"Pierric Clipet-Coline Regnier","C2M","194.79","936.16","1576.46",""
"Mylene Despres-Kevin Tanay","C2M","Abs","-","-",""
"Benoit Letellier-Melina Letellier","C2M","Abs","-","-",""
"Julie Dupas","K1D","101.07","422.48","425.12",""
"Leontine Dubuisson","K1D","105.14","466.7","482.02",""
"Nina Pesce-roue","K1D","107.29","570.12","512.07",""
"Lisa Manach","K1D","107.68","504.84","517.53",""
"Coline Regnier","K1D","109.06","500.17","536.82",""
"CÉlya Foucard","K1D","112.18","549.53","580.43",""
"Eloise Riviere","K1D","114.4","593.39","611.47",""
"Charlotte Chauvey","K1D","115.82","463.88","631.33",""
"Souhayla Khattabi","K1D","116.47","500.42","640.41",""
"Melina Letellier","K1D","117.23","474.74","651.03",""
"Emma Pouilly","K1D","120.31","600.31","694.09",""
"Pauline Lybrecht","K1D","122.99","573.24","731.56",""
"Lisa BouÉ","K1D","123.36","650.22","736.73",""
"Elise Vegnaduzzo","K1D","124.59","532.01","753.93",""
"Sandrine Arnal","K1D","124.8","646.54","756.85",""
"Mylene Despres","K1D","126.77","561.23","784.4",""
"Estelle Brodin","K1D","126.89","698.25","786.08",""
"Alexia Evrard","K1D","126.91","904.61","786.36",""
"Charline Dole","K1D","127.4","794.55","793.2",""
"Maeva Firon","K1D","130.43","759.01","835.57",""
"Coralie Delmotte","K1D","130.8","922.75","840.74",""
"Florence Marchal","K1D","132.82","549.22","868.98",""
"Elodie Thomasset","K1D","134.92","1475.2","898.33",""
"Catherine Boulan","K1D","139.24","749.04","958.72",""
"Eva Mainnemare","K1D","154.28","896.04","1168.99",""
"Delphine Brunet","K1D","155.37","998.51","1184.23",""
"Ophelie Lailler","K1D","161.58","967.04","1271.03",""
"Jean Messialle","K1H","82.78","318.03","319.87",""
"Thibaut Evrard","K1H","82.8","363.96","320.19",""
"Helwann Rachdi","K1H","85.11","367.71","356.68",""
"Tom Barthelemy","K1H","86.89","367.15","384.8",""
"Matheo Dupont","K1H","86.96","325.06","385.9",""
"Yohan Marck","K1H","87.02","375.76","386.85",""
"Nicolas Ducrocq","K1H","87.04","316.09","387.17",""
"Florent Bernard","K1H","88.27","391.97","406.6",""
"Fabien Bonvalet","K1H","88.91","431.36","416.71",""
"Mathis Piepho","K1H","89.67","401.14","428.71",""
"Theo Moalic","K1H","89.96","417.32","433.3",""
"Guillaume Doutreix","K1H","90.17","375.01","436.61",""
"Axel Girard","K1H","90.73","574.37","445.46",""
"Hugo Pidoux","K1H","90.74","369.92","445.62",""
"Nicolas Candieu","K1H","90.94","435.98","448.78",""
"Dante Bourlet De La Vallee","K1H","91.15","459.01","452.09",""
"Florian Jumetz","K1H","91.27","431.28","453.99",""
"Michael Philibert","K1H","91.33","428.85","454.94",""
"Teddy Poulard","K1H","91.46","509.97","456.99",""
"Mickael Louchard","K1H","91.8","430.12","462.36",""
"Edouard Gracias","K1H","92.93","434.86","480.21",""
"Benoit Guernic","K1H","93.55","399.96","490.01",""
"Estephe Decarsin","K1H","93.69","376.65","492.22",""
"Arnaud Delattre","K1H","94.14","417.66","499.33",""
"Hugo Baillet","K1H","94.21","518.35","500.43",""
"Jeansebastien Simonklein","K1H","95.25","539.5","516.86",""
"Pierric Clipet","K1H","96.1","692.76","530.29",""
"Theo Siguret","K1H","96.21","546.05","532.03",""
"Clery Girard","K1H","96.72","539.1","540.08",""
"Quentin Podevin","K1H","97.61","496.81","554.14",""
"Jess Masson","K1H","97.89","535.61","558.57",""
"Tom Raynaud","K1H","98.01","781.87","560.46",""
"Romain Caupin","K1H","98.38","589.33","566.31",""
"Flavien Firon","K1H","99.2","613.6","579.26",""
"Louison Decarsin","K1H","99.79","559.64","588.58",""
"Maxime Savalle","K1H","100.55","420.72","600.59",""
"Robin Le Mazurier","K1H","101.05","611.02","608.49",""
"Benjamin Georgin","K1H","101.42","572.93","614.33",""
"Fabian Loemie","K1H","101.58","732.05","616.86",""
"Paul Pesant","K1H","101.97","530.02","623.02",""
"Esteban Olivier","K1H","102.55","645.71","632.18",""
"Louis Marescot","K1H","103.03","650.78","639.76",""
"Jeanchristophe Laroque","K1H","103.15","753.09","641.66",""
"Yann Castryck- -genereux","K1H","103.67","623.64","649.87",""
"Matteo Figueiredo Alves","K1H","103.81","531.15","652.09",""
"Philippe Valeri","K1H","104.78","563.82","667.41",""
"Thibaut Jumetz","K1H","105.52","721.25","679.1",""
"Leo Tellier","K1H","105.55","759.51","679.57",""
"Gerard Lafargue","K1H","105.66","540.83","681.31",""
"Leo Dos Santos","K1H","105.76","528.84","682.89",""
"Antoine Huger","K1H","106.48","531.84","694.26",""
"Philippe Piat","K1H","107.22","484.78","705.95",""
"Clement Brault","K1H","107.49","776.03","710.22",""
"Timothee Clep","K1H","107.89","732.76","716.54",""
"Lucas Ferloni","K1H","108.3","710.04","723.02",""
"Cosme Duboc","K1H","109.03","545.34","734.55",""
"Samuel Bonvalet","K1H","109.8","703.02","746.71",""
"Louis Marvillet","K1H","110.35","628.54","755.4",""
"Benjamin Marty Carpentier","K1H","110.43","765.25","756.66",""
"Sebastien Masseline","K1H","112.12","695.61","783.36",""
"Pierre Yves Tempier","K1H","112.97","700.8","796.79",""
"Garvan Boulben","K1H","112.99","919.75","797.1",""
"Sacha Borderie","K1H","113.29","768.17","801.84",""
"Thomas Brunet","K1H","113.56","846.89","806.11",""
"Erwan Laloux","K1H","114","634.01","813.06",""
"Erwan Masson","K1H","114.69","678.46","823.96",""
"Mathieu Benkaroun","K1H","115.41","699.7","835.33",""
"Philippe Podvin","K1H","115.78","761.81","841.18",""
"Elie Gerault","K1H","122.22","937.46","942.91",""
"Arnaud Grignon","K1H","123.47","964.78","962.66",""
"Thomas Alves","K1H","127.33","993.13","1023.64",""
"Axel Tempier","K1H","130.42","813.57","1072.45",""
"Geoffroy Lauth","K1H","138.67","775.24","1202.78",""
"Robin Dheilly","K1H","139.9","433.2","1222.21",""
"Bertrand Avril","K1H","161.16","337.84","1558.05",""
"Alexandre Mauger","K1H","167.23","852.8","1653.94",""
"Felix Derumigny","K1H","Abs","-","-",""
"Kevin Tanay","K1H","Abs","-","-",""
"Yves Souchal","K1H","Abs","-","-",""
"Paul Lecomte","K1H","Abs","-","-",""
"Pierre-louis Mingasson","K1H","Abs","-","-",""
