"1ère manche des championnats de France - Finale - Les Roches du Diable - Course de qualification - 2010-02-27","Course de qualification","2010-02-27","Nationale 1","114"
"Emilie Chamouleau","K1D","425.54","69","939",""
"Benjamin Buys","K1H","102.03","11","0",""
"Quentin Bove","K1H","104.06","24","7",""
"Vivien Colober","K1H","105.38","11","12",""
"Julien Dekarczyk","K1H","106.09","15","14",""
"Frederic Walczak","K1H","106.54","12","15",""
"Florian Berail","K1H","107.65","18","19",""
"Jimy Bercon","K1H","107.66","27","19",""
"Benjamin Renia","K1H","107.91","4","20",""
"Hugo Cailhol","K1H","108.92","32","24",""
"Etienne Daille","K1H","109.48","12","25",""
"Benoit Guillaume","K1H","110.12","15","28",""
"Emmanuel Walczak","K1H","111.63","36","33",""
"Nicolas Veillard","K1H","111.84","28","33",""
"Benjamin Travostino","K1H","111.93","17","34",""
"Mathieu Doby","K1H","112.01","4","34",""
"Arnaud Lapeze","K1H","112.71","34","37",""
"Johan De Mareuil","K1H","112.82","29","37",""
"Jeremy Cremonesi","K1H","113.02","41","38",""
"Yoann Hautecloche","K1H","113.79","42","40",""
"Raphael Reveche","K1H","114.43","18","43",""
"Thomas Rosset","K1H","114.57","28","43",""
"Christophe Augu","K1H","115.46","26","46",""
"Andy Pajani","K1H","115.55","32","46",""
"Oswald Besch","K1H","115.73","28","47",""
"Ludovic Di Nisi","K1H","116.34","22","49",""
"Jonathan Delagnes","K1H","118.88","52","58",""
"Christophe Marechal","K1H","121.17","41","66",""
"Samuel Lhegu","K1H","121.44","66","66",""
"Alexis Caspar","K1H","122.28","33","69",""
"Goulwen Chapelier","K1H","122.4","45","70",""
"Pierre Marie Roussel","K1H","122.72","40","71",""
"Louis Georges Lafont","K1H","123.03","37","72",""
"Quentin Burgi","K1H","123.82","59","75",""
"Jules Bevalot","K1H","124.98","30","78",""
"Nicolas Labat","K1H","128.09","27","89",""
"Yann Le Govic","K1H","128.58","57","91",""
"Vincent Reiter","K1H","141.35","63","134",""
"Thomas Bersinger","K1H","162.02","4","205",""
"Ronan Lucas","K1H","171.85","32","239",""
"Louis Philippe Rigal","K1H","172.72","39","242",""
"Yann Gudefin","K1H","172.85","23","242",""
"Enrick Cunsolo","K1H","174.69","60","248",""
"Mathieu Biazizzo","K1H","216.45","60","391",""
"Aurelien Maynadier","K1H","452.42","22","1198",""
