"Manche 2 de la Coupe de France Nationale 1 slalom - Roches Du Diable - Finale - 2016-02-21","Finale","2016-02-21","Nationale 1","140"
"Titouan Dupras","K1H","97.43","116.55","81.85","Finale B"
"Mathieu Desnos","K1H","97.66","41.43","84.08","Finale B"
"Ewen Legrand","K1H","98.05","92.76","87.85","Finale B"
"Nicolas Baudoin","K1H","98.7","92.62","94.13","Finale B"
"Benjamin Jacon","K1H","99.6","99.01","102.84","Finale B"
"Pierre Giudicelli","K1H","99.69","110.43","103.71","Finale B"
"William Desnos","K1H","99.86","85.44","105.35","Finale B"
"Christophe Marechal","K1H","100.41","84.07","110.67","Finale B"
"Kevin Schultz","K1H","100.57","82.35","112.21","Finale B"
"Alan Dollo","K1H","100.59","105.96","112.41","Finale B"
"Antoine Launay","K1H","100.63","46.39","112.79","Finale B"
"Paul Cornut-chauvinc","K1H","101.2","115.63","118.31","Finale B"
"Sebastien Nouvel","K1H","101.33","132.34","119.56","Finale B"
"Samuel Lhegu","K1H","101.89","92.02","124.98","Finale B"
"Romain Faurie","K1H","102.39","72.86","129.81","Finale B"
"Ludovic Di Nisi","K1H","102.74","37.98","133.2","Finale B"
"Pol Euzenes","K1H","102.75","124.37","133.29","Finale B"
"Valentin Brindeau","K1H","103.22","135.69","137.84","Finale B"
"Nicolas Abbal","K1H","106.69","66.78","171.39","Finale B"
"Sami Rocher","K1H","113.67","80.35","238.89","Finale B"
"Kendaor Le Huitou","K1H","120.88","109.91","308.61","Finale B"
"Gurgen Brun","K1H","148.73","95.07","577.91","Finale B"
"Alexandre Lucas","K1H","155.87","119.25","646.95","Finale B"
"Charlie Barbier","K1H","212.81","109.91","1197.54","Finale B"
