"CHAMPIONNAT DEPARTEMENTAL - St Brieuc - 2004-10-17","Course 1","2004-10-17","Régional","125"
"Kerogues Julie","K1D","320.65","-","952",""
"Rouxel Marion","K1D","331.48","-","1023",""
"Herlido Camille","K1D","353.45","-","1164",""
"Baradel Anne","K1D","382.95","-","1352",""
"Valegeas Patricia","K1D","414.54","-","1556",""
"Verger Emeline","K1D","598.43","-","2737",""
"Paulet Morgane","K1D","766.59","-","3817",""
"Robert Virginie","K1D","1203.46","-","6623",""
"Jehanin Caroline","K1D","1354.68","-","7594",""
"Matthieu Le Gall","K1H","169.91","38","127",""
"Sullivan Porcher","K1H","171.19","142","136",""
"Zoungrana Sebastien","K1H","176.94","361","178",""
"Anthony Cadoret","K1H","177.03","264","178",""
"Riwal Le Berre","K1H","177.60","97","182",""
"Lionel Tinevez","K1H","178.66","175","190",""
"Benoit Guillaume","K1H","178.67","175","190",""
"Pierre Marie Roussel","K1H","184.98","172","236",""
"Fouquart Thierry","K1H","185.74","353","241",""
"Nicolas Carduner","K1H","188.99","123","264",""
"Melaine Pichard","K1H","190.06","271","272",""
"Olivier Clement","K1H","190.84","265","278",""
"Cozigou Edouard","K1H","192.45","270","290",""
"Emeric Bertrand","K1H","193.81","-","299",""
"Romain Guyomard","K1H","198.93","-","337",""
"Corbeau Benjamin","K1H","199.59","423","342",""
"Guillaume Huppert","K1H","203.64","306","371",""
"Ollivier Riwal","K1H","204.95","371","380",""
"Regis Cabel","K1H","205.31","354","384",""
"Pannetier Brice","K1H","206.10","356","389",""
"Pierre Le Clezio","K1H","207.48","364","398",""
"Prigent Mathieu","K1H","211.44","407","428",""
"Paul Fievet","K1H","212.05","396","432",""
"Simon Joseph","K1H","212.95","406","438",""
"Le Guyader Julien","K1H","215.69","-","459",""
"Garzuel Erwan","K1H","218.41","463","478",""
"Priol Yoann","K1H","219.42","506","486",""
"Melen Pilorge","K1H","220.30","465","492",""
"Le Strat Philippe","K1H","222.45","-","508",""
"Le Bihan Yann","K1H","224.16","489","520",""
"Frederi Mahieu","K1H","226.21","-","535",""
"Houel Nicolas","K1H","227.51","-","544",""
"Rocaboy Julien","K1H","227.90","-","547",""
"Verre Brendan","K1H","230.17","-","563",""
"Pierreyves Hellard","K1H","233.48","513","587",""
"William Basset","K1H","234.70","-","596",""
"Jean Messialle","K1H","240.05","-","635",""
"Alexandre Rivolet","K1H","241.04","663","643",""
"Gwenael Marquer","K1H","241.41","230","645",""
"Coupin Olivier","K1H","247.08","-","686",""
"Le Roux Vincent","K1H","256.51","855","754",""
"Cotto Jeremy","K1H","258.49","-","769",""
"Dahirel Jeremie","K1H","260.72","-","785",""
"Rouxel Adrien","K1H","262.64","-","800",""
"Beguinel Simon","K1H","263.47","-","805",""
"Solen Le Bourles","K1H","275.58","-","893",""
"Guinard Fabien","K1H","280.44","-","928",""
"David Julou","K1H","282.09","-","941",""
"Fejean Benjamin","K1H","285.90","-","968",""
"Gimonnet Guillaume","K1H","288.14","-","984",""
"Geist Damien","K1H","292.29","-","1015",""
"Emmanuel L'anton","K1H","292.76","-","1018",""
"Le Jacques François","K1H","293.60","-","1024",""
"Nicolas Romain","K1H","294.12","578","1028",""
"Le Guyader Mathieu","K1H","298.07","-","1057",""
"Valegeas Alain","K1H","305.51","-","1110",""
"Ronan Dhabit","K1H","306.30","-","1116",""
"Alain Le Moel","K1H","321.37","946","1226",""
"Kerogues Pierre","K1H","321.82","-","1228",""
"Cotto Didier","K1H","333.10","-","1310",""
"Cocguen Mael","K1H","348.63","-","1424",""
"Rier Clement","K1H","411.81","-","1882",""
"Lepetit Morgann","K1H","416.93","-","1920",""
"Rier Romain","K1H","490.83","-","2455",""
"","K1H","570.89","-","3036",""
"Lesage Julien","K1H","687.24","-","3881",""
"Cabaret Pierre Morgan","K1H","1162.12","-","7328",""
