"Sélectif N2 - Annemasse - 2005-05-15","Course 1","2005-05-15","Nationale 2","255"
"Loury Nicolas- Besancon David","C2H","257.26","290","311",""
"Lismonde Jean Batiste- Gaud Gilles","C2H","262.16","339","333",""
"Teddy Poulard-Jeremy Bretteville","C2H","294.17","353","476",""
"Monvoisin Benoit- Granger Terence","C2H","299.89","258","502",""
"Thevenin Sebastien- Thevenin Johann","C2H","382.54","307","871",""
"Marie Borlet","K1D","225.40","165","142",""
"Christelle Macaire","K1D","228.01","175","153",""
"Aubert Laetitia","K1D","229.39","167","159",""
"Anne Fischer","K1D","230.12","206","163",""
"Barthelme Anne-France","K1D","232.38","166","172",""
"Olivia Byrne-sutton","K1D","232.43","192","173",""
"Fanny Mino-vercellio","K1D","233.19","162","176",""
"Elise Escourrou","K1D","233.50","210","177",""
"Audrey Metz","K1D","234.18","156","180",""
"Laura Lyphout","K1D","234.31","185","180",""
"Perrine Beguery","K1D","234.83","142","183",""
"Apert Maia","K1D","235.43","181","185",""
"Erell Chardon Vivier","K1D","235.82","288","187",""
"Anne Sophie Le Bailly","K1D","236.26","208","190",""
"Larribau Myriam","K1D","236.39","226","190",""
"Marlene Devillez","K1D","237.71","167","195",""
"Harmony Thery","K1D","237.72","170","195",""
"Zoe Anxionnaz","K1D","238.69","140","200",""
"Claire Jacquet","K1D","238.95","143","200",""
"Paoletti Camille","K1D","241.72","197","213",""
"Riesenmey Caroline","K1D","242.70","259","217",""
"Virginie Aubert","K1D","243.51","238","221",""
"Tifenn Van Delft","K1D","244.48","257","225",""
"Audrey Astier Perret","K1D","244.58","228","226",""
"Sarah Michel","K1D","245.49","214","229",""
"Lucie Boutonnet","K1D","245.56","270","230",""
"Borg Julie","K1D","245.70","124","230",""
"Thiebaut Manon","K1D","246.16","222","232",""
"Laura Fauste","K1D","246.55","211","234",""
"Paviot Laetitia","K1D","248.93","212","244",""
"Laetitia Thueux","K1D","252.22","251","258",""
"Celine Denizon","K1D","254.44","-","268",""
"Melanie Jambeau","K1D","254.57","279","268",""
"Anais Couturier","K1D","254.70","278","269",""
"De Berchen Emilie","K1D","256.45","277","277",""
"Hubert Sandrine","K1D","256.63","255","278",""
"Anais Dieterling","K1D","256.68","256","278",""
"Laurence Pessoni","K1D","256.72","238","278",""
"Bervet Gaelle","K1D","257.66","290","283",""
"Defoix Angelique","K1D","257.71","215","283",""
"Mylene Renaud","K1D","259.69","274","291",""
"Melanie Konig","K1D","263.52","251","308",""
"Deborne Claire","K1D","266.59","281","321",""
"Melina Letellier","K1D","269.33","206","333",""
"Emilie Saguet","K1D","271.39","294","342",""
"Bernhard Cecile","K1D","283.92","247","397",""
"Beuvin Camille","K1D","287.75","232","413",""
"Schweitzer Pascale","K1D","291.47","279","429",""
"Anais Bouchet","K1D","308.84","215","505",""
"Magali Blanc","K1D","308.92","267","505",""
"Pauline Soenen","K1D","308.99","302","506",""
"Sylvaine Louis","K1D","324.12","235","571",""
"Doby Julie","K1D","342.78","217","653",""
"Vernier Perrine","K1D","363.22","175","741",""
"Roumet Alix","K1D","375.51","219","795",""
"Nicolas Coudert","K1H","188.43","83","87",""
"Lucien Delfour","K1H","190.71","115","99",""
"Sullivan Porcher","K1H","191.16","107","101",""
"Laurent Le Touze","K1H","192.20","107","107",""
"Erwan Cadio","K1H","193.28","94","112",""
"De Berchen Sebastien","K1H","193.63","131","113",""
"Benoit Letellier","K1H","193.67","127","113",""
"Benoit Guillaume","K1H","193.88","112","114",""
"David Riffaud","K1H","194.00","160","115",""
"Yoann Hautecloche","K1H","194.13","146","116",""
"Benjamin Buys","K1H","194.61","98","118",""
"Laurent Rigaud","K1H","195.25","141","121",""
"Simon Despres","K1H","196.03","151","125",""
"Quentin Bove","K1H","196.45","133","127",""
"Mathieu Bandelier","K1H","196.60","167","127",""
"Nicolas Labat","K1H","197.34","112","132",""
"Bertrand Bercon","K1H","197.56","143","133",""
"Colliex Olivier","K1H","197.80","110","133",""
"Herve Busson","K1H","197.88","140","134",""
"Benjamin Travostino","K1H","197.89","156","134",""
"Sarazin Emmanuel","K1H","198.27","132","136",""
"Hugo Hager","K1H","198.78","150","138",""
"Gregory Busson","K1H","198.81","92","138",""
"Thomas Bersinger","K1H","198.87","132","139",""
"Olivier Blanc","K1H","198.92","136","139",""
"Arthur Georges","K1H","198.93","149","139",""
"Antoine Egreteau","K1H","199.62","147","143",""
"Julien Dosse","K1H","199.76","142","143",""
"Aurelien Leroy","K1H","199.78","117","143",""
"Guillaume Provost","K1H","199.83","135","143",""
"Bourgeois Cedric","K1H","199.85","145","143",""
"Fabrice Poueyto","K1H","199.87","164","144",""
"Romain Bove","K1H","199.96","173","144",""
"Jeremy Wagner","K1H","201.00","138","149",""
"Coiffe Florion","K1H","201.24","131","151",""
"Sylvain Herrbach","K1H","201.38","164","151",""
"Ronan Lucas","K1H","201.41","148","152",""
"Paul Brier","K1H","201.50","131","152",""
"Lemaire Maxime","K1H","201.56","167","152",""
"Oswald Besch","K1H","201.67","145","153",""
"Emmanuel Walczak","K1H","201.83","180","153",""
"Florent Boulet","K1H","202.03","138","154",""
"Goulwen Chapelier","K1H","202.35","169","156",""
"Hafiz Ali Hassan","K1H","202.39","141","156",""
"Pierre Pans","K1H","203.04","131","159",""
"Boris Lutinier","K1H","203.06","153","159",""
"Louis Georges Lafont","K1H","203.06","150","159",""
"Yoann Gottardo","K1H","203.25","102","160",""
"Xavier Jourdain","K1H","203.47","122","162",""
"Jules Bevalot","K1H","203.62","151","163",""
"Florian Gosselin","K1H","203.65","138","163",""
"Christophe Siffert","K1H","203.79","149","164",""
"Lesquer David","K1H","204.37","92","166",""
"Nicolas Carduner","K1H","204.55","189","167",""
"Jonathan Chapatte","K1H","204.58","156","167",""
"Jerome Olhagaray","K1H","204.60","158","167",""
"Kevin Schultz","K1H","204.74","167","168",""
"Renaud Metereau","K1H","204.79","169","168",""
"Pascal Ferry","K1H","205.00","185","169",""
"Adrien Roussel","K1H","205.07","177","169",""
"Benoit Fer","K1H","205.16","136","170",""
"Nicolas Ciemniewski","K1H","206.06","157","174",""
"Piquard Charles","K1H","206.29","87","175",""
"Guillaume Bandelier","K1H","206.40","181","176",""
"Ricci Miege Raphael","K1H","206.51","204","176",""
"Di Lauro Maxime","K1H","206.83","96","178",""
"Yann Gudefin","K1H","206.98","138","179",""
"Guillaume Maraquin","K1H","207.10","241","179",""
"Beaudoin Fabien","K1H","207.15","173","179",""
"Nivel Cyril","K1H","207.50","164","181",""
"Berthe Christophe","K1H","207.51","173","181",""
"Olivier Hardonniere","K1H","207.67","190","182",""
"Fabien Tournadre","K1H","207.99","166","184",""
"Stephane Labouille","K1H","208.35","168","185",""
"Kudla Romain","K1H","208.96","175","189",""
"Jeremiah Mosch","K1H","209.01","172","189",""
"Kevin Gouabault","K1H","209.46","175","191",""
"Perrin Alexandre","K1H","209.78","229","193",""
"Pascal Poitiers","K1H","209.91","210","193",""
"Maelstaf Jeremy","K1H","209.99","160","194",""
"Morvan Antoine","K1H","210.08","224","194",""
"David Beyer","K1H","210.22","216","195",""
"Cedric Mace","K1H","210.55","207","196",""
"Bersinger Sylvain","K1H","210.58","208","196",""
"Florian Ordonneau","K1H","210.70","182","197",""
"Mathieu Godin","K1H","211.00","211","199",""
"Thomas Rosset","K1H","211.37","190","200",""
"Jonathan Delagnes","K1H","211.59","203","201",""
"Cedric Bron","K1H","211.64","87","202",""
"Daumas Jeremy","K1H","211.74","225","202",""
"Marc Laborde","K1H","211.81","196","203",""
"Courtille Arnaud","K1H","212.51","203","206",""
"Julien Daumont","K1H","212.70","196","207",""
"Philippe Daumont","K1H","213.49","244","211",""
"Benoit Chantry","K1H","213.54","163","211",""
"Loic Froissard","K1H","214.06","284","214",""
"Julien Lenaour","K1H","214.35","213","215",""
"Court Germain","K1H","214.44","193","216",""
"Thibaud Rottier","K1H","215.12","218","219",""
"Abadie Stephane","K1H","215.33","195","220",""
"Bastien Dantin","K1H","215.44","235","221",""
"Romain Chabrol","K1H","215.89","203","222",""
"Quentin Vallee","K1H","216.72","197","226",""
"Remy Guerinet","K1H","216.75","187","226",""
"Sebastien Serot","K1H","216.78","236","227",""
"Alexandre Guerinet","K1H","217.55","234","231",""
"Yves Lecointe","K1H","217.58","220","231",""
"Christophe Gosselin","K1H","217.79","216","232",""
"Childeric Thoreau","K1H","217.85","182","232",""
"Revelle Yohann","K1H","218.45","227","235",""
"Di Lauro Alexandre","K1H","219.16","195","239",""
"Bertrand Dubiez","K1H","219.21","241","239",""
"Jeremy Vibert","K1H","219.61","284","241",""
"Remy Faucon","K1H","220.63","164","246",""
"Michel Ragot","K1H","220.79","186","247",""
"Remi Wolf","K1H","221.63","233","251",""
"Olivier Cain","K1H","221.65","219","251",""
"Philippe Niquet","K1H","221.75","250","252",""
"Ballini Yoann","K1H","222.92","230","257",""
"Erwan Le Pen","K1H","223.23","206","258",""
"Pierson Cyril","K1H","223.82","233","262",""
"Manoussos Nicolas","K1H","226.18","279","273",""
"Boris Lesimple","K1H","229.64","224","290",""
"Ludovic Gloaguen","K1H","232.66","199","305",""
"Thomas Masuy","K1H","243.61","110","359",""
"Benjamin Thouvignon","K1H","249.60","126","388",""
"Dimitriou Alexandre","K1H","252.19","130","401",""
"Bluy Alexandre","K1H","253.21","124","406",""
"Michel Gombert","K1H","254.95","159","414",""
"Douillet Guilhem","K1H","259.09","207","435",""
"Andy Pajani","K1H","259.43","171","437",""
"Lismonde Alexandre","K1H","259.65","205","438",""
"Alain Ferry","K1H","263.76","239","458",""
"Guillaume Gery","K1H","268.60","230","481",""
"Escurier Ludovic","K1H","268.70","-","482",""
"Paul Storez","K1H","274.57","238","511",""
"Jeremy Poux","K1H","275.55","196","516",""
"Yannick Besse","K1H","282.66","243","551",""
"Julien Beltrami","K1H","288.90","145","581",""
"Dardilhac Anthony","K1H","297.62","108","625",""
"Ardito Julien","K1H","333.44","420","800",""
"Etienne Daille","K1H","344.97","174","857",""
"Florian Perenchio","K1H","395.98","210","1108",""
"Luc Doye","K1H","400.81","125","1131",""
