"SELECTION NATIONAL 3 PICQUIGNY - Picquigny - 2008-04-19","Course 1","2008-04-19","Nationale 3","111"
"Gerard Lafargue","K1H","244.56","342","414",""
"Thomas Viratelle","K1H","246.72","367","427",""
"Guilherme Goncalves Maghin","K1H","249.65","487","443",""
"Thomas Plomion","K1H","249.80","461","444",""
"Romain Lemaire","K1H","251.03","316","451",""
"Thomas Quennehen","K1H","253.99","467","468",""
"Jeremy Harel","K1H","259.46","627","498",""
"Mathieu Monvoisin","K1H","260.37","528","503",""
"Romain Chane","K1H","260.51","370","504",""
"Valentin Casse","K1H","263.01","258","518",""
"Paul Batrel","K1H","263.83","525","523",""
"Jeremy Huguenin","K1H","263.94","475","523",""
"Guillaume Cochut","K1H","265.27","380","530",""
"Remi Deblangy","K1H","266.65","480","538",""
"Julien Signarbieux","K1H","266.92","219","539",""
"Tillier Vianney","K1H","268.05","451","546",""
"Thibault Dhennin","K1H","268.67","332","550",""
"Mathieu Faure","K1H","271.56","498","565",""
"Maxime Boisgontier","K1H","273.45","704","576",""
"Johann Beldame","K1H","273.70","389","578",""
"Simon Bernard","K1H","273.72","511","578",""
"Baptiste Humbert","K1H","276.18","620","592",""
"Samuel Bonvalet","K1H","281.14","593","619",""
"Quentin Vallee","K1H","282.11","251","624",""
"Olivier Cornu","K1H","282.58","474","627",""
"Alban Planchais","K1H","283.52","289","633",""
"Tristan Lejot","K1H","286.55","359","649",""
"Alexandre Peslin","K1H","298.88","353","718",""
"Remy Daumont","K1H","313.10","396","798",""
"Eric Bernard","K1H","324.45","766","861",""
"Quentin Dheilly","K1H","332.40","316","906",""
"Geoffroy Schwentzel","K1H","336.07","237","926",""
"Salinie Sylvain","K1H","394.25","323","1252",""
"Remi Fossier","K1H","422.99","592","1412",""
"Henry Théophile","K1H","564.63","642","2203",""
