"Manche de la Coupe de France National 2 Slalom - 81100 Burlats - Finale - 2019-05-19","Finale","2019-05-19","Nationale 2","116"
"Cerise Babin","K1D","126.11","342.38","377.47","Finale B"
"Clara Grangeon","K1D","126.12","362.66","377.58","Finale B"
"Chloe Faverjon","K1D","127.89","473.35","396.76","Finale B"
"Zoe Huet","K1D","128.08","478.38","398.82","Finale B"
"Laetitia Thueux","K1D","128.41","808.47","402.4","Finale B"
"Morgane Quemerais","K1D","128.84","399.29","407.06","Finale B"
"Marthealice Beaurepaire","K1D","129.02","463.99","409.01","Finale B"
"CÉcilia Bourgeois","K1D","134.38","442.3","467.11","Finale B"
"Elorri Erdois","K1D","170.37","300.22","857.25","Finale B"
"Mael Hervault","K1H","96.3","285.36","190.03","Finale B"
"Jeremie Palazy","K1H","98.14","147.22","212.57","Finale B"
"Guilhem Viguier","K1H","98.81","287.84","220.77","Finale B"
"Baptiste Delemotte","K1H","100.14","277.94","237.07","Finale B"
"Emilien Courtiade","K1H","100.52","234.45","241.72","Finale B"
"Yanis Rainaud","K1H","101.17","160.55","249.68","Finale B"
"Antoine Laye","K1H","102.01","315.67","259.97","Finale B"
"Alexandre Goujon","K1H","102.14","277.07","261.56","Finale B"
"Nour Ait Kaddour","K1H","102.31","274.33","263.65","Finale B"
"Jules Silvin","K1H","102.38","207.52","264.5","Finale B"
"Leo Fournier","K1H","102.78","274.49","269.4","Finale B"
"Felix Praderie","K1H","102.95","246.4","271.49","Finale B"
"Jerome Blanchet","K1H","104.01","278.72","284.47","Finale B"
"Lubin Huet","K1H","104.02","279.14","284.59","Finale B"
"Marc Sarramea","K1H","104.09","237.4","285.45","Finale B"
"Theo Ducasse","K1H","107.48","267.23","326.98","Finale B"
"Romain Guyomard","K1H","108.77","229.4","342.78","Finale B"
"Gedeon Cothias-faure","K1H","108.93","264.87","344.74","Finale B"
"Esteban Illido","K1H","109.03","286.73","345.96","Finale B"
"Matheo Gillaizeau","K1H","109.45","430.09","351.11","Finale B"
"Francois Gillot","K1H","152.67","278.25","880.53","Finale B"
"Samuel Taillefer","K1H","153.52","344.46","890.94","Finale B"
"Tino Forgues","K1H","155.21","267.42","911.64","Finale B"
