"SÈlectif National 3 Slalom Sud-Ouest - Sauveterre De Bearn - Qualification - 2018-05-13","Qualification","2018-05-13","Nationale 3","185"
"Elian Giondini","K1H","101.83","360.02","437.65",""
"Alex Baldoni","K1H","101.9","421.57","438.63",""
"Adrien Ricaud","K1H","102.78","474.68","451.01",""
"Frederic Reus","K1H","102.9","428.51","452.69",""
"Tom Delens","K1H","103.31","412.64","458.46",""
"Thomas Moret","K1H","103.86","485.89","466.19",""
"Clement Riera","K1H","104.51","423.85","475.33",""
"Yannis Dast","K1H","104.55","418.41","475.89",""
"Thomas Terr…","K1H","104.63","485.32","477.02",""
"Tom Charles","K1H","104.69","453.32","477.86",""
"Julien Dubarry","K1H","104.94","860.78","481.38",""
"Pierre Maupetit","K1H","105.35","632.54","487.14",""
"Arthur Caillaud-gault","K1H","105.48","670.66","488.97",""
"Loic Leymonerie","K1H","105.73","796.78","492.49",""
"Louis Rathier","K1H","105.75","462.89","492.77",""
"Remi Dolcin Tillant","K1H","105.95","599.72","495.58",""
"Alexandre Weiler","K1H","106.16","565.88","498.53",""
"Guillaume Lopes","K1H","106.38","876.12","501.63",""
"Lucas Dongarra","K1H","106.4","519.88","501.91",""
"Theo Dunie","K1H","106.41","526.68","502.05",""
"Esteban Bidegain","K1H","106.48","635.97","503.03",""
"Pierrick Bresson","K1H","106.61","520.98","504.86",""
"Antton Erdois","K1H","106.74","490.97","506.69",""
"Liam Caradec","K1H","106.8","579.17","507.53",""
"Jules Besson","K1H","106.92","411.67","509.22",""
"Marin Saint Macary","K1H","106.92","638.67","509.22",""
"Benoit Dandonneau","K1H","107.52","802.98","517.66",""
"Tristan Ruiz","K1H","107.62","539.01","519.06",""
"Dylan Renneteau","K1H","107.89","767.32","522.86",""
"Julien Doumecq","K1H","107.95","532.5","523.7",""
"Denis Vintrou","K1H","108.08","438.8","525.53",""
"Maxime Blondeau","K1H","108.35","494.57","529.33",""
"Baptiste San Nicolas","K1H","108.58","482.39","532.56",""
"Pierre Gaydier","K1H","108.67","602.86","533.83",""
"Raphael Jean","K1H","108.69","676.9","534.11",""
"Quentin Escudero","K1H","108.99","631.96","538.32",""
"Simon Metra","K1H","110.2","649.88","555.34",""
"Tonin Desmet","K1H","110.25","526.82","556.04",""
"Baptiste Moret","K1H","110.25","636.65","556.04",""
"Jean Yves Courtiade","K1H","110.31","471.76","556.88",""
"Matt…o Rainaud","K1H","110.52","575.73","559.84",""
"Noa Lorand","K1H","110.58","612.75","560.68",""
"Clement Claret","K1H","110.65","654.79","561.67",""
"Guillaume Pradalie","K1H","111.34","552.34","571.37",""
"Lohan Wyon","K1H","111.57","755.97","574.6",""
"Emeric Nieser","K1H","112.12","625.23","582.34",""
"Thibault Marque","K1H","114.36","613.62","613.83",""
"Robin Genty","K1H","114.61","642.92","617.35",""
"Jean Dayraut","K1H","114.63","577.44","617.63",""
"Matteo Roubaud","K1H","115.81","682.86","634.22",""
"K…ziah Lecomte","K1H","116.18","710.17","639.42",""
"Matheo Nassieu","K1H","116.46","660.48","643.36",""
"Lucas Deleplancque","K1H","116.5","812.5","643.92",""
"Abel Boidron","K1H","116.55","487.66","644.62",""
"Clement Brotier","K1H","116.67","775.12","646.31",""
"Gabriel Felenc","K1H","117.19","638.17","653.62",""
"Bruno Lamothe","K1H","117.6","700.09","659.39",""
"Gaspard Trichard","K1H","118.88","862.6","677.39",""
"Jean-noel Biteau","K1H","120.38","645.81","698.48",""
"Edouard Patry","K1H","120.99","905.7","707.05",""
"Aurelien Blois","K1H","122.42","788.92","727.16",""
"Thilbault Rucher","K1H","125.08","435.39","764.56",""
"Bastien Darmayan","K1H","127.13","769.88","793.39",""
"Arsene Labarthe","K1H","128.18","879.41","808.15",""
"Martin Thermidor","K1H","128.91","2320.08","818.42",""
"Killian Dal-cin","K1H","128.91","1187.24","818.42",""
"Daniel Lafitte","K1H","129.96","685.87","833.18",""
"Leo Arriau","K1H","131.46","880.03","854.27",""
"Antonin Bretecher","K1H","135.2","1362.34","906.86",""
"Fabrice Le Bras","K1H","137.84","951.17","943.98",""
"Jean Luc Pessoni","K1H","141.76","766.58","999.1",""
"Adrien Favennec","K1H","145.7","728.41","1054.5",""
"Amil Kourdoughli","K1H","151.38","956.08","1134.36",""
"Leo Metro","K1H","159.33","810.08","1246.15",""
"Clement Serres","K1H","165.66","805.76","1335.15",""
"Thierry Le Bonniec","K1H","175.35","871.62","1471.4",""
"Yanis Delmas","K1H","177.92","723.2","1507.54",""
"Baptiste Mondin","K1H","Abs","-","-",""
"Jeremy Rouchereau","K1H","Abs","-","-",""
"Raoul Colin","K1H","Abs","-","-",""
"Florian Giraud","K1H","Abs","-","-",""
"Pascal Dongarra","K1H","Abs","-","-",""
"Clement Caillard","K1H","Abs","-","-",""
"Gr…gory Navail","K1H","Abs","-","-",""
"Clement Gillaizeau","K1H","Abs","-","-",""
"Compton Cruickshank","K1H","Abs","-","-",""
"Lucas Mauer","K1H","Abs","-","-",""
