"SÈlectif RÈgional de HERMES - Hermes - Qualification - 2017-10-08","Qualification","2017-10-08","RÈgional","103"
"Fabien De Almeida","K1H","96.75","277.31","314.68",""
"Louis Debureaux","K1H","97.44","311.88","323.96",""
"Loœc Pottier","K1H","97.75","278.56","328.13",""
"Yvan Leblond","K1H","101.63","268.8","380.32",""
"Tom Barthelemy","K1H","101.78","316.01","382.34",""
"Hugo Pidoux","K1H","101.97","401.2","384.9",""
"Maxime Savalle","K1H","104.03","447.75","412.61",""
"Hugo Baillet","K1H","109.78","504.55","489.95",""
"Baptiste Duboc","K1H","110.09","452.98","494.12",""
"Pierre Boinot","K1H","111.03","-","506.77",""
"Elouan Fouquier","K1H","111.1","613.54","507.71",""
"David Delavigne","K1H","111.13","-","508.11",""
"Enzo Claeys","K1H","111.22","434.25","509.32",""
"Paul Cascarino","K1H","111.41","519.2","511.88",""
"Louis Vanbersel","K1H","113.5","663.96","539.99",""
"Roman Vivier","K1H","114.1","494.84","548.06",""
"Thibaut Evrard","K1H","116","526.12","573.62",""
"Vincent Amisse","K1H","116.03","459.95","574.02",""
"Hugo Ronseaux - Dury","K1H","119.06","-","614.78",""
"Jean Chevassus-clement","K1H","120.69","-","636.71",""
"Pierre Tardif","K1H","122.62","-","662.67",""
"Damien Marcq","K1H","122.75","728.53","664.42",""
"Alain Regnier","K1H","124.19","828.48","683.79",""
"Eric Bernard","K1H","125.19","1054.61","697.24",""
"Johann Sacleux","K1H","125.44","582.88","700.6",""
"Thierry Codemo","K1H","127.19","-","724.14",""
"Gaetan Laperle","K1H","129.38","670.46","753.6",""
"Cedre Mercier","K1H","129.87","805.55","760.19",""
"Bruno Dumouilla","K1H","132.47","-","795.17",""
"Thibaut Jumetz","K1H","133.85","878.04","813.73",""
"Mickael Dubois","K1H","143.87","1023.04","948.51",""
"Arnaud Grignon","K1H","146.34","-","981.74",""
"Yohann Senechault","K1H","149.91","267.07","1029.76",""
"Emmanuel Iatrino","K1H","149.93","-","1030.03",""
"Benjamin Iatrino","K1H","160.19","-","1168.04",""
"Th…o Laroque","K1H","181.93","-","1460.48",""
"Romain Caupin","K1H","183.28","-","1478.64",""
"Gerard Lafargue","K1H","Abs","-","-",""
"Robin Dheilly","K1H","Abs","-","-",""
"Alessandro Mosalini","K1H","Abs","-","-",""
"Florian Jumetz","K1HM","108.41","587.61","471.52",""
"Matheo Dupont","K1HM","110.38","613.38","498.02",""
"Mathis Piepho","K1HM","110.44","501.39","498.83",""
"Helwann Rachdi","K1HM","110.63","600.45","501.39",""
"Clery Girard","K1HM","114.4","-","552.1",""
"Paul Pesant","K1HM","116.09","1095.76","574.83",""
"Cosme Duboc","K1HM","122.22","662.62","657.29",""
"Paul Lecomte","K1HM","125.53","684.38","701.81",""
"Flavien Firon","K1HM","126.94","-","720.78",""
"Mao Caron","K1HM","130.13","-","763.69",""
"Hugo Tellier","K1HM","133.25","760.79","805.66",""
"Erwan Masson","K1HM","134.28","859.77","819.51",""
"Leo Bayard","K1HM","137.06","-","856.91",""
"Enzo Leclercq","K1HM","141.06","-","910.71",""
"Sebastien Marchandin","K1HM","155.43","-","1104.01",""
"Gabin Louchez","K1HM","156.12","-","1113.29",""
"MaÀl Demanet","K1HM","Abs","-","-",""
