"Sélectif National 3 Slalom Nord - Pont D'ouilly - Finale - 2016-03-06","Finale","2016-03-06","Nationale 3","166"
"Nicolas Candieu-Niels Beaumont","C2H","158.79","-","899.11","Finale B"
"Anne Lambert-Louison Laumondais","C2M","150.05","780.8","648.64","Finale B"
"Quentin Angot-Leontine Dubuisson","C2M","160.9","-","765.89","Finale B"
"Geoffroy Lauth-Rachel Broin","C2M","167.6","593.02","838.31","Finale B"
"Leontine Dubuisson","K1D","124.37","376.12","454.36","Finale B"
"Natacha Giraud","K1D","135.81","465.85","585.66","Finale B"
"Nelia Barbosa","K1D","135.92","420.15","586.92","Finale B"
"Anna Marvillet","K1D","141.27","571.68","648.33","Finale B"
"Sandrine Arnal","K1D","145.22","524.19","693.65","Finale B"
"Elisa Langlois","K1D","153.15","588.2","784.67","Finale B"
"Maryse Viseur","K1D","174.3","648.3","1027.41","Finale B"
"Anne Lambert","K1D","184.28","568.61","1141.95","Finale B"
"Florian Torche","K1H","107.52","396.23","421.4","Finale B"
"Benoit Guernic","K1H","111.95","468.75","478.85","Finale B"
"Niels Beaumont","K1H","112.5","431.37","485.98","Finale B"
"Damien Jacques","K1H","114.61","553.36","513.35","Finale B"
"Philippe Valeri","K1H","115.18","434.49","520.74","Finale B"
"Antoine Martin","K1H","115.43","427.56","523.98","Finale B"
"Amael Samson","K1H","115.68","543.52","527.22","Finale B"
"Marceau Decarsin","K1H","116.83","485.74","542.14","Finale B"
"Kevin Tanay","K1H","117.58","515.55","551.86","Finale B"
"Elie Scaglia Mennesson","K1H","118.06","659.66","558.09","Finale B"
"Mathieu Cruard","K1H","119.24","563.19","573.39","Finale B"
"Simon Philibert","K1H","119.74","600.39","579.88","Finale B"
"Thomas Martinet","K1H","120.29","497.41","587.01","Finale B"
"Ianis Fleury","K1H","120.32","768.45","587.4","Finale B"
"Romain Bezies","K1H","121.88","548.11","607.63","Finale B"
"Joseph Bibal","K1H","122.93","575.06","621.25","Finale B"
"Basile Guerrapin","K1H","123.46","541.24","628.12","Finale B"
"Maxime Savalle","K1H","125.24","-","651.21","Finale B"
"Jean-francois Dulouard","K1H","125.44","553.68","653.8","Finale B"
"Paul Cascarino","K1H","125.65","665.14","656.52","Finale B"
"Vincent Amisse","K1H","126.18","473.09","663.4","Finale B"
"Eddie Vinandy","K1H","127.65","643.67","682.46","Finale B"
"Marvin Lescourant","K1H","129.51","597.5","706.58","Finale B"
"Baptiste Le Cocq","K1H","131.96","572.4","738.36","Finale B"
"Alexandre Ponnelle","K1H","133.78","540.81","761.96","Finale B"
"Sebastien Masseline","K1H","137.76","625.4","813.58","Finale B"
"Roman Vivier","K1H","139.55","825.19","836.79","Finale B"
"Maxime Taimiot","K1H","140.16","616.06","844.7","Finale B"
"Samuel Bonvalet","K1H","140.79","642.33","852.87","Finale B"
"Mathieu Aussant","K1H","141.65","660.12","864.03","Finale B"
"Pablo Ramirez","K1H","144.24","552.14","897.61","Finale B"
"Johann Sacleux","K1H","145.49","708.86","913.83","Finale B"
"Augustin Renard","K1H","149.32","733.14","963.5","Finale B"
"Christophe Flores","K1H","150.05","794.04","972.96","Finale B"
"Martin Rich","K1H","151.18","627.71","987.62","Finale B"
"Gregoire Paillard","K1H","156.09","664.3","1051.3","Finale B"
"Alexandre Mauger","K1H","156.7","792.55","1059.21","Finale B"
"Alberic Carpentier","K1H","177.65","706.99","1330.91","Finale B"
"Kevin Langlois","K1H","180","830.97","1361.38","Finale B"
"Axel Kottelanne","K1H","195.81","863.66","1566.42","Finale B"
"Axel Lepenant","K1H","Abs","-","-","Finale B"
"Bastien Darcillon","K1H","Abs","-","-","Finale B"
