"Sélectif Régional - Grosbliderstrof - 2012-09-16","Course 2","2012-09-16","Régional","96"
"Jennifer Perouelle","K1D","150.38","-","669.6",""
"Carole Dolmaire","K1D","150.45","-","670.36",""
"Manon Louis","K1D","172.12","1791.71","904.88",""
"Margaux Faure","K1D","197.89","-","1183.77",""
"Gaelle Tosser-roussey","K1D","Nt","-","-",""
"Camille Zumstein","K1D","Nt","-","-",""
"Nathalie Latimier Ragot","K1D","Nt","-","-",""
"Jerome Olhagaray","K1H","83.13","46.25","58.76",""
"Silvere Desongins","K1H","86.55","91.92","100.58",""
"Clement Travert","K1H","88.99","98.27","130.42",""
"Nicolas Mangeolle","K1H","92.37","146.28","171.76",""
"Otello Willmann Rosso","K1H","93.08","193.22","180.44",""
"Louis Savart","K1H","94.04","168.35","192.18",""
"Julian Othenin-girard","K1H","94.56","148.9","198.54",""
"Christophe Billaud","K1H","97.12","179.6","229.85",""
"Felix Jeanningros","K1H","97.85","148.59","238.77",""
"Pierre Francois","K1H","97.87","214.49","239.02",""
"Erwan Guenier","K1H","98.12","234.33","242.08",""
"Lucas Galmiche","K1H","99.83","270.08","262.99",""
"Vincent Herrenberger","K1H","103.06","327.71","302.49",""
"Victor Beau","K1H","105","391.78","326.21",""
"Arthur Favennec","K1H","105.16","237.26","328.17",""
"Erwan Rouch","K1H","106.19","393.53","340.76",""
"Yann Becker","K1H","107.83","292.57","360.82",""
"Amelien Marchal","K1H","109.63","-","382.83",""
"Nicolas Abel","K1H","111.3","376.81","403.25",""
"Jack Williams","K1H","112.12","447.18","413.28",""
"Emile Gousselot","K1H","113.09","524.82","425.14",""
"Nathan Roth","K1H","113.14","-","425.76",""
"Andre Kempf","K1H","113.14","614.73","425.76",""
"Guillaume Goury","K1H","113.41","405.28","429.06",""
"Baptiste Maes","K1H","113.89","479.7","434.93",""
"Philippe Potier","K1H","116.25","-","463.79",""
"Pierre Reichert","K1H","120.2","-","512.09",""
"Quentin Maillier","K1H","124.72","988.86","567.37",""
"Leo Di Jorio","K1H","128.05","-","608.09",""
"Thomas Szabo","K1H","129.45","-","625.21",""
"Eryck Dubuisson","K1H","136.18","-","707.52",""
"Luc Maillard","K1H","139.93","-","753.37",""
"Benjamin Aubry","K1H","145.43","-","820.63",""
"Pierre-louis Lefort","K1H","161.83","-","1021.19",""
"Billel Khenchouche","K1H","Nt","-","-",""
"Mael Othenin Girard","K1H","Nt","-","-",""
"Enrique Billet","K1H","Nt","-","-",""
"Merwan Krati","K1H","Nt","-","-",""
"Jean Pierre Latimier","K1H","Nt","-","-",""
"Luc Rumeau","K1H","Nt","-","-",""
"Victor Treiber","K1H","Nt","-","-",""
