"SLALOM REGIONAL DE SILLERY - Sillery - 2008-01-27","Course 1","2008-01-27","Régional","116"
"Christophe Simonin","K1H","240.24","-","736",""
"Adrien Fevre","K1H","245.04","-","770",""
"Clement Pierron","K1H","252.16","-","820",""
"Loic Durand","K1H","259.63","-","874",""
"Aimeric Brouillard","K1H","262.11","826","892",""
"Florent Bronchain","K1H","263.30","-","900",""
"Mattheo Geoffray","K1H","269.38","-","944",""
"Antoine Lecocq","K1H","275.77","-","989",""
"Robin Poulet","K1H","279.91","-","1019",""
"Elie Voltz","K1H","281.62","1701","1031",""
"Daniaud Corentin","K1H","288.51","-","1080",""
"Yannik Ledigabel","K1H","297.91","-","1148",""
"Quentin Deparpe","K1H","308.15","-","1220",""
"Maxime Vandaele","K1H","350.58","-","1523",""
"Francis Duchiron","K1H","355.18","-","1556",""
"Lucas Doyen","K1H","493.13","-","2541",""
"Paul Beteille","K1H","539.29","-","2871",""
