"SR TORCHAMP - Base De Torchamp - 2004-12-05","Course 1","2004-12-05","Régional","120"
"Benjamin Thiboust","K1H","207.36","267","259",""
"Ludovic Gloaguen","K1H","207.88","265","263",""
"Anthony Thuillier","K1H","209.89","348","276",""
"Simon Joudou","K1H","214.66","290","307",""
"Boivin Xavier","K1H","214.87","281","308",""
"Yves Lecointe","K1H","215.02","217","309",""
"Bertrand Avril","K1H","216.08","295","316",""
"Nicolas Rebours","K1H","216.32","-","318",""
"Planchais Martial","K1H","216.69","483","320",""
"Simon Bercon","K1H","218.37","387","332",""
"Andrieux Martin","K1H","220.87","391","348",""
"Vanneste Matthieu","K1H","221.39","383","351",""
"Eon Tom","K1H","221.96","373","356",""
"Loic Froissard","K1H","222.23","239","357",""
"Guillaume Wattez","K1H","223.74","-","367",""
"Olivier Cornu","K1H","224.21","423","370",""
"Barroche Christopher","K1H","225.90","410","380",""
"Simon Bonnet","K1H","226.67","507","386",""
"Dubu Alain","K1H","229.92","376","408",""
"Anthony Mottais","K1H","230.15","404","409",""
"Baptiste Granger","K1H","233.87","-","434",""
"Houssemaine Julien","K1H","233.96","-","434",""
"Langlin Romain","K1H","235.22","452","441",""
"Manuel Moquet","K1H","235.83","514","446",""
"Chesneau Brian","K1H","236.96","-","454",""
"Bezier Damien","K1H","237.21","-","455",""
"Lebar Johnny","K1H","238.02","497","461",""
"Benard Fabien","K1H","238.77","459","465",""
"Alexandre Plouzeau","K1H","239.03","-","467",""
"Leyoudec Florent","K1H","239.92","460","473",""
"Vincent Richard","K1H","240.83","428","479",""
"Marcen Nathan","K1H","240.93","636","480",""
"Roberge Sebastien","K1H","242.31","738","489",""
"Cornu Jeremy","K1H","245.22","633","507",""
"Valentin Cazin","K1H","247.60","-","523",""
"Pierrick Meheust","K1H","253.50","763","562",""
"Quillet Maxime","K1H","253.59","554","562",""
"Dominique Odile","K1H","253.65","546","562",""
"Despre Philippe","K1H","254.56","587","569",""
"Simon Vaillant","K1H","255.73","-","576",""
"Launay Emmanuel","K1H","256.81","621","584",""
"Quentin Charles","K1H","260.57","635","609",""
"Germain Maxime","K1H","260.80","-","610",""
"Eon Jean-Francois","K1H","263.81","812","629",""
"Ferlin Berenger","K1H","276.56","632","713",""
"Roussin Sebastien","K1H","285.15","-","769",""
"Garcia Denis","K1H","293.45","-","823",""
"Delaunay Nicolas","K1H","314.79","-","964",""
"Fleurant Aurelien","K1H","316.51","-","975",""
"Leroy Julien","K1H","324.54","-","1028",""
"Colin Maxime","K1H","331.85","-","1075",""
"Nacfer Thomas","K1H","345.50","-","1165",""
"Foucault Antioine","K1H","347.59","-","1178",""
"Guesdon Aurélien","K1H","396.09","-","1497",""
"Leroyer Julien","K1H","417.92","-","1639",""
"Gana Alban","K1H","433.46","-","1741",""
"Miseray Elie","K1H","544.36","-","2469",""
