"Sélectif Régional de slalom - Sev Vinon Sur Verdon - Course 1 - Qualification - 2015-04-04","Course 1 - Qualification","2015-04-04","Régional","151"
"Clara Gache","K1D","143.46","-","457.14",""
"Lucie Adisson","K1D","148.46","421.48","505.49",""
"Juliette Bonetti","K1D","151.08","-","530.82",""
"Juliette Rousset","K1D","159.97","535.18","616.78",""
"Clemence Pacher","K1D","161.62","510.35","632.74",""
"Lorene Scalbert","K1D","169.12","440.61","705.26",""
"Julie Fauroux","K1D","181.64","388.05","826.32",""
"Charlotte Issagarre","K1D","189.34","456.49","900.79",""
"Laura Rocher","K1D","197.29","189.95","977.66",""
"Amandine CrÉgut","K1D","Abd","-","-",""
"Laura Guillem","K1D","Abs","-","-",""
"Eva Pietracha","K1DM","156.7","-","-",""
"Elena Hugues","K1DM","158.46","-","-",""
"Marion Pasquali","K1DM","164.61","-","-",""
"Camille Berson","K1DM","179.53","-","-",""
"Luc Doye","K1H","111.86","219.52","292.18",""
"Mathieu Monier","K1H","112.22","207.87","296.12",""
"Theo Viens","K1H","115.87","344.1","336",""
"Dimitri Durannot","K1H","116.68","259.83","344.85",""
"Yohann Biglia","K1H","117.29","287.02","351.52",""
"Tom Deconchy","K1H","120.34","268.51","384.84",""
"Pablo Guillem","K1H","120.86","290.6","390.52",""
"Baptiste Tappero","K1H","121","-","392.05",""
"Alexis Cordier","K1H","121.05","266.22","392.6",""
"Ronan Cordier","K1H","121.49","365.46","397.41",""
"Kawan Thomas","K1H","122.06","340.7","403.64",""
"Jules Cresp","K1H","123","353.38","413.91",""
"Marc Delli Zuani","K1H","124.93","392.89","435",""
"Julien Nutte","K1H","125.85","-","445.05",""
"Quentin Duhamel","K1H","126.1","-","447.78",""
"Maxime Lignereux","K1H","126.27","325.39","449.64",""
"Yoann Mourier","K1H","127.36","-","461.55",""
"Cedric Castel","K1H","127.54","441.53","463.52",""
"Antoine Monternier","K1H","127.7","-","465.26",""
"Fabien Jouet","K1H","128.37","-","472.59",""
"Lucien Goulet","K1H","128.64","438.33","475.54",""
"Cyril Audoit","K1H","129.17","405.23","481.33",""
"Fabien Leist","K1H","129.3","376.24","482.75",""
"Hugo Andre","K1H","130.25","363.23","493.13",""
"Mahe Dersoir","K1H","130.28","373.65","493.46",""
"Stephane Marcellot","K1H","132.3","449.34","515.53",""
"Adrien Reinard","K1H","132.36","411.17","516.18",""
"Lucas Di Martino","K1H","133.99","-","534",""
"Mathieu Lions","K1H","134.21","332.26","536.4",""
"Lucas Maurin","K1H","134.98","540.92","544.81",""
"Mikael Clanchin","K1H","135.43","482.22","549.73",""
"Yann Tabone","K1H","136.15","483.16","557.6",""
"Valentin Affortit","K1H","137.93","526.9","577.05",""
"Alan Bellot","K1H","138.82","527.66","586.77",""
"Adrien Tappero","K1H","139.06","-","589.39",""
"Hugo Avril","K1H","139.88","709.79","598.35",""
"Louis Scalbert","K1H","140.5","503.74","605.13",""
"Hugo Polard","K1H","141.06","537.67","611.25",""
"Ollivier Paumier","K1H","141.61","466.87","617.26",""
"Valentin Bonnot","K1H","142.35","382.67","625.34",""
"Lucas Ferro","K1H","146.54","600.05","671.13",""
"Marc Cordier","K1H","147.01","328.45","676.26",""
"Dominique Polard","K1H","147.64","563.21","683.15",""
"Thomas Courtois","K1H","148.59","473.47","693.53",""
"Luca Barone","K1H","151.86","626.51","729.26",""
"Gregoire Michel","K1H","152.11","778.54","731.99",""
"Jean Beillard","K1H","155.22","-","765.97",""
"Anton Gille","K1H","155.61","669.85","770.24",""
"Robin Plancade","K1H","159.14","593.97","808.81",""
"Ange Bernard","K1H","159.93","803.28","817.44",""
"Seraphin Margot","K1H","161.29","557.66","832.3",""
"Pierre Courtois","K1H","162.16","825.21","841.81",""
"Enzo Briffa","K1H","166.72","902.2","891.63",""
"Thomas Thieblemont","K1H","175.27","330.99","985.06",""
"Morgan Hoarau","K1H","177.11","551.12","1005.16",""
"Nayl Tazi-sidqui","K1H","184.78","474.46","1088.97",""
"Ivan Olivier","K1H","190.93","-","1156.17",""
"Gilles Lovera","K1H","197.04","506.2","1222.94",""
"Alexis Mercoirol","K1H","197.42","399.64","1227.09",""
"Paul Badache","K1H","Abs","-","-",""
"Romain Berthon","K1H","Abs","-","-",""
"Marc Scognamiglio","K1H","Abs","-","-",""
"Nadjib Mazar","K1H","Abs","-","-",""
"Paul Roubaud","K1H","Abs","-","-",""
"Tom Benini","K1H","Abs","-","-",""
"Aurelien Fualdes","K1H","Abs","-","-",""
"Max Givelet","K1H","Abs","-","-",""
"Marc Jungling","K1H","Abs","-","-",""
"Hugo Nerisson","K1H","Abs","-","-",""
"Samuel Bonella","K1H","Abs","-","-",""
"Ludovic Pinchon","K1H","Abs","-","-",""
"Jules Azelie","K1H","Abs","-","-",""
"Thibault Gache","K1H","Abs","-","-",""
"Philippe Bigard","K1H","Abs","-","-",""
"Bastien Cothenet","K1H","Des","-","-",""
"Gauthier Fiorentino","K1H","Des","-","-",""
"Gael Adisson","K1HM","131.73","-","-",""
"Alexandre Goujon","K1HM","149.53","-","-",""
"Adrien Fischer","K1HM","154.47","-","-",""
"Tao Semeria","K1HM","158.91","-","-",""
"Robin Andre","K1HM","159.65","-","-",""
"Aymeric Rivier","K1HM","162.68","-","-",""
"Antonin Dustou","K1HM","169.84","-","-",""
"Baptiste Marcellot","K1HM","169.9","-","-",""
"Kilian Cottet","K1HM","205.36","-","-",""
"Romaric Moreno","K1HM","227.59","-","-",""
"Enzo Guillarme","K1HM","267.72","-","-",""
"Simon Del Negro","K1HM","293.74","-","-",""
"Simon Louchard","K1HM","Abs","-","-",""
"Henri Bergognon","K1HM","Abs","-","-",""
"Simon Herbulot","K1HM","Abs","-","-",""
"Charlie Genovese","K1HM","Abs","-","-",""
