"Challenge du Printemps - Ancerville - 2007-04-28","Course 1","2007-04-28","Régional","137"
"Emilie Saguet","K1D","225.52","262","299",""
"Hubert Sandrine","K1D","231.71","279","337",""
"Lisa Elasri","K1D","232.10","335","339",""
"Blanche Legin","K1D","232.27","393","340",""
"Marechal Brigitte","K1D","232.31","307","340",""
"Giroux Marilyn","K1D","240.66","524","391",""
"Lauranne Bechereau","K1D","241.53","519","397",""
"Anne Fischer","K1D","252.82","170","466",""
"Wojcik Marina","K1D","259.34","581","506",""
"Ladouce Charline","K1D","260.64","595","513",""
"Marie Bourgey","K1D","261.23","491","517",""
"Mertz Helene","K1D","280.37","728","634",""
"Lacour Gaelle","K1D","330.54","-","941",""
"Moussu Gabrielle","K1D","339.68","1047","997",""
"Carole Dolmaire","K1D","349.26","662","1056",""
"Marie-helene Bruyen","K1D","380.94","-","1250",""
"Julie Mourot","K1D","395.33","343","1338",""
"Sabrina Thomas","K1D","425.27","1343","1521",""
"Amalia Mazzilli","K1D","432.45","728","1565",""
"Yann Gudefin","K1H","171.87","83","107",""
"Nicolas Labat","K1H","172.43","47","111",""
"Renaud Doby","K1H","173.30","20","117",""
"Benoit Fer","K1H","173.68","96","120",""
"Julien Arribe","K1H","175.53","54","132",""
"Andy Pajani","K1H","176.83","86","141",""
"Jerome Olhagaray","K1H","179.06","121","157",""
"Nicolas Abbal","K1H","180.35","163","166",""
"Mathieu Biazizzo","K1H","184.70","165","196",""
"Romain Viry","K1H","184.98","222","198",""
"Olivier Bourgey","K1H","186.11","226","206",""
"Beghoura Yoni","K1H","186.99","201","211",""
"Julien Bley","K1H","187.04","186","212",""
"Bertrand Gutierrez","K1H","188.11","208","219",""
"Vincent Bajolot","K1H","188.90","271","224",""
"Guillaume Maraquin","K1H","190.12","257","233",""
"Nicolas Mangeolle","K1H","190.34","233","234",""
"Paul Aubert","K1H","190.39","258","236",""
"Herve Delamarre","K1H","190.72","-","238",""
"Stefan Stanik","K1H","191.01","233","239",""
"Matthieu Walfard","K1H","191.60","313","243",""
"Florient Tagnon","K1H","191.82","301","246",""
"Quentin Moreaux","K1H","192.44","256","249",""
"Nikolas Stanik","K1H","194.02","370","260",""
"Nathan Barbier","K1H","194.44","198","263",""
"Marc Biazizzo","K1H","196.35","-","277",""
"Bajolet Julien","K1H","196.95","218","280",""
"Florent Tamburini","K1H","198.40","175","290",""
"Despres Christophe","K1H","199.27","-","297",""
"Sebastien Thevenin","K1H","199.70","246","300",""
"Eddy Cassard","K1H","199.73","329","300",""
"Lang Valentin","K1H","201.54","355","312",""
"Mael Othenin Girard","K1H","201.65","313","313",""
"Benjamin Fourmet","K1H","205.01","355","337",""
"Backscheider Adrien","K1H","205.79","419","341",""
"Matthieu Basset","K1H","206.33","-","346",""
"Bessiere Florian","K1H","210.17","350","372",""
"Yann Tosser  Roussey","K1H","212.32","331","387",""
"Joel Ramillon","K1H","213.97","497","398",""
"Youcef Bahlat","K1H","214.08","327","399",""
"Clement Mangeolle","K1H","215.09","475","406",""
"Aurelien Noiret","K1H","216.27","485","414",""
"Jules Argentini","K1H","216.34","427","414",""
"Silvere Desongins","K1H","221.95","475","453",""
"Philippe Thevenin","K1H","222.87","533","460",""
"Guillaume Cochut","K1H","226.25","658","483",""
"Remi Vallin","K1H","227.50","1413","492",""
"Jerome Mailfait","K1H","227.67","405","493",""
"Jerome Urbanczyk","K1H","228.39","599","498",""
"Alexandre Bordas","K1H","229.44","1021","506",""
"Cheval Kevin","K1H","231.63","578","520",""
"Arnaud Delachaux","K1H","235.21","-","544",""
"Romaric Baron","K1H","238.42","451","567",""
"Oueslati Pierre-Yves","K1H","241.75","1149","590",""
"Remi Fossier","K1H","242.03","800","592",""
"Anton Chervontsev","K1H","248.12","-","634",""
"Brouillard Aurelien","K1H","248.29","-","636",""
"Jerome Laflotte","K1H","256.41","381","691",""
"Anthony Beaudoing","K1H","261.34","414","726",""
"Andre Kempf","K1H","266.22","638","759",""
"Adrien Kaiser","K1H","267.02","1093","764",""
"Aimeric Brouillard","K1H","279.76","-","853",""
"Pierre Cassin","K1H","283.13","446","877",""
"Arthur Georges","K1H","289.29","167","919",""
"Michel Ternynck","K1H","289.61","1334","921",""
"Patrick Hun","K1H","362.51","-","1426",""
"Colas Geier","K1H","388.01","-","1601",""
"Florian Souchaire","K1H","440.22","-","1962",""
