"Sélectif Régional de Slalom - 29300 Guilligomarc H - Finale - 2020-02-02","Finale","2020-02-02","Régional","126"
"Joris Hello","K1H","98.31","167.55","207.71","Finale A"
"Valentin Brindeau","K1H","98.49","132.46","209.82","Finale A"
"Nicolas Coudert","K1H","100.08","279.81","228.42","Finale A"
"Pol Euzenes","K1H","102.21","183.45","253.34","Finale A"
"Romain Guyomard","K1H","103.45","296.12","267.84","Finale A"
"Simon Cognard","K1H","104.08","289.62","275.21","Finale A"
"Loan Queffelec","K1H","105.23","167.31","288.67","Finale A"
"Timothee Cornu","K1H","106.55","188.51","304.11","Finale A"
"Jeanmichel Regnier","K1H","107.01","278.36","309.49","Finale A"
"Luc Hellard","K1H","107.13","204.42","310.89","Finale A"
"Julien Dosse","K1H","109.67","291.29","340.61","Finale A"
"Gurvan Huet","K1H","111.1","348.54","357.34","Finale A"
"Franck Delachair","K1H","117.11","310.78","427.64","Finale A"
"Clement Dubois","K1H","117.58","283.62","433.14","Finale A"
"Johann Lorcy","K1H","118.33","535.21","441.92","Finale A"
"Jules Brisson","K1H","123.88","492.64","506.84","Finale A"
"Leo Le Druillennec","K1H","124.91","717.95","518.89","Finale A"
"Thomas Hado","K1H","134","501.54","625.23","Finale A"
"Pol Oulhen","K1H","146.61","35.71","772.75","Finale A"
"Sebastien Routhier","K1H","156.4","200.3","887.28","Finale A"
"Matheo Lebaindre","K1H","157.43","147.17","899.33","Finale A"
"Noe Gorvo","K1H","158.24","329.17","908.8","Finale A"
"Quentin Le Duc","K1H","162.94","545.94","963.78","Finale A"
"Youn Aubry","K1H","163.52","309.42","970.57","Finale A"
"Timothee Le Mort","K1H","168.88","324.52","1033.27","Finale A"
"Simon Seuru","K1H","170.15","423.22","1048.13","Finale A"
"Killian Flegeau","K1H","197.31","208.53","1365.86","Finale A"
"Alex Louveau","K1H","197.52","152.97","1368.32","Finale A"
"Maxence Davy","K1H","204.25","273.61","1447.05","Finale A"
"Fabien Le Nechet","K1H","209.94","220.98","1513.61","Finale A"
"Ylan Penvenne","K1H","265.13","384.15","2159.25","Finale A"
"Titouan Castryck","K1H","298.13","160.34","2545.3","Finale A"
"Melaine Pichard","K1H","310.26","255.13","2687.2","Finale A"
"Nicolas Gestin","K1H","Abs","-","-","Finale A"
"Nicolas Mevel","K1H","Dsq","-","-","Finale A"
"Florian Lohezic","K1H","Abd","-","-","Finale A"
"Elouan Debliquy","K1HM","113.86","351.59","389.62","Finale A"
"Martin Cornu","K1HM","184.18","316.3","1212.26","Finale A"
"Celio Chevallier","K1HM","413.04","526.2","3889.57","Finale A"
"William Adeline","K1HM","Abs","-","-","Finale A"
"Gwenole Noyalet","C1H","120.21","291.31","401.95","Finale B"
"Yvan Nicolas","C1H","136.38","419.14","582.1","Finale B"
"Louis Beaumois","C1H","189.73","473.33","1176.49","Finale B"
"Thomas Ollivo","C1H","199.18","421.77","1281.78","Finale B"
"Thomas Heslouis","C1H","213.4","482","1440.21","Finale B"
"Francois Hemidy","C1H","248.67","1214.99","1833.17","Finale B"
"Solen Le Bourles","C1H","283.4","672.43","2220.11","Finale B"
"Lubin Huet","C1H","308.87","322.81","2503.88","Finale B"
"Florian Lohezic","C1H","367.93","558.79","3161.9","Finale B"
"Roman Souffez","C1H","417.31","638.69","3712.05","Finale B"
"Jeremie Gouello","C1H","646.89","414.26","6269.9","Finale B"
"Killian Flegeau","C1H","Abs","-","-","Finale B"
"Morgane Quemerais","K1D","240.4","365.14","1551.4","Finale B"
"Laurie Beaurepere","K1D","246.62","458.6","1615.8","Finale B"
"Sylviane Quemerais","K1D","345.81","402.19","2642.68","Finale B"
"Juna Marquet","K1D","389.15","521.34","3091.37","Finale B"
"Clement Olivier","K1H","104.04","314.72","279.74","Finale B"
"Anthony Drouhin","K1H","105.45","180.45","296.24","Finale B"
"Rafael Lerusse","K1H","105.63","262.86","298.34","Finale B"
"Martin Dubois","K1H","119.31","313.91","458.38","Finale B"
"Jonas Le Guen","K1H","122.89","369.71","500.26","Finale B"
"ClÉment Louveau","K1H","135.95","469.73","653.04","Finale B"
"Tanguy Rolland","K1H","140.01","721.9","700.54","Finale B"
"Malo Marquet","K1H","140.31","689.98","704.05","Finale B"
"Corentin Beaumois","K1H","143.42","429.64","740.43","Finale B"
"Milio Le Touze","K1H","150.18","535.86","819.51","Finale B"
"Pacome Michel","K1H","153.3","731.15","856.01","Finale B"
"Malo Legrand","K1H","159.43","284.89","927.72","Finale B"
"Emmanuel Cosse","K1H","164.46","445.12","986.57","Finale B"
"Clement Ezanno","K1H","168.87","468.82","1038.16","Finale B"
"Pierre-yves Lebreton","K1H","169.09","390.94","1040.73","Finale B"
"Tanguy Odot","K1H","236.56","460.93","1830.03","Finale B"
"Elouan Le Fournis","K1H","266.52","412.67","2180.51","Finale B"
"Florian Szabo","K1H","271.25","632.37","2235.85","Finale B"
"Vincent Donval","K1H","292","524.92","2478.59","Finale B"
"Adrien Pierre","K1H","321.18","432.71","2819.95","Finale B"
"Valentin Rault","K1H","329.64","768.85","2918.92","Finale B"
"Mael Calvez","K1H","332.14","619.61","2948.17","Finale B"
"Antoine Aubert","K1H","346.05","550.05","3110.89","Finale B"
"Mael Segaud","K1H","388.51","489.09","3607.61","Finale B"
"Clement Salaun","K1H","399.25","689.34","3733.25","Finale B"
"Simon Beguinel","K1H","422.27","615.58","4002.55","Finale B"
"Mathieu Le Gall","K1H","473.67","503.67","4603.85","Finale B"
"Maxime Berthaut","K1H","507.92","286.6","5004.53","Finale B"
"Thomas Le Devehat","K1H","509.08","794.48","5018.1","Finale B"
"Mathis Odot","K1H","535.62","450.29","5328.57","Finale B"
"Francois Bonthonnou","K1H","550.62","554.66","5504.05","Finale B"
"Hoel Carnot","K1H","Abs","-","-","Finale B"
"Stephane Odot","K1H","Abs","-","-","Finale B"
"Laurent Le Touze","K1H","Abs","-","-","Finale B"
"Lionel Tinevez","K1H","Abs","-","-","Finale B"
"Theo Le Roux","K1H","Abs","-","-","Finale B"
"Aurelien Le Duc","K1H","Abs","-","-","Finale B"
"Valentin Rolland","K1H","Abs","-","-","Finale B"
"Adrien Le Collinet","K1H","Des","-","-","Finale B"
"Simon Le Nevez","K1H","Des","-","-","Finale B"
