"Sélectif National 3 Slalom Sud-Est - Vinon Sur Verdon - Finale - 2017-05-14","Finale","2017-05-14","Nationale 3","144"
"Thomas Denais","C1H","119.27","470.99","442.47","Finale B"
"Simon Del Negro","C1H","121.93","552.91","474.29","Finale B"
"Cedric Mace","C1H","123.77","481.77","496.29","Finale B"
"Guillaume Gonseth","C1H","124.19","416.85","501.32","Finale B"
"Quentin Laplace","C1H","128.42","572.78","551.91","Finale B"
"Julien Lambert","C1H","135.66","643.27","638.5","Finale B"
"Robin Andre","C1H","137.66","669.76","662.43","Finale B"
"Tanguy Adisson","C1H","138.62","551.44","673.9","Finale B"
"Romain Hautecouverture","C1H","140.06","708.26","691.12","Finale B"
"Enki Georgel","C1H","142.05","564.46","714.93","Finale B"
"Emile Verdier","C1H","Des","-","-","Finale B"
"Clara Jannic","K1D","131.42","467.94","476.51","Finale B"
"Anouk Alberti","K1D","135.52","463.04","522.08","Finale B"
"Claire Teillerie","K1D","136.84","690.34","536.74","Finale B"
"Chloe Faverjon","K1D","139.94","462.89","571.2","Finale B"
"Callista Grange","K1D","140.46","658.43","576.98","Finale B"
"Solen Friconneau","K1D","140.54","404.33","577.87","Finale B"
"Sarah Monod","K1D","142.47","504.9","599.32","Finale B"
"Marianne Tuytten","K1D","143.22","558.72","607.65","Finale B"
"Elise Carbon","K1D","144.92","597.32","626.55","Finale B"
"Juliette Ribault","K1D","150.95","618.73","693.56","Finale B"
"Cendres Le Floch","K1D","153.17","773.73","718.24","Finale B"
"Lucie Fromentoux","K1D","153.43","466.52","721.12","Finale B"
"Gawaine Chikh","K1H","101.28","295.54","287.88","Finale B"
"Nino Chailan","K1H","111.11","365.74","411.32","Finale B"
"Joachim Saussol","K1H","112.99","516.08","434.93","Finale B"
"Emmanuel Triomphe","K1H","113.26","403.11","438.32","Finale B"
"Marc Scognamiglio","K1H","113.27","518.13","438.45","Finale B"
"Arthur Contamine","K1H","114.49","480.66","453.77","Finale B"
"Remy Beal","K1H","115.65","469.92","468.34","Finale B"
"Felix Balas","K1H","117.42","519.28","490.57","Finale B"
"Ronan Emery","K1H","117.65","741.46","493.46","Finale B"
"Louis Scalbert","K1H","117.79","485.97","495.21","Finale B"
"Paul Badache","K1H","117.83","525.88","495.72","Finale B"
"Pierre Courtois","K1H","119.58","530.46","517.69","Finale B"
"Victorien Lombard","K1H","119.71","-","519.33","Finale B"
"Remi Vallin","K1H","120.17","456.41","525.1","Finale B"
"Corentin Georgeon","K1H","120.26","518.04","526.23","Finale B"
"Charlie Genovese","K1H","120.58","455.53","530.25","Finale B"
"Erwan Quellec","K1H","120.8","545.85","533.01","Finale B"
"Julien Lambert","K1H","124.12","709.26","574.71","Finale B"
"Tao Semeria","K1H","125.71","511.54","594.67","Finale B"
"Aymeric Rivier","K1H","126.1","519.41","599.57","Finale B"
"Ulysse Brunel","K1H","126.2","632.54","600.83","Finale B"
"Joseph Kieny","K1H","126.58","567.48","605.6","Finale B"
"Bastien Cothenet","K1H","126.66","625.91","606.61","Finale B"
"Allan Stievenard","K1H","126.89","583.79","609.49","Finale B"
"Clement Couchoud","K1H","127.04","484.49","611.38","Finale B"
"Philippe Bigard","K1H","127.64","568.84","618.91","Finale B"
"Baptiste Gaillard","K1H","127.67","456.45","619.29","Finale B"
"Alexei Evlachev","K1H","127.73","479.1","620.04","Finale B"
"Mathieu Buono-michel","K1H","128.22","518.12","626.2","Finale B"
"Pierre Fillinger","K1H","128.61","667.01","631.09","Finale B"
"Baptiste Dumas","K1H","130.28","632.56","652.07","Finale B"
"Aymeric Fumex","K1H","131.87","596.53","672.03","Finale B"
"Jocelyn Locatelli","K1H","132.39","671.06","678.56","Finale B"
"Baptiste Saul","K1H","133.13","711.5","687.86","Finale B"
"Rutger Hoedemaker","K1H","133.62","705.56","694.01","Finale B"
"Tanguy Adisson","K1H","133.62","518.44","694.01","Finale B"
"Arthur Brune","K1H","134.01","613.94","698.91","Finale B"
"Ange Bernard","K1H","136.38","797.14","728.67","Finale B"
"Jean Bonnet","K1H","136.56","804.08","730.93","Finale B"
"Tao Dersoir","K1H","137.1","663.74","737.71","Finale B"
"Pierre Escuret","K1H","137.97","846.14","748.64","Finale B"
"Stephane Verdier","K1H","138.73","800.71","758.18","Finale B"
"Baptiste Marcellot","K1H","140.45","597.17","779.78","Finale B"
"Leo Parnotte","K1H","143.38","737.59","816.58","Finale B"
"Gabriel Saul","K1H","175.44","471.09","1219.2","Finale B"
