"SELECTION REGIONALE ISLE DE LA SERR - Isle De La Serre - 2001-10-14","Course 1","2001-10-14","Régional","180"
"Vadeboin Laurianne","K1D","486.71","-","1318",""
"Robert Marie","K1D","599.61","-","1837",""
"Carriat Alice","K1D","645.25","-","2047",""
"Romain Pallud","K1H","191.22","43","92",""
"Patrice Fischer","K1H","194.24","72","108",""
"Alonso Remy","K1H","197.7","73","126",""
"Colliex Olivier","K1H","199.06","129","133",""
"Mathieu Doby","K1H","199.65","53","136",""
"Julien Tous","K1H","201.11","56","144",""
"Bruno Madier","K1H","201.24","132","145",""
"Davy Egraz","K1H","204.36","78","161",""
"Damien Boudet","K1H","205.47","133","167",""
"Pierre Bourliaud","K1H","205.71","126","168",""
"Bertrand Bercon","K1H","207.53","159","178",""
"Girard Adrien","K1H","214.63","179","215",""
"Charlot Thibaut","K1H","216.49","169","225",""
"Medjeberg Jeremy","K1H","216.65","174","226",""
"Guillaume Provost","K1H","217.28","234","229",""
"Sebastien Lepaulard","K1H","217.51","162","231",""
"Bertrand Dubiez","K1H","217.57","231","231",""
"Benjamin Buys","K1H","218.4","225","235",""
"Muller Aurelien","K1H","218.79","182","237",""
"Nivel Cyril","K1H","219.34","137","240",""
"Demange Marc","K1H","219.35","239","240",""
"Pascal Hunault","K1H","221.1","212","250",""
"Kevine Cliquet","K1H","221.25","267","250",""
"Olivier Hardonniere","K1H","221.85","248","254",""
"Alexandre Schall","K1H","222.89","155","259",""
"Renaud Metereau","K1H","223.12","307","260",""
"Palix Lorin","K1H","223.92","225","265",""
"Maxime Faivre","K1H","224.17","215","266",""
"Ballini Yoann","K1H","224.24","274","266",""
"Jonathan Chapatte","K1H","224.37","216","267",""
"Chavrier Didier","K1H","225.01","-","270",""
"Tisseur Nicaise Florent","K1H","225.89","245","275",""
"Benoit Fer","K1H","226.92","244","280",""
"Julien Beltrami","K1H","227.63","236","284",""
"Renaud Doby","K1H","228.15","268","287",""
"Bruet Aurelien","K1H","228.79","238","290",""
"Jeremy Wagner","K1H","228.88","245","291",""
"Fortier Arnaud","K1H","229.87","351","296",""
"Dalla-Zuana Christophe","K1H","230.00","287","297",""
"Carlino Antoine","K1H","230.82","296","301",""
"Castel Cedric","K1H","231.03","-","302",""
"Riou Sebastien","K1H","232.76","265","311",""
"Beltrami Denis","K1H","233.39","341","315",""
"Bertrand Lamy","K1H","233.46","265","315",""
"Wadel Florian","K1H","234.54","336","321",""
"Boris Lutinier","K1H","234.69","278","321",""
"Thomas Bersinger","K1H","237.72","-","337",""
"Biard Adrien","K1H","238.79","327","343",""
"Bruet Guillaume","K1H","238.99","373","344",""
"Remi Wolf","K1H","239.21","314","345",""
"Delfs Yann","K1H","239.4","425","346",""
"Bellepeau Stephane","K1H","241.41","-","357",""
"Ledoux Thomas","K1H","242.03","374","360",""
"Yann Gudefin","K1H","242.62","442","363",""
"Thomas Baudelet","K1H","242.87","397","365",""
"Sylvain Follenfant","K1H","243.17","395","366",""
"Ebel Patrick","K1H","243.59","-","369",""
"Benkouider Lounes","K1H","247.61","414","390",""
"Coulon Jerome","K1H","248.92","-","397",""
"Lefort Stephane","K1H","252.94","-","418",""
"Prost Mathieu","K1H","254.25","376","425",""
"Martinez Paco","K1H","255.33","-","431",""
"Marsaudon Yannic","K1H","257.76","-","443",""
"Balzeau Thomas","K1H","261.35","328","462",""
"Berthiaud Gregory","K1H","263.67","238","475",""
"Martelet Romain","K1H","264.2","-","478",""
"Baghioni Florent","K1H","265.2","-","483",""
"Lecler Olivier","K1H","266.16","-","488",""
"Pascal Ferry","K1H","267.92","-","497",""
"Dugua Benoit","K1H","268.22","412","499",""
"Arnoult Christophe","K1H","270.65","-","512",""
"Froissard Jonathan","K1H","271.62","477","517",""
"Climaque Cedric","K1H","272.49","-","521",""
"Crozet Julien","K1H","272.69","432","522",""
"Balducci Hugo","K1H","274.9","403","534",""
"Olivier Bourgey","K1H","275.08","568","535",""
"Lafore Jeremie","K1H","277.18","-","546",""
"Andy Pajani","K1H","278.65","-","554",""
"Fantino Antoine","K1H","279.51","541","558",""
"Champsaur Jean Marc","K1H","279.82","-","560",""
"Alain Ferry","K1H","279.93","477","561",""
"Lebourgeois Alexis","K1H","281.48","514","569",""
"Lemaire Maxime","K1H","282.62","312","575",""
"Basquin Jeanbaptiste","K1H","285.77","144","592",""
"Keller Paco","K1H","288.28","-","605",""
"Bayon Damien","K1H","296.2","-","647",""
"Bessiere Florian","K1H","308.89","707","714",""
"Frotey Alain","K1H","310.81","450","724",""
"Cramette Florent","K1H","313.06","-","736",""
"Carayon Renaud","K1H","315.03","-","746",""
"Aubrespy Florian","K1H","316.02","-","751",""
"Daumas Jeremy","K1H","316.07","533","752",""
"Beauquis Arnaud","K1H","317.8","-","761",""
"Delphine Fabrice","K1H","321.24","378","779",""
"Borrell Hugo","K1H","328.69","-","818",""
"Gourdin Thomas","K1H","329.47","-","823",""
"Chappet Gary","K1H","329.85","-","825",""
"Loustalot Anthony","K1H","342.01","-","889",""
"Debicki Baptiste","K1H","344.37","569","901",""
"Pierron David","K1H","352.11","516","942",""
"Tillet Jerome","K1H","357.24","-","969",""
"Hager Yoan","K1H","361.61","-","993",""
"Camerlynck Jean-Michel","K1H","384.24","-","1112",""
"Vaudaine Florent","K1H","384.46","-","1113",""
"Cottet Gaydon Francois","K1H","394.17","-","1165",""
"Belenguer Mathieu","K1H","396.84","-","1179",""
"Descharrieres Bruno","K1H","412.73","587","1263",""
"Burdet Gildas","K1H","416.76","-","1284",""
"Bersinger Sylvain","K1H","417.04","-","1286",""
"Thomas Burnoud","K1H","420.49","-","1304",""
"Vergez Leo","K1H","445.01","-","1434",""
"Sylvain Gelloz","K1H","445.58","460","1437",""
"Ploix Kevin","K1H","452.34","-","1472",""
"Ouvrard Paul","K1H","484.34","661","1641",""
"Trannois Kevin","K1H","503.61","-","1743",""
"Teyssier Nicolas","K1H","523.59","-","1849",""
"Saliou Jean-Francois","K1H","534.06","-","1904",""
"Chollet Aurelien","K1H","590.99","-","2205",""
"Guillerm Johan","K1H","928.2","-","3988",""
"Averseng Antoine","K1H","939.46","-","4048",""
