"Selectif Régional Slalom - Cergy - 2007-10-14","Course 1","2007-10-14","Régional","244"
"Emilie Hernandez-brossard","K1D","246.56","-","435",""
"Nathalie Gil","K1D","251.82","326","466",""
"Marion Gallois","K1D","263.93","308","538",""
"Bibre Aurelie","K1D","267.57","-","560",""
"Julie Paoletti","K1D","277.92","231","621",""
"Lea Feuillard","K1D","278.84","296","627",""
"Tifenn Van Delft","K1D","285.32","256","666",""
"Blondeau Juliette","K1D","301.73","-","763",""
"Alize Bachelot","K1D","316.63","368","852",""
"Marion Laurain","K1D","327.82","-","918",""
"Camille Grezard","K1D","390.27","404","1290",""
"Laurine Naveau","K1D","446.52","-","1624",""
"Chloe Gatuingt","K1D","464.87","353","1734",""
"Oswald Besch","K1H","166.02","81","75",""
"Benjamin Buys","K1H","166.98","31","81",""
"Ciaran Heurteau","K1H","167.42","46","84",""
"Xavier Jourdain","K1H","169.71","86","99",""
"Ronan Lucas","K1H","170.68","60","105",""
"Jeremy Cremonesi","K1H","171.43","113","111",""
"Emile Devaux","K1H","171.62","119","112",""
"Aurelien Leroy","K1H","172.04","88","115",""
"Pierre Devaux","K1H","172.23","37","116",""
"Quentin Bove","K1H","173.69","25","126",""
"Michel Gombert","K1H","174.77","159","133",""
"Gregory Busson","K1H","175.01","85","134",""
"Samuel Lhegu","K1H","177.29","157","150",""
"Romain Bove","K1H","177.46","167","151",""
"Kevin Burgi","K1H","178.21","153","155",""
"Benoit Letellier","K1H","179.28","77","163",""
"Dupont Eric","K1H","179.37","168","164",""
"Fabien Tournadre","K1H","180.51","123","171",""
"Le Berte Maxime","K1H","181.02","166","174",""
"Valadon Louis","K1H","181.22","249","175",""
"Venceslas Viseur","K1H","181.51","134","178",""
"Louison Tanet","K1H","182.66","203","185",""
"Nicolas Germay","K1H","182.85","-","187",""
"Mikael Maupin","K1H","183.11","-","188",""
"Vincent Reiter","K1H","183.63","95","191",""
"Philippe Daumont","K1H","184.38","141","197",""
"Antoine Lebastard","K1H","185.38","234","203",""
"Nicolas Durand","K1H","186.09","219","208",""
"Bertrand Avril","K1H","186.25","208","209",""
"Joffrey Lemeux","K1H","187.05","227","215",""
"Anthony Mottais","K1H","187.05","174","215",""
"Franck Dessaint","K1H","187.62","206","218",""
"Yves Debailleul","K1H","188.01","223","221",""
"Julien Daumont","K1H","189.30","127","230",""
"Quentin Vallee","K1H","189.44","227","231",""
"Boris Sacre","K1H","191.00","175","241",""
"Eric Lamour","K1H","191.48","248","244",""
"Mickael Louchard","K1H","192.61","207","252",""
"Alexandre Guerinet","K1H","192.78","247","253",""
"Mehdi Amini","K1H","192.85","144","253",""
"Fourneau Ianis","K1H","193.23","-","256",""
"Aurel Sebastien","K1H","193.36","279","256",""
"Loic Gobert","K1H","193.86","228","260",""
"Julien Signarbieux","K1H","193.96","238","260",""
"Pierre Bontoux","K1H","193.98","283","260",""
"Stephane Broute","K1H","194.03","276","261",""
"Emmanuel Moreau","K1H","194.29","215","262",""
"Romain Content","K1H","194.35","249","264",""
"Nicolas Arnoult","K1H","195.30","287","270",""
"Matthieu Walfard","K1H","196.15","232","275",""
"Burgard Jean Roch","K1H","196.40","257","277",""
"Benoit Monvoisin","K1H","197.02","-","280",""
"Debliquy Stephane","K1H","197.28","276","283",""
"Maxime Cousin","K1H","197.90","292","287",""
"Charles Pain","K1H","197.91","-","287",""
"Alban Planchais","K1H","197.94","308","287",""
"Paul Poulet","K1H","197.98","214","287",""
"Matthieu Basset","K1H","198.39","284","290",""
"Jeremy Bretteville","K1H","198.58","258","291",""
"Bastien Belembert","K1H","199.16","309","295",""
"Ludovic Lino","K1H","199.46","309","297",""
"Tourneur Yoan","K1H","199.67","-","299",""
"Romain Lemaire","K1H","199.83","327","300",""
"Sergent Sylvain","K1H","200.46","222","304",""
"Nicolas Dupres","K1H","200.50","276","304",""
"Kilian Foulon","K1H","200.62","281","305",""
"Lismonde Jean Batiste","K1H","201.04","312","308",""
"Yves Moreno","K1H","201.25","-","309",""
"Jerome Trousson","K1H","202.27","232","316",""
"Gaetan Dheilly","K1H","202.41","262","317",""
"Valentin Casse","K1H","203.95","275","327",""
"Martin Sacleux","K1H","204.83","311","333",""
"Jean-noel Avril","K1H","205.59","298","338",""
"Bram Peeters","K1H","205.82","-","340",""
"Jeansebastien Simonklein","K1H","205.91","363","340",""
"Philippe Valeri","K1H","206.40","302","343",""
"Romaric Baron","K1H","206.50","428","344",""
"Denis Parizia","K1H","207.18","284","348",""
"Quentin Dheilly","K1H","207.85","350","353",""
"Nicolas Feuillard","K1H","207.90","229","354",""
"Gerard Lafargue","K1H","207.93","350","354",""
"Julien Darees","K1H","208.03","-","355",""
"Gaspard Vivien","K1H","209.07","415","361",""
"Leo Capelle","K1H","210.47","349","371",""
"Stephane Sagnier","K1H","211.30","355","376",""
"Piquet Vallet Sebastien","K1H","212.40","-","383",""
"Flavien Odile","K1H","213.25","307","389",""
"Romain Chane","K1H","213.32","369","390",""
"Jess Masson","K1H","213.56","309","391",""
"Guillaume Cochut","K1H","213.92","469","394",""
"Jean-luc Mottais","K1H","216.73","-","412",""
"Thomas Viratelle","K1H","216.89","392","413",""
"Luc Wojtasiak","K1H","221.55","482","444",""
"Paul Brier","K1H","223.17","40","456",""
"Thomas Plomion","K1H","223.30","391","456",""
"Julien Lamendin","K1H","223.74","812","459",""
"Etienne Carpentier","K1H","224.34","416","463",""
"Victor Paulais","K1H","224.55","-","464",""
"Alexis Caspar","K1H","226.14","108","475",""
"Kermer Serge","K1H","226.82","-","479",""
"Mickael Faure","K1H","226.90","490","480",""
"Quentin Burgi","K1H","228.62","150","492",""
"Sylvain Pionnier","K1H","228.86","882","493",""
"Remi Deblangy","K1H","228.98","480","494",""
"Yves Lecointe","K1H","229.09","186","495",""
"Antoine Beaudoin","K1H","230.74","642","506",""
"Loic Monbel","K1H","231.98","160","514",""
"Sebastien Dupont","K1H","234.01","534","528",""
"Tom Lay","K1H","234.39","-","530",""
"Thomas Van Craenenbroeck","K1H","238.43","699","556",""
"Henri Despont","K1H","238.82","-","560",""
"Lecomte Hugo","K1H","238.93","513","560",""
"Stephane Helle","K1H","239.09","451","561",""
"Matthieu Rousseau","K1H","239.44","463","564",""
"Monbel Romain","K1H","239.50","425","564",""
"Jean-loup Bachmann","K1H","241.02","428","575",""
"Gest Elliot","K1H","247.87","416","620",""
"Bastien Darcillon","K1H","249.93","256","634",""
"Hugues Le Chenadec","K1H","250.03","-","634",""
"Maxime Huvelin","K1H","250.35","-","636",""
"Louis Piot","K1H","250.92","874","640",""
"Mathieu Dutendas","K1H","251.48","465","644",""
"Jan Baudet","K1H","253.14","539","655",""
"Nicolas Leconte","K1H","253.92","664","660",""
"Alexandre Avril","K1H","255.30","545","669",""
"Mathieu Faure","K1H","255.79","478","672",""
"Timothee Venot","K1H","256.12","277","674",""
"Claude Breuzard","K1H","257.82","726","686",""
"Simon Philibert","K1H","259.65","203","699",""
"Didier Niel","K1H","263.94","202","726",""
"Kevin Pantofel","K1H","265.22","624","735",""
"Remi Fossier","K1H","266.77","624","745",""
"Loic Andre","K1H","267.48","-","751",""
"Gaillot Mathias","K1H","269.48","382","763",""
"Matthieu Laruelle","K1H","273.27","-","789",""
"Cheron Valentin","K1H","278.17","445","822",""
"Corentin Marteau","K1H","283.24","-","856",""
"Anthony Mercier","K1H","286.54","-","877",""
"Sarazin Jean Benoit","K1H","287.10","416","881",""
"Marteau Thiebault","K1H","287.21","-","881",""
"Roberge Sebastien","K1H","298.63","389","958",""
"Emmanuel Despont","K1H","302.37","571","983",""
"Maxime Thoreau","K1H","306.97","504","1013",""
"Benjamin Millet Naas","K1H","311.38","568","1043",""
"Axel Sleebus","K1H","314.46","-","1063",""
"Quentin Sirven","K1H","320.88","731","1106",""
"Paul Moutinho","K1H","321.08","-","1107",""
"Berenger Bonnard","K1H","322.04","596","1114",""
"Damien Jacques","K1H","324.79","696","1132",""
"Christophe Dufresne","K1H","333.19","-","1188",""
"Thomas Monvoisin","K1H","337.58","200","1218",""
"Wilhelm Heimburger","K1H","346.78","825","1278",""
"Villeneuve Vincent","K1H","359.47","-","1363",""
"Alexandre Peslin","K1H","362.44","325","1383",""
"Romain Bertrand","K1H","363.72","676","1392",""
"Valentin Millet Naas","K1H","377.76","823","1485",""
"Assouly Jonathan","K1H","404.85","-","1666",""
"Thomas Quennehen","K1H","410.24","499","1702",""
"Denis Gaetan","K1H","552.52","-","2649",""
"Billoir Gerald","K1H","790.08","-","4231",""
"Tourte Julien","K1H","792.47","-","4247",""
