"Double SÈlectif RÈgional de Slalom - Troyes - Course n∞2 | Finale - 2018-09-23","Course n∞2 | Finale","2018-09-23","RÈgional","150"
"Anthony Rouhier","K1H","97.05","310.43","331.7","Course n∞2 | Finale A"
"Robin Pilard","K1H","97.25","241.1","334.39","Course n∞2 | Finale A"
"Yohan Marck","K1H","98.48","420.62","350.97","Course n∞2 | Finale A"
"Emilien Kempf","K1H","98.69","251.32","353.8","Course n∞2 | Finale A"
"Tanguy Malingre","K1H","98.92","306.72","356.9","Course n∞2 | Finale A"
"Ianis Fleury","K1H","99.04","314.86","358.52","Course n∞2 | Finale A"
"Cedric Mace","K1H","99.43","316.44","363.78","Course n∞2 | Finale A"
"Jean Christophe Boivin","K1H","99.76","330.94","368.22","Course n∞2 | Finale A"
"Quentin Henri","K1H","102.1","374.17","399.76","Course n∞2 | Finale A"
"Matthew Vuillard","K1H","102.73","397.15","408.25","Course n∞2 | Finale A"
"Samuel Tahaafe","K1H","103.17","434.6","414.18","Course n∞2 | Finale A"
"Antoine Paumier","K1H","103.76","466.37","422.14","Course n∞2 | Finale A"
"Jerome Talbot","K1H","106.37","412.7","457.31","Course n∞2 | Finale A"
"Antoine Leroy","K1H","106.63","474.06","460.82","Course n∞2 | Finale A"
"Matthieu Walfard","K1H","106.97","375.71","465.4","Course n∞2 | Finale A"
"Mathis Piepho","K1H","107.02","427.13","466.08","Course n∞2 | Finale A"
"Nicolas Castagnetti","K1H","108.14","467.48","481.17","Course n∞2 | Finale A"
"Antoine Pas","K1H","112.9","407.9","545.33","Course n∞2 | Finale A"
"Basile Drapier","K1H","114.63","412.04","568.65","Course n∞2 | Finale A"
"Philippe Piat","K1H","115.13","501.85","575.38","Course n∞2 | Finale A"
"Julien Michelin","K1H","162.61","505.67","1215.33","Course n∞2 | Finale A"
"Theo Reby","K1HM","93.68","293.39","286.28","Course n∞2 | Finale A"
"Arthur Pichancourt","K1HM","106.17","430.35","454.62","Course n∞2 | Finale A"
"Nathan Frison","K1HM","106.39","434.21","457.58","Course n∞2 | Finale A"
"Axel Colin","K1HM","109.17","519.05","495.05","Course n∞2 | Finale A"
"Adrien Gaillot","K1HM","110.37","608.52","511.23","Course n∞2 | Finale A"
"Theo Siguret","K1HM","117.47","692.56","606.92","Course n∞2 | Finale A"
"Clery Girard","K1HM","119.96","552.32","640.48","Course n∞2 | Finale A"
"Valentin Oudin","K1HM","126.93","805.6","734.43","Course n∞2 | Finale A"
"Romain Moret","K1HM","186","784.75","1530.59","Course n∞2 | Finale A"
"Amaury Brucher","C1H","110.71","548.47","449.75","Course n∞2 | Finale B"
"Thomas Argenson","C1H","111.76","467.33","463.23","Course n∞2 | Finale B"
"Axel Guilleret","C1H","115.46","563.73","510.73","Course n∞2 | Finale B"
"Anthony Menissier","C1H","115.71","491.36","513.94","Course n∞2 | Finale B"
"Cedric Mace","C1H","117.01","463.2","530.62","Course n∞2 | Finale B"
"Alexis Pacholak","C1H","117.6","585.69","538.2","Course n∞2 | Finale B"
"Jerome Talbot","C1H","118.78","584.54","553.35","Course n∞2 | Finale B"
"Antoine Paumier","C1H","119.04","684.62","556.68","Course n∞2 | Finale B"
"Jacques Nardeau","C1H","121.64","577.86","590.06","Course n∞2 | Finale B"
"Boris Bonenfant","C1H","129.2","1395.87","687.11","Course n∞2 | Finale B"
"Jerome Pasquier","C1H","130.69","1931.57","706.23","Course n∞2 | Finale B"
"Emrys Meddour","C1H","145.54","811.06","896.85","Course n∞2 | Finale B"
"Antoine Leroy","C1H","148.26","923.11","931.76","Course n∞2 | Finale B"
"Antoine Pas","C1H","Des","-","-","Course n∞2 | Finale B"
"Robin Le Mazurier","C1HM","131.99","890.64","722.92","Course n∞2 | Finale B"
"Nolann Besnard","C1HM","191.92","1305.01","1492.2","Course n∞2 | Finale B"
"Alexandre Paumier","C1HM","273.83","2634.5","2543.63","Course n∞2 | Finale B"
"Maxime Paumier","C1HM","321.37","2697.24","3153.89","Course n∞2 | Finale B"
"Nelia Barbosa","K1D","109.55","332.97","335.31","Course n∞2 | Finale B"
"Delhia Petiot","K1D","124.93","510.62","518.76","Course n∞2 | Finale B"
"Elodie Berrot","K1D","127.17","-","545.48","Course n∞2 | Finale B"
"Ines Vinet","K1D","128.46","585.92","560.85","Course n∞2 | Finale B"
"Sandrine Arnal","K1D","134.22","627.21","629.57","Course n∞2 | Finale B"
"Coralie Delmotte","K1D","159.39","707.16","929.78","Course n∞2 | Finale B"
"Elodie Thomasset","K1D","161.05","2376.43","949.58","Course n∞2 | Finale B"
"Camila Wagner","K1D","191.97","737.49","1318.39","Course n∞2 | Finale B"
"Katia Talbot","K1D","Nt","-","-","Course n∞2 | Finale B"
"Robin Pottelette","K1H","85.44","97.61","180.21","Course n∞2 | Finale B"
"Antonin Robert","K1H","96.75","283.17","332.65","Course n∞2 | Finale B"
"Eden Quevremont","K1H","100.44","299.51","382.39","Course n∞2 | Finale B"
"Amaury Brucher","K1H","102.84","309.27","414.74","Course n∞2 | Finale B"
"Enzo Claeys","K1H","103.88","358.54","428.75","Course n∞2 | Finale B"
"Aymeric Dollat","K1H","109.13","470.2","499.51","Course n∞2 | Finale B"
"Yunus Polat","K1H","111.34","1226.43","529.3","Course n∞2 | Finale B"
"Lucas Gamain","K1H","111.45","524.98","530.78","Course n∞2 | Finale B"
"Juan Guerrero","K1H","111.57","649.45","532.4","Course n∞2 | Finale B"
"Gerard Lafargue","K1H","111.8","530","535.5","Course n∞2 | Finale B"
"Xavier Rat","K1H","115.45","493.21","584.7","Course n∞2 | Finale B"
"Gaetan Cornu","K1H","118.39","733.07","624.32","Course n∞2 | Finale B"
"Axel Girard","K1H","119.09","630.36","633.76","Course n∞2 | Finale B"
"Loic Merat","K1H","119.74","653.49","642.52","Course n∞2 | Finale B"
"Romain Caupin","K1H","121.14","647","661.39","Course n∞2 | Finale B"
"Gerald Oudin","K1H","122.1","865.61","674.33","Course n∞2 | Finale B"
"Pierre Yves Tempier","K1H","127.36","751.62","745.22","Course n∞2 | Finale B"
"Dylan Simon","K1H","128.86","703.76","765.44","Course n∞2 | Finale B"
"Alain Brucher","K1H","130.63","805.23","789.3","Course n∞2 | Finale B"
"Alexandre Lambert","K1H","131.99","686.8","807.63","Course n∞2 | Finale B"
"Bruno Brousselle","K1H","136.53","940.14","868.82","Course n∞2 | Finale B"
"Mickael Dubois","K1H","140.94","1060.11","928.26","Course n∞2 | Finale B"
"Julien Prompt","K1H","141.01","1108.95","929.2","Course n∞2 | Finale B"
"Anthony Dubois","K1H","143.89","1032.53","968.02","Course n∞2 | Finale B"
"Remi Hervieux","K1H","144.62","1301.89","977.86","Course n∞2 | Finale B"
"Hugo Favrelle","K1H","172.69","2183.63","1356.19","Course n∞2 | Finale B"
"Arnaud Geoffroy","K1H","178.13","1098.52","1429.52","Course n∞2 | Finale B"
"Guillaume Billard","K1H","188.59","1873.92","1570.5","Course n∞2 | Finale B"
"Matt…o Dubois","K1H","241.47","1788.06","2283.23","Course n∞2 | Finale B"
"Kevin Ferrando","K1H","279.37","2021.95","2794.06","Course n∞2 | Finale B"
"Robin Le Mazurier","K1HM","119.85","726.01","644","Course n∞2 | Finale B"
"Thibaut Boudier","K1HM","129.77","671.3","777.71","Course n∞2 | Finale B"
"Guillaume Cazenave","K1HM","133.46","747.63","827.44","Course n∞2 | Finale B"
"Nolann Besnard","K1HM","144.52","914.65","976.51","Course n∞2 | Finale B"
"Mathieu Benkaroun","K1HM","144.94","894.22","982.17","Course n∞2 | Finale B"
"Alexandre Paumier","K1HM","171.68","959.15","1342.58","Course n∞2 | Finale B"
"Clement Brault","K1HM","182.18","920.85","1484.1","Course n∞2 | Finale B"
"Maxime Paumier","K1HM","276.52","1072.95","2755.64","Course n∞2 | Finale B"
