"Championnat de France C sur J sur S - L'Argentière la Bessée - Finale - 2013-07-12","Finale","2013-07-12","Championnats de France","110"
"Jonas Le Morvan-Claire Landrin","C2M","127.1","132.05","160.19",""
"Claire Haab-Pierre Marie Roussel","C2M","141.84","165.82","248.1",""
"Emilie Fer","K1D","96.8","9.45","5",""
"Caroline Loir","K1D","98.99","6.3","18.65",""
"Pauline Guiet","K1D","100.74","12.99","29.54",""
"Estelle Mangin","K1D","100.79","12.94","29.85",""
"Nouria Newman","K1D","103.62","11.97","47.47",""
"Camille Prigent","K1D","104.86","40.11","55.2",""
"Margaux Henry","K1D","105.63","56.19","60",""
"Claire Gaigeot","K1D","105.93","73.82","61.86",""
"Estelle Hellard","K1D","106.77","21.34","67.11",""
"Laura Combot","K1D","108.03","34.67","74.96",""
"Berenice Kolenc","K1D","109.11","53.34","81.67",""
"Melanie Ragaru","K1D","109.27","41.04","82.68",""
"Lea Gaigeot","K1D","109.93","64.35","86.79",""
"Joana Palermo","K1D","112.52","66.48","102.91",""
"Anne-sophie Biazizzo","K1D","112.77","84.38","104.48",""
"Pauline Gentilhomme","K1D","114.17","65.14","113.2",""
"Marine Leveque","K1D","114.59","79.66","115.8",""
"Maria Ferekidi","K1D","115.71","46.13","122.78",""
"Manon Caveribere","K1D","124.67","105.43","178.59",""
"Heloise Geffray","K1D","127.6","118.57","196.85",""
"Mathieu Biazizzo","K1H","86.84","3.92","13.28",""
"Vivien Colober","K1H","87.77","8.46","19.83",""
"Bastien Damiens","K1H","88.05","10.57","21.8",""
"Ludovic Di Nisi","K1H","88.67","8.63","26.16",""
"Benoit Peschier","K1H","89.41","4.61","31.37",""
"Benjamin Travostino","K1H","89.86","7.9","34.53",""
"Benoit Guillaume","K1H","89.93","7.78","35.03",""
"Mathieu Doby","K1H","90.22","10.96","37.07",""
"Jimy Bercon","K1H","90.46","12.4","38.76",""
"Renaud Doby","K1H","90.52","16.68","39.18",""
"Hugo Cailhol","K1H","91.81","12.63","48.26",""
"Mathys Huvelin","K1H","92.19","39.64","50.94",""
"Quentin Mignard","K1H","92.46","33.43","52.84",""
"Thomas Schmitt","K1H","93.16","32.72","57.77",""
"Pol Oulhen","K1H","93.72","47.31","61.7",""
"Guillaume Graille","K1H","94.22","71.14","65.23",""
"Clement Travert","K1H","96.26","58.12","79.58",""
"Louison Turmeau","K1H","98.02","39.92","91.97",""
"Malo Quemeneur","K1H","100.17","89.67","107.1",""
"Fabien Lanao","K1H","100.64","105.11","110.41",""
"Aubry Bertin","K1H","102.04","59.96","120.26",""
"Gaetan Drouin","K1H","102.28","120.06","121.95",""
"Cedric Jegouzo","K1H","102.73","61.03","125.13",""
"Sami Rocher","K1H","104.33","56.74","136.38",""
"Edgar Prigent","K1H","108.94","124.63","168.84",""
"Manuel Savels","K1H","108.99","95.96","169.18",""
"Adrien Maire","K1H","114.13","131.46","205.37",""
"Antonin Elne","K1H","147.61","68.46","441.01",""
"Alexandre Dherbilly","K1H","159.44","32.93","524.28",""
"Vincent Bocci","K1H","165.53","75.36","567.15",""
