"Nationale 2 - St Pierre de Boeuf - 2013-04-27","Course 1","2013-04-27","Nationale 2","185"
"Julie Wassmer","K1D","129.72","138.26","212.8",""
"Angelique Guilcher","K1D","132.1","119.35","229.9",""
"Laurine Grandadam","K1D","132.2","163.15","230.6",""
"Lise Denat","K1D","132.48","126.52","232.62",""
"Marion Laurain","K1D","138.19","175.08","273.62",""
"Caroline Scherer","K1D","138.31","196.31","274.47",""
"Helene Thuret","K1D","138.36","187.59","274.82",""
"Laetitia Thueux","K1D","139.82","176.71","285.32",""
"Phenicia Dupras","K1D","141.36","165.85","296.36",""
"Laurene Cougnet","K1D","143.35","203.9","310.66",""
"Jenny Chevalier","K1D","158.89","175.9","422.22",""
"Lisa Marechal","K1D","159.61","170.05","427.4",""
"Oceane Vienet","K1D","180.86","123.28","579.96",""
"Armelle Canali","K1D","184.42","142.99","605.52",""
"Alice Cailhol","K1D","185.35","129.12","612.2",""
"Mana Thomas","K1D","188.82","151.14","637.1",""
"Emma Croisier","K1D","193.34","165.17","669.56",""
"Cindy Coat","K1D","194.91","156.61","680.83",""
"Raphaelle Hovine","K1D","194.98","131.58","681.33",""
"Clara Gache","K1D","Nt","-","-",""
"Coralie Yebenes","K1D","Nt","-","-",""
"Lukas Werro","K1H","98.32","70.41","79.13",""
"Mathieu Douillet","K1H","102.47","57.37","112.81",""
"Benoit Letellier","K1H","102.77","46.41","115.23",""
"Romain Faurie","K1H","103.71","54.1","122.86",""
"Benoit Chantry","K1H","104.3","48.77","127.64",""
"Nicolas Veillard","K1H","104.49","81.88","129.18",""
"Benjamin Jacon","K1H","105.04","71.58","133.65",""
"Emmanuel Sarazin","K1H","105.07","85.66","133.89",""
"Davy Egraz","K1H","105.22","54.03","135.11",""
"Benjamin Thiboust","K1H","105.4","42.93","136.57",""
"Clement Travert","K1H","105.57","68.71","137.95",""
"Quentin De Fierville","K1H","105.62","53.52","138.36",""
"Florent Boulet","K1H","106.53","81.75","145.74",""
"Alexis Caspar","K1H","106.54","54.63","145.82",""
"Aubry Bertin","K1H","106.58","76.55","146.14",""
"Boris Pernelle","K1H","106.91","100.95","148.82",""
"Louis Philippe Rigal","K1H","106.96","59.24","149.23",""
"Caryck Bouladjat","K1H","107.03","70.67","149.8",""
"Pierre Marie Roussel","K1H","107.06","40.67","150.04",""
"Jean Baptiste Thiel","K1H","107.08","120.63","150.2",""
"Gurgen Brun","K1H","107.29","77.12","151.91",""
"Virgile Pigache-donnet","K1H","107.4","59.86","152.79",""
"Etienne Carpentier","K1H","108.01","81.01","157.74",""
"Anthony Thuillier","K1H","108.06","57.12","158.15",""
"Paul Messialle","K1H","108.32","103.73","160.26",""
"Thibault Gibert","K1H","108.38","72.97","160.75",""
"Nicolas Feuillard","K1H","109.09","58.79","166.5",""
"Jerome Olhagaray","K1H","109.13","56.45","166.83",""
"Mathurin Madore","K1H","109.22","90.21","167.56",""
"Nowan Bertin","K1H","109.27","114.65","167.96",""
"Vincent Ablin","K1H","109.27","82.27","167.96",""
"Benoit Gaillard","K1H","109.58","103.13","170.48",""
"Hugo Maher","K1H","109.64","82.31","170.97",""
"Nicolas Baudoin","K1H","109.94","60.04","173.4",""
"Xavier Jourdain","K1H","110.05","46.2","174.3",""
"Stephane Labouille","K1H","110.07","67.98","174.46",""
"Remi Baudot","K1H","110.18","64.41","175.35",""
"Remy Cassar","K1H","110.19","92.01","175.43",""
"Maxence Grandadam","K1H","110.21","109.11","175.6",""
"Nathan Barbier","K1H","110.28","86.77","176.16",""
"Tristan Bronsard","K1H","110.28","64.17","176.16",""
"Maxime Le Morvan","K1H","110.32","118.7","176.49",""
"Emeric Vibert","K1H","110.48","100.36","177.79",""
"Vincent Bocci","K1H","110.78","97","180.21",""
"Charlie Barbier","K1H","110.87","111.23","180.94",""
"Alexandre Lismonde","K1H","110.88","99.25","181.03",""
"Mehdi Rouich","K1H","110.95","63.29","181.59",""
"Laurent Starck","K1H","111.02","103.16","182.16",""
"Enzo Seker","K1H","111.07","65.71","182.57",""
"Nicolas Caussanel","K1H","111.34","83.2","184.76",""
"Jonas Le Morvan","K1H","111.73","94.55","187.93",""
"Bertrand Bercon","K1H","111.88","100.34","189.15",""
"Antonin Elne","K1H","111.89","105.62","189.23",""
"Jeremy Wagner","K1H","112.46","109.41","193.84",""
"Florient Tagnon","K1H","112.59","83.03","194.9",""
"Pascal Ferry","K1H","112.73","83.63","196.04",""
"Nizar Samlal","K1H","112.91","84.45","197.5",""
"Vincent Gerdeaux","K1H","112.94","120.08","197.74",""
"Arthur Bernot","K1H","112.98","105.63","198.07",""
"Julien Arribe","K1H","113.18","97.45","199.69",""
"Laurent Stanik","K1H","113.22","-","200.01",""
"Maxime Tilhet","K1H","113.31","90.35","200.75",""
"Remi Parayre","K1H","113.68","113.65","203.75",""
"Titouan Dupras","K1H","114.1","90.5","207.15",""
"Thibault Blaise","K1H","114.35","48.94","209.18",""
"Antoine Gaillard","K1H","114.44","99.46","209.91",""
"Xavier Marie","K1H","114.49","120.6","210.32",""
"Thibaut Chariot","K1H","114.57","113.2","210.96",""
"Hugues Parisse","K1H","114.62","110.72","211.37",""
"Olivier Cain","K1H","114.68","102.32","211.86",""
"Armand Rakowski","K1H","115.09","132.52","215.19",""
"Pierre Audouin","K1H","115.44","89.14","218.02",""
"Matthieu Basset","K1H","115.7","174.18","220.13",""
"Arnaud Delattre","K1H","116.13","120.79","223.62",""
"Valentin Bigonet","K1H","116.68","116.27","228.09",""
"Maxime Bottex","K1H","116.8","77.51","229.06",""
"Guillaume Doutreix","K1H","116.94","124.52","230.2",""
"Thibault Marchand","K1H","117.29","79.85","233.03",""
"Antoine Lebastard","K1H","117.78","111.01","237.01",""
"Willy Hugedet","K1H","118.49","73.34","242.77",""
"Quentin Raissac","K1H","118.73","109.92","244.71",""
"Victor Duhamel","K1H","119.98","105.92","254.86",""
"Jean-francois Souville","K1H","120.09","110.79","255.75",""
"Felix Jeanningros","K1H","120.93","92.97","262.56",""
"Tom Barthelemy","K1H","121.24","122.71","265.08",""
"Tristan Lejot","K1H","121.83","99.78","269.86",""
"Alexis Cordier","K1H","121.94","126.46","270.75",""
"Billel Khenchouche","K1H","122.82","117.88","277.9",""
"Valentin Vibert","K1H","124.45","119.33","291.12",""
"Leo Bernard","K1H","127","123.58","311.8",""
"Antoine Roux","K1H","154.44","64.38","534.42",""
"Remi Thomas","K1H","159.76","93.47","577.58",""
"Quentin Moreaux","K1H","162.88","82.54","602.89",""
"Vincent Reiter","K1H","165.48","56.83","623.98",""
"Arnaud Pellizzoni","K1H","166.41","105.63","631.53",""
"Sebastien De Kerleau","K1H","Nt","-","-",""
"Thomas Dandel","K1H","Nt","-","-",""
"Julien Haberland","K1H","Nt","-","-",""
"Laurent Le Touze","K1H","Nt","-","-",""
"Sylvain Dandel","K1H","Nt","-","-",""
"Eric Lamour","K1H","Nt","-","-",""
