"Sélectif National 3 Slalom Sud-Est - Course Nationale Slalom N3 - Finale - 2017-04-16","Finale","2017-04-16","Nationale 3","100"
"Yazid Koraichi","K1H","108.2","420.56","389.52","Finale A"
"Yann Leruste","K1H","108.34","368.82","391.33","Finale A"
"Yoni Beghoura","K1H","108.52","305.7","393.65","Finale A"
"Remi Wolf","K1H","108.61","384.47","394.81","Finale A"
"Thijs Duvillard","K1H","109.41","476.93","405.13","Finale A"
"Paul Gaillard","K1H","109.83","357.79","410.55","Finale A"
"Mael Hervault","K1H","111.25","440.38","428.86","Finale A"
"Mohamed SaÏd Bekkadour","K1H","111.45","420.59","431.44","Finale A"
"Edouard Chenal","K1H","111.56","427.7","432.86","Finale A"
"Pascal Ferry","K1H","113.75","383.14","461.1","Finale A"
"Noe Monier","K1H","116.07","327.53","491.03","Finale A"
"Benjamin Guyon","K1H","116.52","444.14","496.83","Finale A"
"Cyril Audoit","K1H","157.54","334.32","1025.88","Finale A"
"Jules Silvin","C1H","115.67","403.15","419.83","Finale B"
"Emile Verdier","C1H","122.62","571.2","505.2","Finale B"
"Tanguy Adisson","C1H","125","569.25","534.43","Finale B"
"Julien Lambert","C1H","133.49","689.48","638.71","Finale B"
"Edouard Chenal","C1H","142.73","888.85","752.21","Finale B"
"Solen Friconneau","K1D","124.68","404.33","422.07","Finale B"
"Anouk Alberti","K1D","126.11","480.79","438.4","Finale B"
"Sarah Monod","K1D","126.53","548.26","443.19","Finale B"
"Juliette Piot","K1D","126.64","519.45","444.45","Finale B"
"Lucie Fromentoux","K1D","129.07","472.55","472.18","Finale B"
"Chloe Faverjon","K1D","130.85","462.65","492.49","Finale B"
"Juliette Ribault","K1D","134.94","689.63","539.18","Finale B"
"Cendres Le Floch","K1D","135.33","1172.74","543.63","Finale B"
"Hugo Martin -laemle","K1H","106.04","417.8","366.66","Finale B"
"Erwann Buthod","K1H","108.94","450.04","404.07","Finale B"
"Maxence Jehan","K1H","109.28","413.36","408.45","Finale B"
"Theo Soulier","K1H","109.97","444.94","417.35","Finale B"
"Emmanuel Triomphe","K1H","111.45","396.61","436.44","Finale B"
"Clement Couchoud","K1H","112.27","503.77","447.02","Finale B"
"Alexei Evlachev","K1H","112.56","501.33","450.76","Finale B"
"Marc Jungling","K1H","112.81","573.72","453.98","Finale B"
"Louis Scalbert","K1H","112.89","500.42","455.01","Finale B"
"Olivier Barriere","K1H","113.08","338.46","457.46","Finale B"
"Victorien Lombard","K1H","113.29","464.42","460.17","Finale B"
"Nicolas Demofsqui","K1H","114.22","518.99","472.17","Finale B"
"Remy Beal","K1H","114.7","473.91","478.36","Finale B"
"Theo Zembalia","K1H","115.01","448.14","482.35","Finale B"
"Yves Masson","K1H","115.3","528.55","486.09","Finale B"
"Arthur Contamine","K1H","115.36","484.09","486.87","Finale B"
"Valentin Capel","K1H","116.37","796.82","499.9","Finale B"
"Arthur Brune","K1H","118.15","662.53","522.85","Finale B"
"Mathieu Buono-michel","K1H","118.23","553.62","523.88","Finale B"
"Gael Fauroux","K1H","119.38","675.86","538.72","Finale B"
"Sander Duvillard","K1H","119.88","515.65","545.17","Finale B"
"Tanguy Adisson","K1H","120.93","518.44","558.71","Finale B"
"Philippe Bigard","K1H","120.94","590.57","558.84","Finale B"
"Francois Lecuit","K1H","122.13","606.23","574.18","Finale B"
"Guillaume Belet","K1H","122.68","463.78","581.28","Finale B"
"Aymeric Fumex","K1H","122.75","634.01","582.18","Finale B"
"Tom Mazouat","K1H","122.86","555.88","583.6","Finale B"
"Florent Vallier","K1H","122.88","641.85","583.86","Finale B"
"Yasin Gulay","K1H","123.31","711.54","589.4","Finale B"
"Tao Dersoir","K1H","125.41","733.69","616.49","Finale B"
"Florent Dohet","K1H","125.99","655.39","623.97","Finale B"
"Enzo Mazouat","K1H","126.84","642.58","634.93","Finale B"
"Jean Bonnet","K1H","130.23","908.13","678.65","Finale B"
"Raphael Massot","K1H","157.44","369.65","1029.59","Finale B"
