"Sélectif Régional - Veigné - 2013-03-30","Course 1","2013-03-30","Régional","106"
"Lucie Baudu","K1D","90.52","26.02","114.15",""
"Claire Landrin","K1D","92.97","-","143.66",""
"Laurine Naveau","K1D","102.96","129.04","264.03",""
"Suzon Broute","K1D","104.37","93.19","281.03",""
"Amelie Perier","K1D","112.61","175.6","380.31",""
"Viviana Daille","K1D","118.27","-","448.52",""
"Angele Picco","K1D","155.83","439.5","901.1",""
"Annaelle Soulet","K1D","158.13","-","928.81",""
"Tifenn Van Delft","K1D","167.43","194.99","1040.86",""
"Elodie Livet","K1D","179.38","-","1184.85",""
"Julie Dequeant","K1D","179.46","-","1185.82",""
"Manon Moreau","K1D","Nt","-","-",""
"Valerie Poupin Chopier","K1D","Nt","-","-",""
"Christophe Augu","K1H","81.71","-","135.98",""
"Romain Faurie","K1H","81.81","54.84","137.34",""
"Henri Despont","K1H","84.19","180.85","169.75",""
"Benjamin Thouvignon","K1H","85","87.76","180.78",""
"Boris Sacre","K1H","86.72","62.57","204.2",""
"Antoine Dubost","K1H","88.76","111.49","231.97",""
"Denis Guilmard","K1H","90.14","113.2","250.76",""
"Gaetan Drouin","K1H","90.18","146.63","251.31",""
"Matthieu Chauvel","K1H","90.68","102.24","258.12",""
"Stephane Broute","K1H","90.93","104.46","261.52",""
"Baptiste Grosjean","K1H","91.65","-","271.32",""
"Adrien Picco","K1H","92","152.74","276.09",""
"Mathieu Delorme","K1H","92.13","199.57","277.86",""
"Jeremy Boisgibault","K1H","93.24","195.97","292.98",""
"Baptiste Podor","K1H","94.36","205.47","308.22",""
"Pierre Giudicelli","K1H","94.37","-","308.36",""
"Antoine Jonin","K1H","95.35","189.5","321.7",""
"Jacques Despierres","K1H","97.61","137.05","352.47",""
"Theo Renaud","K1H","99.41","251.54","376.98",""
"Emmanuel Moreau","K1H","101.29","207.48","402.59",""
"Guillaume De Fierville","K1H","101.99","257.61","412.11",""
"Josquin Dubois","K1H","102.43","-","418.11",""
"Florian Plault","K1H","102.86","317.15","423.95",""
"Jerome Boudin","K1H","102.87","-","424.09",""
"Nathan Rene Corail","K1H","103.3","-","429.95",""
"Gregoire Moury","K1H","103.7","296.7","435.39",""
"Florian Crette","K1H","106.28","-","470.53",""
"Lucas Godevin","K1H","106.65","346.11","475.56",""
"Pierre Knittel","K1H","107.15","-","482.37",""
"Christophe Cartault","K1H","109.34","-","512.19",""
"Clement Dubois","K1H","109.77","183.55","518.04",""
"Raphael Cuillerdier","K1H","112.5","285.94","555.22",""
"Samuel Breton","K1H","115.24","-","592.52",""
"Erwan Jonin","K1H","116.01","366.06","603.01",""
"Clement Bleuet","K1H","116.25","397.56","606.27",""
"Juan Guerrero","K1H","121.76","-","681.3",""
"Pierre Louis Ferre","K1H","124.83","-","723.09",""
"Nicolas Leconte","K1H","125.4","347.7","730.85",""
"Nicolas Petipez","K1H","127.85","717.15","764.22",""
"Emmanuel Despont","K1H","130.96","-","806.57",""
"Mickael Dubois","K1H","131.68","371.69","816.37",""
"Emilien Licoine Mercy","K1H","134.1","-","849.31",""
"Valentin Bonnot","K1H","135.29","-","865.52",""
"Richard Gouget","K1H","139","-","916.04",""
"Timothee Le Mort","K1H","144.45","163.07","990.24",""
"Nicolas Castagnetti","K1H","196.28","-","1695.95",""
"Nicolas Dequeant","K1H","209.28","-","1872.95",""
"Alexandre Buchet","K1H","209.93","294.5","1881.81",""
"Henley Sararamandif","K1H","289.99","-","2971.89",""
"Maxence Auvray","K1H","Nt","-","-",""
"Antonin Dalaine","K1H","Nt","-","-",""
"Valentin Blondel","K1H","Nt","-","-",""
"Nicolas Thomas","K1H","Nt","-","-",""
"Nathan Dalaine","K1H","Nt","-","-",""
"Arthur Marraro","K1H","Nt","-","-",""
"Vincent Froger","K1H","Nt","-","-",""
