"SÈlectif RÈgional Slalom (Double) - Montreuil Sur Mer Et Beaurainville - Course n∞2 | Finale - 2016-09-18","Course n∞2 | Finale","2016-09-18","RÈgional","228"
"Hugo Baillet-Thibaut Evrard","C2HM","177.89","-","1077.64","Course n∞2 | Finale A"
"Nicolas Ducrocq-Tiphaine Duboc","C2M","124.94","283.32","351.92","Course n∞2 | Finale A"
"Thibaud Vielliard-Noemie Ramet","C2M","134.67","-","454.07","Course n∞2 | Finale A"
"Yann Le Govic-Marion Pellen","C2M","139.3","-","502.68","Course n∞2 | Finale A"
"Anthony Thuillier-Camille Andrieux","C2M","143.69","-","548.78","Course n∞2 | Finale A"
"Tiphaine Duboc","K1D","107","194.38","233.15","Course n∞2 | Finale A"
"Emilie Delahaye","K1D","110.06","260.54","267.27","Course n∞2 | Finale A"
"Chloe Gatuingt","K1D","114.13","318.43","312.65","Course n∞2 | Finale A"
"Sophie Dupas","K1D","120.67","346.95","385.57","Course n∞2 | Finale A"
"Alina Rassel","K1D","122.6","312.15","407.09","Course n∞2 | Finale A"
"Leontine Dubuisson","K1D","124.18","376.49","424.71","Course n∞2 | Finale A"
"Mathilde Guillot-le Goff","K1D","129.63","457.84","485.47","Course n∞2 | Finale A"
"Manon Zanelli","K1D","147.93","564.98","689.5","Course n∞2 | Finale A"
"Margaux Fabijan","K1DM","129.2","565.45","480.67","Course n∞2 | Finale A"
"Elise Weilbach","K1DM","141.86","560.16","621.83","Course n∞2 | Finale A"
"Mylene Despres","K1DM","144.65","751.87","652.94","Course n∞2 | Finale A"
"Zoe Waeles","K1DM","151.66","784.35","731.09","Course n∞2 | Finale A"
"Bertrand Gutierrez","K1H","86.36","87.16","128.2","Course n∞2 | Finale A"
"Kendaor Le Huitou","K1H","91.29","98.74","190.31","Course n∞2 | Finale A"
"Lucas Latimier","K1H","91.49","158.71","192.83","Course n∞2 | Finale A"
"Nicolas Feuillard","K1H","91.79","186.09","196.61","Course n∞2 | Finale A"
"Hugo Regnier","K1H","92.13","198.53","200.9","Course n∞2 | Finale A"
"Nicolas Rouleaud","K1H","92.15","182.48","201.15","Course n∞2 | Finale A"
"David Mingasson","K1H","92.17","214.37","201.4","Course n∞2 | Finale A"
"Eric Lamour","K1H","93.02","150.84","212.11","Course n∞2 | Finale A"
"Yann Le Govic","K1H","93.12","75.69","213.37","Course n∞2 | Finale A"
"Xavier Jourdain","K1H","93.24","177.27","214.88","Course n∞2 | Finale A"
"Nathan Boudaillez","K1H","94.15","265.36","226.35","Course n∞2 | Finale A"
"Jules Bevalot","K1H","94.91","178.8","235.92","Course n∞2 | Finale A"
"Nicolas Bernardy","K1H","95.44","158.94","242.6","Course n∞2 | Finale A"
"Romain Bertrand","K1H","96.07","243.86","250.54","Course n∞2 | Finale A"
"Yani Ferhaoui","K1H","96.64","213.81","257.72","Course n∞2 | Finale A"
"Yohan Marck","K1H","97.25","245.11","265.4","Course n∞2 | Finale A"
"Julien Antide","K1H","97.37","-","266.91","Course n∞2 | Finale A"
"Bastien Belembert","K1H","99.49","346.02","293.62","Course n∞2 | Finale A"
"Loan Queffelec","K1H","100.85","303.8","310.76","Course n∞2 | Finale A"
"Jeanmichel Regnier","K1H","102.35","264.19","329.66","Course n∞2 | Finale A"
"Tom Barthelemy","K1H","103.6","259.67","345.41","Course n∞2 | Finale A"
"Hector Combes","K1H","103.88","343.31","348.93","Course n∞2 | Finale A"
"Lucas Jacob","K1H","104.03","279.3","350.82","Course n∞2 | Finale A"
"Leo Demazeau","K1H","105.34","376.98","367.33","Course n∞2 | Finale A"
"Ludovic Ngo","K1H","105.68","270.4","371.61","Course n∞2 | Finale A"
"Louis Debureaux","K1H","105.93","351.59","374.76","Course n∞2 | Finale A"
"Fabien De Almeida","K1H","106.04","318.91","376.15","Course n∞2 | Finale A"
"Vianney Tillier","K1H","106.77","387.02","385.35","Course n∞2 | Finale A"
"Florent Bernard","K1H","107.38","352.49","393.03","Course n∞2 | Finale A"
"Florian Gosselin","K1H","107.43","261.61","393.66","Course n∞2 | Finale A"
"Theo Loury","K1H","107.65","405.74","396.43","Course n∞2 | Finale A"
"Romain Huguenin","K1H","109.41","311.32","418.61","Course n∞2 | Finale A"
"Quentin Angot","K1H","109.42","380.93","418.73","Course n∞2 | Finale A"
"Guillaume Doutreix","K1H","109.74","318.68","422.76","Course n∞2 | Finale A"
"Guillaume Maillot","K1H","110.48","313.5","432.09","Course n∞2 | Finale A"
"Enzo Cozette","K1H","110.72","376.38","435.11","Course n∞2 | Finale A"
"Simon Dubosc","K1H","110.8","265.86","436.12","Course n∞2 | Finale A"
"Maxime Poupart","K1H","111.13","376.63","440.28","Course n∞2 | Finale A"
"Isidore Dubuisson","K1H","111.15","391.96","440.53","Course n∞2 | Finale A"
"Samuel Lhote","K1H","111.53","313.18","445.32","Course n∞2 | Finale A"
"Gawaine Chikh","K1H","111.55","332.88","445.57","Course n∞2 | Finale A"
"Arnaud Delattre","K1H","111.87","413.13","449.6","Course n∞2 | Finale A"
"Nicolas Candieu","K1H","112.05","357.87","451.87","Course n∞2 | Finale A"
"Yvan Leblond","K1H","114.67","313.24","484.88","Course n∞2 | Finale A"
"Clement Font-boinel","K1H","123.61","343.1","597.51","Course n∞2 | Finale A"
"Bertrand Avril","K1H","150.09","282.59","931.14","Course n∞2 | Finale A"
"Samuel Lhegu","K1H","216.82","111.05","1771.87","Course n∞2 | Finale A"
"Vincent Delahaye","K1H","Dsq","-","-","Course n∞2 | Finale A"
"Yohann Senechault","K1HM","105.28","349.19","366.57","Course n∞2 | Finale A"
"Noe Perreau","K1HM","105.44","360.59","368.59","Course n∞2 | Finale A"
"Loœc Pottier","K1HM","107.67","386.84","396.68","Course n∞2 | Finale A"
"Estephe Decarsin","K1HM","117.76","626.21","523.81","Course n∞2 | Finale A"
"Mewen Debliquy","K1HM","122.12","609.66","578.74","Course n∞2 | Finale A"
"Paul Cascarino","K1HM","123.41","557.76","594.99","Course n∞2 | Finale A"
"Fabien Bonvalet","K1HM","123.94","631.72","601.67","Course n∞2 | Finale A"
"Clement Hamel","K1HM","124.1","590.33","603.69","Course n∞2 | Finale A"
"Guillaume Munoz","K1HM","124.35","-","606.84","Course n∞2 | Finale A"
"Mathis Piepho","K1HM","127.76","-","649.8","Course n∞2 | Finale A"
"Gabriel Saul","K1HM","127.89","595.87","651.44","Course n∞2 | Finale A"
"Jeremie Hepner","K1HM","128.65","550.48","661.01","Course n∞2 | Finale A"
"Thibaut Evrard","K1HM","129.82","713.67","675.75","Course n∞2 | Finale A"
"Leontine Dubuisson","C1D","151.93","611.72","640.29","Course n∞2 | Finale B"
"Marion Matura","C1D","208.7","-","1236.33","Course n∞2 | Finale B"
"Anna Dufay Leneveu","C1D","291.84","-","2109.23","Course n∞2 | Finale B"
"Virgile Bourlet De La Vallee","C1H","110.79","345.35","374.52","Course n∞2 | Finale B"
"Olivier Gesbert","C1H","111.12","329.48","378.49","Course n∞2 | Finale B"
"Nicolas Feuillard","C1H","111.73","418.29","385.81","Course n∞2 | Finale B"
"Hugo Regnier","C1H","116.43","390.24","442.2","Course n∞2 | Finale B"
"Nathan Boudaillez","C1H","116.73","464.32","445.79","Course n∞2 | Finale B"
"Lucien Louchez","C1H","119.9","468.49","483.83","Course n∞2 | Finale B"
"L…o Le Moigne","C1H","120.55","374.06","491.64","Course n∞2 | Finale B"
"Yvan Leblond","C1H","121.61","475.93","504.35","Course n∞2 | Finale B"
"Matthis Fradin","C1H","125.97","611.9","556.67","Course n∞2 | Finale B"
"Hugo Chauvary","C1H","126.62","-","564.46","Course n∞2 | Finale B"
"Louis Debureaux","C1H","126.85","622.31","567.24","Course n∞2 | Finale B"
"Geoffroy Lauth","C1H","135.39","547.24","669.7","Course n∞2 | Finale B"
"Simon Philibert","C1H","136.6","-","684.22","Course n∞2 | Finale B"
"Baptiste Duboc","C1H","137.66","765.69","696.94","Course n∞2 | Finale B"
"Sebastien Masseline","C1H","138.33","729","704.98","Course n∞2 | Finale B"
"Louis Marescot","C1H","139.29","1106.22","716.5","Course n∞2 | Finale B"
"Isidore Dubuisson","C1H","139.78","692.77","722.38","Course n∞2 | Finale B"
"Maxime Savalle","C1H","140.12","633.37","726.46","Course n∞2 | Finale B"
"Remi Blaud","C1H","151.29","897.85","860.49","Course n∞2 | Finale B"
"Marvin Lescourant","C1H","201.46","860.78","1462.49","Course n∞2 | Finale B"
"Anthony Dubois","C1H","218.94","1260.67","1672.22","Course n∞2 | Finale B"
"Yohan Marck","C1H","Nt","-","-","Course n∞2 | Finale B"
"Donatien Lamoureux","C1H","Nt","-","-","Course n∞2 | Finale B"
"Mewen Debliquy","C1HM","138.96","747.14","712.54","Course n∞2 | Finale B"
"Estephe Decarsin","C1HM","152.04","818.48","869.49","Course n∞2 | Finale B"
"Mathis Piepho","C1HM","157.47","-","934.64","Course n∞2 | Finale B"
"Paul Lecomte","C1HM","166.06","-","1037.71","Course n∞2 | Finale B"
"Alexis Vielliard-Amaury Vielliard","C2H","139.53","666.09","643.27","Course n∞2 | Finale B"
"Camille Fleuret-Enzo Cozette","C2H","142.5","613.11","677.29","Course n∞2 | Finale B"
"Lucas Jacob-Benoit Guernic","C2H","142.77","578.72","680.39","Course n∞2 | Finale B"
"Alberic Carpentier-Lucien Louchez","C2H","168.24","1018.64","972.11","Course n∞2 | Finale B"
"Donatien Lamoureux-Wilhelm Heimburger","C2H","Nt","-","-","Course n∞2 | Finale B"
"Bertrand Avril-Chloe Gatuingt","C2M","137.17","340.82","485.32","Course n∞2 | Finale B"
"Anne Lambert-Louison Laumondais","C2M","166.11","660.98","789.17","Course n∞2 | Finale B"
"Geoffroy Lauth-Rachel Broin","C2M","168.98","618.33","819.31","Course n∞2 | Finale B"
"Clement Font-boinel-Anna Dufay Leneveu","C2M","240.86","-","1573.99","Course n∞2 | Finale B"
"Anais Bernardy","K1D","106.39","156.57","231.35","Course n∞2 | Finale B"
"Anna Marvillet","K1D","139.4","567.18","599.4","Course n∞2 | Finale B"
"Catherine Boulan","K1D","149.46","535.57","711.56","Course n∞2 | Finale B"
"Anne Lambert","K1D","159.31","568.61","821.38","Course n∞2 | Finale B"
"Louise Chauvary","K1D","161.34","773.79","844.03","Course n∞2 | Finale B"
"Marion Matura","K1D","165.51","943.81","890.52","Course n∞2 | Finale B"
"Lisa Bou…","K1D","170.17","1139.92","942.47","Course n∞2 | Finale B"
"Anouk Hadad","K1D","185.94","-","1118.31","Course n∞2 | Finale B"
"Emma Leroux","K1DM","149.78","718.44","715.14","Course n∞2 | Finale B"
"Manon Le Lay","K1DM","154.66","849.41","769.54","Course n∞2 | Finale B"
"Dorine Mouillard","K1DM","191.39","-","1179.07","Course n∞2 | Finale B"
"Albertine Binard","K1DM","194.3","1623.39","1211.51","Course n∞2 | Finale B"
"Timothee Le Mort","K1H","104.7","254.94","364.27","Course n∞2 | Finale B"
"Hugo Pidoux","K1H","108.09","416.67","406.98","Course n∞2 | Finale B"
"Valentin Fleury","K1H","109.4","423.41","423.48","Course n∞2 | Finale B"
"Stephane Debliquy","K1H","111.14","327.11","445.4","Course n∞2 | Finale B"
"Charles Pain","K1H","112.72","463.75","465.31","Course n∞2 | Finale B"
"Thibaud Collaert","K1H","113.05","589.36","469.47","Course n∞2 | Finale B"
"Martin Rohaut","K1H","113.56","445.02","475.89","Course n∞2 | Finale B"
"Benoit Guernic","K1H","115.25","420.73","497.19","Course n∞2 | Finale B"
"Remi Blaud","K1H","115.45","478.07","499.71","Course n∞2 | Finale B"
"Amaury Vielliard","K1H","115.76","481.57","503.61","Course n∞2 | Finale B"
"Michael Philibert","K1H","116.3","426.22","510.41","Course n∞2 | Finale B"
"Francois Palant","K1H","116.41","-","511.8","Course n∞2 | Finale B"
"Arthur Guillot-le Goff","K1H","117.18","433.32","521.5","Course n∞2 | Finale B"
"Teddy Poulard","K1H","117.4","391.46","524.27","Course n∞2 | Finale B"
"Gerard Lafargue","K1H","118.23","451.17","534.73","Course n∞2 | Finale B"
"Baptiste Duboc","K1H","118.9","501.46","543.17","Course n∞2 | Finale B"
"Alan Le Goff","K1H","119.01","457.98","544.56","Course n∞2 | Finale B"
"Simon Philibert","K1H","119.83","452.22","554.89","Course n∞2 | Finale B"
"Alberic Carpentier","K1H","119.97","546.36","556.65","Course n∞2 | Finale B"
"Philippe Valeri","K1H","119.97","469.22","556.65","Course n∞2 | Finale B"
"Maxime Savalle","K1H","119.98","492.24","556.78","Course n∞2 | Finale B"
"Amael Samson","K1H","120.71","483.65","565.98","Course n∞2 | Finale B"
"Marvin Lescourant","K1H","122.37","569.25","586.89","Course n∞2 | Finale B"
"Louison Laumondais","K1H","122.76","388.89","591.8","Course n∞2 | Finale B"
"Wilhelm Heimburger","K1H","122.86","-","593.06","Course n∞2 | Finale B"
"Alexis Vielliard","K1H","123.77","542.04","604.53","Course n∞2 | Finale B"
"Eric Beaumont","K1H","125.21","-","622.67","Course n∞2 | Finale B"
"Julien Duahaut","K1H","126.92","574.67","644.22","Course n∞2 | Finale B"
"Philippe Podvin","K1H","127.17","660.62","647.37","Course n∞2 | Finale B"
"Baptiste Le Cocq","K1H","128.81","554.28","668.03","Course n∞2 | Finale B"
"Alexis Agent","K1H","129.16","535.44","672.44","Course n∞2 | Finale B"
"Yann Castryck- -genereux","K1H","129.45","629.23","676.09","Course n∞2 | Finale B"
"Sebastien Masseline","K1H","130.6","625.48","690.58","Course n∞2 | Finale B"
"Nathan Saintobert","K1H","130.66","687.67","691.34","Course n∞2 | Finale B"
"Johann Sacleux","K1H","130.79","682.24","692.97","Course n∞2 | Finale B"
"Vladimir Krsmanovic","K1H","134.07","546.66","734.3","Course n∞2 | Finale B"
"Elie Scaglia Mennesson","K1H","134.29","484.05","737.07","Course n∞2 | Finale B"
"Josselin Depreck","K1H","140.37","-","813.67","Course n∞2 | Finale B"
"Eric Bernard","K1H","147.3","-","900.99","Course n∞2 | Finale B"
"Pierre Yves Tempier","K1H","153.06","869.53","973.56","Course n∞2 | Finale B"
"Mickael Dubois","K1H","154.94","808.45","997.24","Course n∞2 | Finale B"
"Anthony Dubois","K1H","163.75","963.7","1108.24","Course n∞2 | Finale B"
"Killian Errot","K1H","170.48","1598.22","1193.03","Course n∞2 | Finale B"
"Tom Armand","K1H","171.59","1503.53","1207.02","Course n∞2 | Finale B"
"Alain Regnier","K1H","185.31","-","1379.88","Course n∞2 | Finale B"
"Th…o Laroque","K1H","187.55","-","1408.1","Course n∞2 | Finale B"
"Noe Vannier","K1H","214.04","1400.03","1741.85","Course n∞2 | Finale B"
"Louis Vanbersel","K1HM","128.41","-","662.99","Course n∞2 | Finale B"
"Gauthier Palau","K1HM","143.16","-","848.83","Course n∞2 | Finale B"
"Paul Lecomte","K1HM","143.87","-","857.77","Course n∞2 | Finale B"
"Mathis Andrieu","K1HM","146.47","-","890.53","Course n∞2 | Finale B"
"Antoine Huger","K1HM","149.2","-","924.92","Course n∞2 | Finale B"
"Matteo Figueiredo Alves","K1HM","149.76","1157.3","931.98","Course n∞2 | Finale B"
"Benjamin Georgin","K1HM","149.9","850.4","933.74","Course n∞2 | Finale B"
"Lucas Ferloni","K1HM","154.93","1547.84","997.12","Course n∞2 | Finale B"
"Matthis Leroux","K1HM","160.14","1489.63","1062.76","Course n∞2 | Finale B"
"Mathis Pomares","K1HM","163.13","1933.69","1100.43","Course n∞2 | Finale B"
"Dimitri Houlier","K1HM","204.2","784.94","1617.87","Course n∞2 | Finale B"
"Gabriel Benoit","K1HM","Des","-","-","Course n∞2 | Finale B"
