"Championnat de France N1 - Treignac - 7ème Manche - 2009-05-02","7ème Manche","2009-05-02","Nationale 1","129"
"Elisa Venet","K1D","113.24","43","49",""
"Claire Jacquet","K1D","116.43","40","62",""
"Ophelie Delaplace","K1D","116.78","62","63",""
"Estelle Mangin","K1D","117.06","45","64",""
"Clotilde Miclo","K1D","118.06","25","68",""
"Gaelle Tosser-roussey","K1D","119.71","137","75",""
"Marie Borlet","K1D","119.76","50","75",""
"Lucie Baudu","K1D","120.95","142","80",""
"Anne Sophie Le Bailly","K1D","121.16","81","81",""
"Lea Martin","K1D","123.07","66","89",""
"Josepha Longa","K1D","125.54","67","99",""
"Caroline Bourry","K1D","127.44","70","107",""
"Laure Udari","K1D","130.42","91","119",""
"Flora Bove","K1D","130.87","127","121",""
"Estelle Hellard","K1D","134.3","137","135",""
"Anne Traband","K1D","135.51","148","140",""
"Carole Bouzidi","K1D","163.88","33","257",""
"Elise Pierron","K1D","175.3","136","305",""
"Nagwa Lanchec El Desouki","K1D","175.92","42","307",""
"Emilie Chamouleau","K1D","183.76","73","339",""
"Aurelien Maynadier","K1H","92.48","29","13",""
"Pierre Bourliaud","K1H","93.15","6","15",""
"Renaud Doby","K1H","93.49","11","17",""
"Etienne Daille","K1H","94.81","13","23",""
"Quentin Bove","K1H","95.07","22","25",""
"Mathieu Doby","K1H","95.47","14","26",""
"Sebastien Combot","K1H","95.56","9","27",""
"Thomas Bersinger","K1H","95.89","11","28",""
"Benoit Guillaume","K1H","96.06","15","29",""
"Julien Dekarczyk","K1H","96.47","27","31",""
"Ludovic Di Nisi","K1H","96.51","32","31",""
"Jimy Bercon","K1H","97.14","45","34",""
"Thomas Rosset","K1H","97.37","30","35",""
"Benjamin Renia","K1H","97.98","7","38",""
"Benoit Molinier","K1H","98.21","45","39",""
"Ronan Lucas","K1H","98.63","32","41",""
"Johan De Mareuil","K1H","98.74","38","42",""
"Oswald Besch","K1H","98.77","30","42",""
"Frederic Walczak","K1H","98.86","10","42",""
"Hugo Cailhol","K1H","99.25","35","44",""
"Christophe Augu","K1H","99.41","39","45",""
"Jules Bevalot","K1H","99.53","40","45",""
"Louis Philippe Rigal","K1H","99.53","40","45",""
"Christophe Marechal","K1H","99.58","31","46",""
"Samuel Lhegu","K1H","99.6","85","46",""
"Alexis Caspar","K1H","99.64","35","46",""
"Aurelien Leroy","K1H","100.25","44","49",""
"Quentin Burgi","K1H","100.51","72","50",""
"Damien Laborde","K1H","101.21","40","53",""
"Yann Gudefin","K1H","101.47","26","54",""
"Vivien Colober","K1H","101.54","12","55",""
"Pierre Marie Roussel","K1H","101.82","40","56",""
"Enrick Cunsolo","K1H","101.83","80","56",""
"Benjamin Travostino","K1H","101.93","28","56",""
"Nicolas Veillard","K1H","102.19","26","58",""
"Davy Egraz","K1H","102.64","54","60",""
"Julien Haberland","K1H","102.7","79","60",""
"Emmanuel Walczak","K1H","102.76","37","60",""
"Julien Arribe","K1H","102.78","59","61",""
"Loris Minvielle","K1H","103.47","35","64",""
"Laurent Le Touze","K1H","104.3","69","67",""
"Jeremy Cremonesi","K1H","104.83","41","70",""
"Yann Le Govic","K1H","104.96","82","71",""
"Yoann Hautecloche","K1H","105.3","44","72",""
"Goulwen Chapelier","K1H","105.45","48","73",""
"Arnaud Lapeze","K1H","106.17","34","76",""
"Julien Coudert","K1H","107.2","53","81",""
"Pierre Devaux","K1H","108.13","54","85",""
"Jonathan Delagnes","K1H","111.24","48","100",""
"Florian Berail","K1H","112.18","18","104",""
"Boris Sacre","K1H","116.15","82","123",""
"Mathieu Biazizzo","K1H","153.08","70","295",""
"Andy Pajani","K1H","161.59","39","334",""
"Antoine Launay","K1H","179.64","84","418",""
"Louis Georges Lafont","K1H","196.49","41","497",""
"Nicolas Labat","K1H","202.03","27","523",""
"Julien Billaut","K1H","Nt","-","-",""
