"Sélectif National 3 Slalom Nord-Est - Pontarlier - Finale - 2016-04-24","Finale","2016-04-24","Nationale 3","146"
"Gaelle Aumer-Olivier Urbain","C2M","226.63","682.01","1230.64","Finale A"
"Ilhame Siraj","K1D","128.22","333.03","351.82","Finale A"
"Floriane Carisey","K1D","134.49","359.9","416.51","Finale A"
"Marie Hilger","K1D","134.97","349.34","421.45","Finale A"
"Jade Robin","K1D","136.68","345.46","439.1","Finale A"
"Jeanne Bernard","K1D","136.92","495.24","441.57","Finale A"
"Kelly Capitaine","K1D","138.99","458.23","462.93","Finale A"
"Tifenn Primet","K1D","139.62","411.67","469.43","Finale A"
"Margot Perrin","K1D","141.71","490.55","490.99","Finale A"
"Maeva Auriol","K1D","141.81","448.47","492.02","Finale A"
"Justine Clerc","K1D","142.14","514.98","495.43","Finale A"
"Julie Rufet","K1D","148.02","465.37","556.08","Finale A"
"Anais Mouhoub","K1D","192.43","407.07","1014.22","Finale A"
"Loic Thielen","K1H","108.31","324.91","291.68","Finale A"
"Corentin Monasse","K1H","108.36","324.76","292.27","Finale A"
"Dirk Fuhrmann","K1H","109.17","305.19","301.71","Finale A"
"Jules Bernardet","K1H","110","271.21","311.38","Finale A"
"Antoine Saul","K1H","110.21","291.45","313.83","Finale A"
"Benjamin Dodane","K1H","110.72","307.6","319.78","Finale A"
"Alexis Caspar","K1H","111.28","286.35","326.31","Finale A"
"Romain Viry","K1H","111.29","328.16","326.42","Finale A"
"Florent Tamburini","K1H","111.66","312.57","330.74","Finale A"
"Gabriel De Coster","K1H","112.12","361.72","336.1","Finale A"
"Raphael Ricci Miege","K1H","112.22","328.11","337.26","Finale A"
"Patrice Campioni","K1H","112.8","311.52","344.02","Finale A"
"Loic Joly","K1H","113.62","313.8","353.58","Finale A"
"Lucas Gillet","K1H","115.05","273","370.25","Finale A"
"Yann Becker","K1H","115.09","332.4","370.72","Finale A"
"LoÏc Winiarski","K1H","115.36","385.24","373.87","Finale A"
"Charles Vallet","K1H","115.38","310.33","374.1","Finale A"
"Thomas Descotes","K1H","115.83","402.3","379.35","Finale A"
"Jean Charles Hacquart","K1H","116.49","383.65","387.04","Finale A"
"Thomas L'huillier","K1H","117.08","335.73","393.92","Finale A"
"Olivier Urbain","K1H","117.36","304.27","397.18","Finale A"
"Damien Burteaux","K1H","118.1","339.53","405.81","Finale A"
"Eddy Cassard","K1H","118.82","373.13","414.2","Finale A"
"Jorg Blees","K1H","118.89","390.39","415.02","Finale A"
"Anthony Rouhier","K1H","119.72","411.14","424.69","Finale A"
"Thomas Stutzmann","K1H","120.57","420.53","434.6","Finale A"
"Victor Hennin","K1H","120.88","419.17","438.21","Finale A"
"Charles Fernandes De Oliveira","K1H","121.29","266.25","442.99","Finale A"
"Emmanuel Triomphe","K1H","121.33","339.98","443.46","Finale A"
"Jules Andrien","K1H","122.42","442.77","456.17","Finale A"
"Matthieu Walfard","K1H","122.74","387.81","459.9","Finale A"
"Mathurin Garnier","K1H","122.84","308.61","461.06","Finale A"
"Alexandre Mathis","K1H","124.99","434.76","486.12","Finale A"
"Damien Siegfried","K1H","126.69","370.62","505.94","Finale A"
"Vincent Idriss Achaoui","K1H","126.97","453.88","509.21","Finale A"
"Armand Lombardot","K1H","130.07","496.25","545.34","Finale A"
"Loric Bertrand Delorme","K1H","131.27","488.37","559.33","Finale A"
"Loic Petel","K1H","134.79","485.44","600.36","Finale A"
"Louis Pein","K1H","141.32","379.9","676.49","Finale A"
"Alexis Pacholak","K1H","172.38","390.07","1038.56","Finale A"
"Guillaume Goury","C1H","125.42","337.18","426.52","Finale B"
"Jules Vonderscher","C1H","134.45","464.8","526.77","Finale B"
"Jean Charles Hacquart","C1H","135.15","522.44","534.54","Finale B"
"Victor Hennin","C1H","136.08","549.37","544.86","Finale B"
"Vincent Idriss Achaoui","C1H","143.55","555.19","627.79","Finale B"
"Dyclan Plessis","C1H","143.56","591.55","627.91","Finale B"
"Marvin Tulpin","C1H","149.6","566.83","694.96","Finale B"
"Guerlain Robin","C1H","151.41","596.79","715.06","Finale B"
"Angelino Castagnetti","C1H","157.25","784.12","779.9","Finale B"
"Paul Farrugio","C1H","170.23","725.89","924","Finale B"
"Titouan Auriol","C1H","238.99","753.6","1687.38","Finale B"
"Yann Becker","C1H","Abs","-","-","Finale B"
"Pierre Biagui","C1H","Abd","-","-","Finale B"
"Nicolas Gallais-Loric Bertrand Delorme","C2H","Abs","-","-","Finale B"
"Maeva Auriol-Charles Billon","C2M","237.44","869.69","1340.66","Finale B"
"Charlotte Lubineau","K1D","141.69","406.86","495.78","Finale B"
"Clotilde Lecoester","K1D","151.64","440.51","598.43","Finale B"
"Emma Vaubourg","K1D","152.06","445.33","602.75","Finale B"
"Marlene Dumoulin","K1D","152.65","425.73","608.85","Finale B"
"Maude Dominique","K1D","159.69","740.19","681.47","Finale B"
"Eva Klipfel","K1D","160.11","797.32","685.8","Finale B"
"Sophie Staudt","K1D","171","415.23","798.14","Finale B"
"Lucine Tellier","K1D","171.58","635.28","804.13","Finale B"
"Estelle Mayer","K1D","175.92","556.1","848.89","Finale B"
"Carole Dolmaire","K1D","178.05","621.4","870.87","Finale B"
"Sarah Rothenbuhler","K1D","226.53","543.49","1370.99","Finale B"
"Christophe Godinat","K1H","119.86","443.91","431.32","Finale B"
"Djimy Kar","K1H","120.82","373.22","442.51","Finale B"
"Antoine Leroy","K1H","122.29","403.36","459.65","Finale B"
"Guerlain Robin","K1H","122.33","432.39","460.12","Finale B"
"Yanis Delacour","K1H","123.32","427.27","471.66","Finale B"
"Dyclan Plessis","K1H","126.79","395.16","512.11","Finale B"
"Yael Leleu","K1H","128.12","469.57","527.61","Finale B"
"Maxime Pilard","K1H","128.16","438.96","528.08","Finale B"
"Erwan Degreve","K1H","129.54","494.01","544.16","Finale B"
"Xavier Rat","K1H","129.62","399.81","545.1","Finale B"
"Pierre-louis Gstalter","K1H","129.83","584.88","547.55","Finale B"
"Guillaume Schneider","K1H","130.78","612.44","558.62","Finale B"
"Guillaume Cochut","K1H","132.3","489.64","576.34","Finale B"
"Oscar Lombardot","K1H","133.12","567.56","585.9","Finale B"
"Marvin Tulpin","K1H","133.65","477.94","592.08","Finale B"
"Nicolas Gallais","K1H","134.62","528.15","603.38","Finale B"
"Matheo Dejonghe","K1H","137.93","638.07","641.97","Finale B"
"Kilian Godart","K1H","138.1","385.51","643.95","Finale B"
"Anthony Ferreira","K1H","138.4","749.62","647.45","Finale B"
"Jean Guyot","K1H","140.9","487.97","676.59","Finale B"
"Pierre Biagui","K1H","144.89","514.46","723.1","Finale B"
"Titouan Auriol","K1H","146.16","472.58","737.91","Finale B"
"Vincent Chamois","K1H","146.81","655.93","745.48","Finale B"
"Come Champurney","K1H","151.57","589.06","800.97","Finale B"
"Paul Farrugio","K1H","151.7","642.75","802.49","Finale B"
"Angelino Castagnetti","K1H","152.49","758.24","811.7","Finale B"
"Lucas Matkovic","K1H","153.13","873.6","819.16","Finale B"
"Marceau Schneider","K1H","155.43","672.29","845.97","Finale B"
"Gilles Barthelemy","K1H","155.84","504.98","850.75","Finale B"
"Joshua Ravet","K1H","163.83","821.81","943.89","Finale B"
"Sylvain Lozach","K1H","169.56","894.33","1010.68","Finale B"
"Charles Billon","K1H","172.15","959.07","1040.88","Finale B"
"Matthew Vuillard","K1H","174.33","854.84","1066.29","Finale B"
"Jean- Nicolas Veigel","K1H","179.58","777.33","1127.49","Finale B"
"Alexandre L'huillier","K1H","185.76","581.48","1199.53","Finale B"
"Hugo Courtin","K1H","193.19","604","1286.14","Finale B"
"Gerard Menissier","K1H","195.9","515.33","1317.73","Finale B"
"Anthony Dubois","K1H","203.45","995.61","1405.74","Finale B"
"Julien Carisey","K1H","217.25","519.82","1566.61","Finale B"
"Kevin Vienny","K1H","Abd","-","-","Finale B"
