"Championnat Nationale 2 Slalom - Yenne - Qualification - 2015-06-27","Qualification","2015-06-27","Nationale 2","277"
"Fanchon Janssen","K1D","124.49","178.41","246.26",""
"Emeline Oudet","K1D","124.76","136.85","248.77",""
"Camille Fontaine","K1D","127.63","171.45","275.46",""
"Anais Bernardy","K1D","127.92","214.2","278.16",""
"Lisa Mouffle","K1D","127.99","156.2","278.8",""
"Claire Landrin","K1D","128","153.17","278.9",""
"Nelly Tornare","K1D","128.84","163.35","286.72",""
"Violaine Vennin","K1D","129.51","174.06","292.95",""
"Andrea Gratwohl","K1D","129.59","223.02","293.68",""
"Viviana Daille","K1D","129.82","208.16","295.83",""
"Lea Grison","K1D","135.3","232.95","346.8",""
"Candice Brondel","K1D","136.64","250.46","359.25",""
"Louise Bichet","K1D","137.2","241.39","364.46",""
"Manon Durand","K1D","137.75","217.1","369.58",""
"Marie-amelie Jullien","K1D","138.02","309.02","372.09",""
"Agathe Chaumet","K1D","138.23","153.15","374.03",""
"Axelle Armanini","K1D","138.93","214.97","380.55",""
"Emilie Delahaye","K1D","139.66","264.77","387.34",""
"Marine Schmitt","K1D","141.4","134.38","403.52",""
"Manon Prioux","K1D","141.75","-","406.77",""
"Zoe Huet","K1D","142.11","235.15","410.12",""
"Oceane Vienet","K1D","142.2","266.08","410.96",""
"Anne-sophie Biazizzo","K1D","143.54","383.84","423.43",""
"Zelie Wendling","K1D","143.62","297.28","424.16",""
"Camille Hurez","K1D","143.67","355.64","424.63",""
"Elise Pierron","K1D","144.41","130.61","431.51",""
"Raphaelle Hovine","K1D","144.77","263.79","434.86",""
"Marion Delorme","K1D","145.18","302.66","438.67",""
"Violaine Truche","K1D","145.77","255.47","444.16",""
"Rozenn Le Page","K1D","146.24","254.02","448.53",""
"Alexane Galmiche","K1D","146.29","289.98","448.99",""
"Natacha Delassus","K1D","147.14","175.74","456.9",""
"Lise Denat","K1D","148.66","219.79","471.04",""
"Elodie Delavelle","K1D","149.05","256.4","474.67",""
"Chloe Gatuingt","K1D","152.96","381.92","511.03",""
"Laura Rocher","K1D","155.18","199.15","531.67",""
"Morgane Quemerais","K1D","155.84","255.05","537.8",""
"Adele Charlaigre","K1D","156.06","322.31","539.85",""
"Ilhame Siraj","K1D","157.17","348.88","550.18",""
"Astrid Coste","K1D","157.92","269.71","557.15",""
"Emilie Lhomme","K1D","158.7","184.33","564.4",""
"Chloe Crachet","K1D","160.31","308.76","579.38",""
"Elsa Cailhol","K1D","161.56","308.84","591",""
"Maud Sourbes","K1D","166.28","300.95","634.89",""
"Alicia Gallot","K1D","171.68","294.63","685.12",""
"Eva Dauvergne","K1D","174.38","289.78","710.23",""
"Azenor Philip","K1D","183.05","223.11","790.86",""
"Maela Le Corre","K1D","183.94","292.74","799.14",""
"Oriane Guichet","K1D","185.71","326.91","815.59",""
"Emilie Hernandez-brossard","K1D","188.98","292.61","846.01",""
"Noa Bouchardon","K1D","193.55","274.83","888.5",""
"Alina Rassel","K1D","196.9","338.51","919.66",""
"Lisa Robin","K1D","202.14","242.77","968.39",""
"Alixe Degremont","K1D","203.99","262.82","985.59",""
"Angele Hug","K1D","211.21","299.86","1052.73",""
"Jihane Samlal","K1D","224.36","157.15","1175.04",""
"Athenais Reby","K1D","228.86","377.63","1216.88",""
"Anais Boucher","K1D","229.8","336.64","1225.63",""
"Cindy Coat","K1D","235.16","244.09","1275.47",""
"Fanny Mino-vercellio","K1D","241.83","270.85","1337.5",""
"Emma Lars","K1D","253.53","302.8","1446.31",""
"Lucie Cecile","K1D","271.61","306.57","1614.45",""
"Julie Fauroux","K1D","361.81","342.22","2453.29",""
"Gurgen Brun","K1H","97.35","107.94","111.56",""
"Antoine Roux","K1H","98.89","115.02","127.74",""
"Kendaor Le Huitou","K1H","99.91","106.35","138.46",""
"Quentin Bove","K1H","100.07","124.6","140.14",""
"Benjamin Jacon","K1H","101.02","135.93","150.12",""
"Johan De Mareuil","K1H","102.2","170.06","162.52",""
"Loic Bertoia","K1H","102.25","180.15","163.05",""
"Julien Haberland","K1H","104.22","146.15","183.75",""
"Anthony Thuillier","K1H","104.36","161.41","185.22",""
"Nicolas Caussanel","K1H","104.84","149.17","190.27",""
"Vincent Fondeviole","K1H","104.84","154.07","190.27",""
"Valentin Brindeau","K1H","105","140.8","191.95",""
"Jean Philippe Winiarski","K1H","105.18","220.49","193.84",""
"Paul Cornut-chauvinc","K1H","105.55","147.13","197.73",""
"Charlie Barbier","K1H","105.58","178.13","198.04",""
"Pol Euzenes","K1H","105.62","132.84","198.46",""
"Titouan Dupras","K1H","105.81","131.73","200.46",""
"Remi Vinet","K1H","105.96","209.44","202.04",""
"Bryan Seiler","K1H","106.32","157.39","205.82",""
"Sebastien Nouvel","K1H","106.46","144.05","207.29",""
"Benoit Chantry","K1H","106.96","134.76","212.55",""
"Jerome Olhagaray","K1H","107.12","159.69","214.23",""
"Pierre Giudicelli","K1H","107.35","145.38","216.64",""
"Thomas Durand","K1H","107.47","208.99","217.91",""
"Xavier Jourdain","K1H","107.53","152.79","218.54",""
"Edgar Prigent","K1H","108","121.64","223.47",""
"Fabien Tournadre","K1H","108.03","136.7","223.79",""
"Jonas Le Morvan","K1H","108.08","239.27","224.32",""
"Luca Dos Santos","K1H","108.14","190.74","224.95",""
"Pierre Audouin","K1H","108.18","196.62","225.37",""
"Nicolas Rouleaud","K1H","108.19","169.88","225.47",""
"Matthieu Le Gall","K1H","108.2","162.57","225.58",""
"Sylvain Dandel","K1H","108.65","328.45","230.31",""
"Romain Guyomard","K1H","108.76","162.09","231.46",""
"Antoine Gaillard","K1H","108.84","148.98","232.3",""
"Felix Jeanningros","K1H","109.3","176.76","237.14",""
"Corentin Douady","K1H","109.54","200.88","239.66",""
"Johann Loiseau","K1H","110.08","179.4","245.33",""
"Vincent Gerdeaux","K1H","110.49","212.03","249.64",""
"Silvere Desongins","K1H","110.57","188.18","250.48",""
"Clement Cierocki","K1H","110.73","189.57","252.16",""
"Leo Fournier","K1H","110.82","209.43","253.11",""
"Cedric Jegouzo","K1H","110.89","165.26","253.85",""
"Vincent Reiter","K1H","111.1","226.86","256.05",""
"Charles Edouard Dherment","K1H","111.65","188.07","261.83",""
"Etienne Carpentier","K1H","111.66","286.2","261.94",""
"Vincent Ablin","K1H","111.72","154.78","262.57",""
"Nathan Boudaillez","K1H","111.77","255.27","263.09",""
"Robin Pottelette","K1H","111.91","236.25","264.56",""
"Mathieu Monier","K1H","111.92","205.42","264.67",""
"Robin Pilard","K1H","112.01","163.6","265.62",""
"Theo Lecomte","K1H","112.02","210","265.72",""
"Louis Masson","K1H","112.09","198.96","266.46",""
"Adrien Maire","K1H","112.57","202.41","271.5",""
"Nicolas Bernardy","K1H","112.77","193.52","273.6",""
"Aubry Bertin","K1H","112.85","164.1","274.44",""
"Dimitri Durannot","K1H","113.14","242.11","277.49",""
"Bertrand Bercon","K1H","113.3","244.03","279.17",""
"Jacques Precigout","K1H","113.81","238.36","284.53",""
"Florian Campagnole","K1H","113.84","159.83","284.85",""
"Otello Willmann Rosso","K1H","113.85","244.11","284.95",""
"Theo Celjo","K1H","114.01","178.74","286.63",""
"Maxime Texier","K1H","115.12","180.54","298.3",""
"Nathan Aubert","K1H","115.16","297.24","298.72",""
"Axel Kournwsky","K1H","115.58","249.42","303.13",""
"Eric Lamour","K1H","115.64","170.68","303.76",""
"Erwan Cadio","K1H","116.09","222.57","308.49",""
"Nicolas Mangeolle","K1H","116.25","226.31","310.17",""
"Anthony Mottais","K1H","116.43","175.73","312.06",""
"Pascal Ferry","K1H","116.72","232.04","315.11",""
"David Mingasson","K1H","117.68","210.27","325.2",""
"Maxime Tilhet","K1H","117.69","149.38","325.31",""
"Pierre De La Morinerie","K1H","117.75","215.87","325.94",""
"Quentin Chauvin","K1H","118.07","199.31","329.3",""
"Baptiste Podor","K1H","118.11","264.76","329.72",""
"Edouard Lecomte","K1H","118.2","251.79","330.66",""
"Tom Barthelemy","K1H","118.77","270.92","336.65",""
"Hugo Simon","K1H","118.84","233.6","337.39",""
"Nicolas Mevel","K1H","119.22","230.34","341.38",""
"Philippe Daumont","K1H","119.66","244.75","346.01",""
"Lucas Galmiche","K1H","119.75","210.53","346.95",""
"Erwan Rouch","K1H","120.85","239.1","358.51",""
"Arthur Favennec","K1H","121.3","260.37","363.24",""
"Julien Dosse","K1H","121.75","279.14","367.97",""
"Alexis Caspar","K1H","121.75","241.97","367.97",""
"Yohan Marck","K1H","122.4","279.9","374.8",""
"Arnaud Gallois","K1H","123.51","248.78","386.47",""
"Luc Doye","K1H","123.55","219.52","386.89",""
"Hugo Crepeau","K1H","123.59","222.2","387.31",""
"Lucas Gillet","K1H","123.6","279.23","387.41",""
"Allan Cousset","K1H","124.37","235.61","395.5",""
"Olivier Cain","K1H","125.12","195.64","403.39",""
"Romain Bertrand","K1H","125.87","196.55","411.27",""
"Bertrand Avril","K1H","125.93","249.03","411.9",""
"Adrien Verite","K1H","127.22","212.02","425.45",""
"Stephane Broute","K1H","127.27","240.4","425.98",""
"Ludovic Ngo","K1H","127.86","221","432.18",""
"Theo Foucher","K1H","128.63","238.87","440.27",""
"Adrien Picco","K1H","129.55","182.72","449.94",""
"Francois Durand","K1H","134.5","277.72","501.96",""
"Yann Zaepffel","K1H","141.92","275.61","579.93",""
"Matthieu Chauvel","K1H","158.81","164.11","757.43",""
"Arthur Huet","K1H","165.53","270.76","828.05",""
"Thomas Denais","K1H","168.65","294.54","860.83",""
"Gregoire Guerin","K1H","169.05","166.95","865.04",""
"Louis Midy","K1H","171.95","203.9","895.51",""
"Valentin Vibert","K1H","174.14","239.83","918.53",""
"Guillaume Doutreix","K1H","175.69","287.97","934.82",""
"Emeric Vibert","K1H","179.59","271.28","975.8",""
"Paul Commenges","K1H","311.78","228.21","2364.96",""
"Herve Busson","K1H","Abs","-","-",""
"Jules Bevalot","K1H","Abs","-","-",""
"Andy Barat","K1H","Abs","-","-",""
"Simon Despres","K1H","Abs","-","-",""
