"Manche 6 de la Coupe de France Nationale 1 Slalom - Foix - Finale - 2018-06-17","Finale","2018-06-17","Nationale 1","96"
"Lea Turmeau","K1D","113.58","52.77","92.59","Finale B"
"Lisa Mouffle","K1D","116.99","88.6","121.44","Finale B"
"Fanchon Janssen","K1D","118.86","98.38","137.27","Finale B"
"Viviana Daille","K1D","123.98","143.56","180.59","Finale B"
"Doriane Delassus","K1D","128.78","135.77","221.2","Finale B"
"Charline Berger Martin","K1D","190.58","185.94","744.07","Finale B"
"Emeline Oudet","K1D","231.33","177.36","1088.85","Finale B"
"Eva Pietracha","K1D","232.95","176.66","1102.55","Finale B"
"Alan Dollo","K1H","94.87","74.59","38.64","Finale B"
"Jonas Turmeau","K1H","97.23","105.46","61.2","Finale B"
"Thomas Rosset","K1H","97.94","92.51","67.99","Finale B"
"Gurgen Brun","K1H","99.2","72.29","80.04","Finale B"
"Hugo Regnier","K1H","99.35","89.4","81.47","Finale B"
"Lucas Latimier","K1H","99.44","81.17","82.33","Finale B"
"Hugo Crepeau","K1H","100.11","94.98","88.74","Finale B"
"Simon Hene","K1H","100.86","61.29","95.91","Finale B"
"Matheo Lebaindre","K1H","101","146.71","97.25","Finale B"
"Loic Bertoia","K1H","101.5","86.06","102.03","Finale B"
"Nicolas Abbal","K1H","101.66","101.28","103.56","Finale B"
"Pierre Grapotte","K1H","102.43","99.49","110.92","Finale B"
"Thibault Marchand","K1H","103.23","91.64","118.57","Finale B"
"Paul Cornut-chauvinc","K1H","104.12","95.8","127.08","Finale B"
"Gregoire Guerin","K1H","104.6","86.07","131.66","Finale B"
"Mathieu Monier","K1H","104.6","119.78","131.66","Finale B"
"Maxime Bottex","K1H","105.29","88.95","138.26","Finale B"
"Florian Busson","K1H","108.21","123.82","166.18","Finale B"
"Theo Desvignes","K1H","122.76","93.1","305.29","Finale B"
"Charlie Barbier","K1H","145.61","57.82","523.75","Finale B"
"Hugo Cailhol","K1H","145.71","62.42","524.7","Finale B"
"Robin Pottelette","K1H","153.6","97.61","600.14","Finale B"
"Theo Foucher","K1H","154.68","98.9","610.46","Finale B"
"Thomas Schmitt","K1H","155.96","77.63","622.7","Finale B"
"Renaud Doby","K1H","202.18","124.27","1064.59","Finale B"
"William Desnos","K1H","202.28","110.53","1065.55","Finale B"
"Louison Turmeau","K1H","248.06","109.45","1503.24","Finale B"
