"Slalom Régional - Périgueux - 2010-10-17","Course 1","2010-10-17","Régional","142"
"Arthur Chesnab","K1H","154.69","-","684.18",""
"Olivier Ramos","K1H","157.88","477.33","719.21",""
"Julien Auneau","K1H","160.75","-","750.72",""
"Maurice Pubert","K1H","161.39","678.93","757.75",""
"Aymerik Granveau","K1H","163.93","-","785.64",""
"Pierre De La Morinerie","K1H","164.53","-","792.23",""
"Victor Niney","K1H","165.17","830.33","799.25",""
"Leo Kovacs","K1H","171.51","-","868.87",""
"Axel Monribot","K1H","172.06","-","874.91",""
"Vincent Depaire","K1H","177.06","-","929.82",""
"Nicolas Herr","K1H","183.89","294.22","1004.81",""
"Cedric Dumondelle","K1H","198.6","-","1166.34",""
"Jean-baptiste Tesson","K1H","335.89","-","2673.89",""
"Nathan Dessaignes","K1H","339.91","-","2718.03",""
"Aurelien Dupreuilh","K1H","348.98","-","2817.63",""
"Caryck Bouladjat","K1H","Nt","-","-",""
"Damien Reynaud","K1H","Nt","-","-",""
"Florian Fargier","K1H","Nt","-","-",""
"Jean-philippe Rome","K1H","Nt","-","-",""
"Nicolas Le Provost","K1H","Nt","-","-",""
"Julien Lenaour","K1H","Nt","-","-",""
"Marc Brossard","K1H","Nt","-","-",""
"Jerome Dorizon","K1H","Nt","-","-",""
