"Championnat de France Slalom des Clubs - Parcours Canoë Kayak Epinal - Course individuelle | Qualification - 2016-10-08","Course individuelle | Qualification","2016-10-08","Championnats de France","262"
"Simon Dubosc-Quentin Angot","C2H","158.31","-","-",""
"Yann Becker-Vincent Idriss Achaoui","C2H","159.38","-","-",""
"Nicolas Dupres-Eric Beaumont","C2H","164.54","-","-",""
"Bastien Caillet-Jules Andrien","C2H","166.63","-","-",""
"Frederic Momot-Jean Philippe Winiarski","C2H","178.12","-","-",""
"Amaury Brucher-Jacques Nardeau","C2H","193.42","-","-",""
"Alexis Caspar-Jonathan Chapatte","C2H","232.4","-","-",""
"Simon Seuru-Samuel Flament","C2H","241.48","-","-",""
"Florentin Saumon-Zeph Scamps","C2H","247.57","-","-",""
"Charlotte Abba-Gauthier Klauss","C2M","117.54","-","-",""
"Matthieu Peche-Angelique Guilcher","C2M","117.69","-","-",""
"Simon Werro-Anna Wider","C2M","120.42","-","-",""
"Alexandre Mathis-Claire Jacquet","C2M","121.63","-","-",""
"Alice Azam-Melaine Pichard","C2M","126.21","-","-",""
"Tiphaine Drouin-Christophe Marechal","C2M","126.63","-","-",""
"Andrea Gratwohl-Lukas Werro","C2M","132.87","-","-",""
"Eva Dauvergne-Benoit Chantry","C2M","133.1","-","-",""
"Marc Biazizzo-Alexane Galmiche","C2M","133.18","-","-",""
"Yves Prigent-Agathe Chaumet","C2M","133.54","-","-",""
"Mathieu Desnos-Marjorie Delassus","C2M","134.02","-","-",""
"Marie Borlet-Baptiste Delaplace","C2M","135.32","-","-",""
"Henri Despont-Lea Riera","C2M","136.1","-","-",""
"Nicolas Labat-Justine Lorin","C2M","136.97","-","-",""
"Pauline Guiet-Johan Pucheou","C2M","137.01","-","-",""
"Alexis Collin-Alicia Gallot","C2M","137.5","-","-",""
"Tifenn Primet-Thomas Fougere","C2M","138.71","-","-",""
"Auregane Philip-Medhi Deguil","C2M","140.57","-","-",""
"Lisa Mouffle-Edgar Prigent","C2M","140.79","-","-",""
"Pauline Gentilhomme-Christophe Augu","C2M","142.43","-","-",""
"Sarah Despres-Jules Chaumet","C2M","143.15","-","-",""
"Lucie Bichet-Mathieu Fougere","C2M","148.44","-","-",""
"Celia Grandadam-Joris Schaffner","C2M","150.16","-","-",""
"Carla Texier-Martin Braud","C2M","153.18","-","-",""
"Catherine Doby-Emmanuel Walczak","C2M","153.55","-","-",""
"Amelie Perier-Damien Launay","C2M","154.04","-","-",""
"Romain Caillon-Maeva Conchon","C2M","154.26","-","-",""
"Johann Loiseau-Coline Bertin","C2M","154.77","-","-",""
"Cedric Forgit-NoÉmie Veaux","C2M","155.21","-","-",""
"Florence Marchal-Jacques Nardeau","C2M","157.63","-","-",""
"Laurine Grandadam-Simon Hene","C2M","164.45","-","-",""
"Marie Claude Lamoureux-Bertrand Avril","C2M","169.11","-","-",""
"Louison Tanet-Marjorie Boulogne","C2M","171.17","-","-",""
"Anthony Ulrich-Lolita Seguy","C2M","217.39","-","-",""
"Ilhame Siraj-Guillaume Picavet","C2M","220.71","-","-",""
"Justine Geffroy-David Hamon","C2M","223.6","-","-",""
"Julie Quesne-Simon Seuru","C2M","242.26","-","-",""
"Mathieu Villeger-Fanny Valeau","C2M","247.8","-","-",""
"Antonin Dreit-Jade Robin","C2M","266.16","-","-",""
"Rachel Broin-Samuel Bonvalet","C2M","300.62","-","-",""
"Tristan Lejot-Clementine Noel","C2M","329.8","-","-",""
"Clemence Douche-Nicolas Dupres","C2M","370.72","-","-",""
"Pauline Guiet","K1D","102.49","-","-",""
"Camille Prigent","K1D","106.89","-","-",""
"Solene Graille","K1D","111.64","-","-",""
"Joana Palermo","K1D","111.82","-","-",""
"Claire Gaigeot","K1D","113.05","-","-",""
"Claire Landrin","K1D","113.11","-","-",""
"Andrea Gratwohl","K1D","113.21","-","-",""
"Florianne Gautier","K1D","113.33","-","-",""
"Flora Huvelin","K1D","113.62","-","-",""
"Lea Wetzel","K1D","114.26","-","-",""
"Alice Azam","K1D","114.33","-","-",""
"Sarah Despres","K1D","115.96","-","-",""
"Anais Bernardy","K1D","118.26","-","-",""
"Elise Pierron","K1D","120.05","-","-",""
"Auregane Philip","K1D","120.13","-","-",""
"Laurine Naveau","K1D","120.27","-","-",""
"Emilie Chamouleau","K1D","120.59","-","-",""
"Manon Durand","K1D","121.03","-","-",""
"Camille Hurez","K1D","122.5","-","-",""
"Celia Jodar","K1D","124.02","-","-",""
"Alicia Gallot","K1D","124.12","-","-",""
"Axelle Armanini","K1D","124.21","-","-",""
"Lisa Robin","K1D","124.55","-","-",""
"Thais Francois","K1D","124.86","-","-",""
"Jade Robin","K1D","128.89","-","-",""
"Lolita Seguy","K1D","131.67","-","-",""
"Louise Bichet","K1D","131.77","-","-",""
"Marie Borlet","K1D","132.6","-","-",""
"Chloe Gatuingt","K1D","132.7","-","-",""
"Leontine Dubuisson","K1D","137.14","-","-",""
"Elisa Roy","K1D","140.1","-","-",""
"Florence Marchal","K1D","142.48","-","-",""
"Marie Charbonneau","K1D","142.64","-","-",""
"Cecile Meichel","K1D","145.68","-","-",""
"Maude Dominique","K1D","146.64","-","-",""
"Julie Quesne","K1D","147.81","-","-",""
"Kelly Capitaine","K1D","151.5","-","-",""
"Julia Budzinski","K1D","152.71","-","-",""
"Nelia Barbosa","K1D","159.99","-","-",""
"Amelie Perier","K1D","162.68","-","-",""
"Fanny Valeau","K1D","184.08","-","-",""
"Pauline Gentilhomme","K1D","191.51","-","-",""
"Catherine Doby","K1D","268.06","-","-",""
"Justine Geffroy","K1D","342.43","-","-",""
"Mathieu Biazizzo","K1H","92.19","-","-",""
"Benjamin Travostino","K1H","93.13","-","-",""
"Martin Daviet","K1H","93.15","-","-",""
"Thomas Bersinger","K1H","93.36","-","-",""
"James Duvernoy","K1H","93.61","-","-",""
"Ludovic Di Nisi","K1H","94.09","-","-",""
"Pierre Bourliaud","K1H","94.59","-","-",""
"Clement Travert","K1H","94.75","-","-",""
"Vivien Colober","K1H","94.89","-","-",""
"Yves Prigent","K1H","96.36","-","-",""
"Quentin Burgi","K1H","96.73","-","-",""
"Guillaume Graille","K1H","96.8","-","-",""
"Isaac Dufrene","K1H","96.95","-","-",""
"Mathis Soudi","K1H","97.07","-","-",""
"Janos Peterlin","K1H","97.09","-","-",""
"Charlie Barbier","K1H","97.34","-","-",""
"Bertrand Gutierrez","K1H","97.67","-","-",""
"Mathurin Madore","K1H","97.8","-","-",""
"Pierre Giudicelli","K1H","97.95","-","-",""
"Emmanuel Walczak","K1H","98.37","-","-",""
"Benjamin Buys","K1H","98.66","-","-",""
"Damien Launay","K1H","98.71","-","-",""
"Thomas Durand","K1H","99.43","-","-",""
"Manuel Munsch","K1H","99.65","-","-",""
"Hugo Regnier","K1H","100.83","-","-",""
"Simon Hene","K1H","101.85","-","-",""
"Julien Haberland","K1H","101.87","-","-",""
"Vincent Ablin","K1H","102.31","-","-",""
"Theo Desvignes","K1H","102.75","-","-",""
"Theo Quenouillere","K1H","102.87","-","-",""
"Thomas Rosset","K1H","103.27","-","-",""
"Robin Pilard","K1H","103.98","-","-",""
"Jean Philippe Winiarski","K1H","108.32","-","-",""
"Nicolas Mangeolle","K1H","108.52","-","-",""
"Robin Pottelette","K1H","108.78","-","-",""
"Nathanael Pedron","K1H","109.01","-","-",""
"Hugo Simon","K1H","109.54","-","-",""
"Simon Dubosc","K1H","110.88","-","-",""
"Jules Andrien","K1H","115.03","-","-",""
"Yann Becker","K1H","117.33","-","-",""
"Nicolas Candieu","K1H","117.66","-","-",""
"Ianis Fleury","K1H","118.89","-","-",""
"Bertrand Avril","K1H","133.55","-","-",""
"Mathieu Desnos","K1H","143.98","-","-",""
"Jeremias Schlaefli","K1H","147.02","-","-",""
