"Sélectif Régional - Montpellier - Course 1 | Finale - 2014-11-22","Course 1 | Finale","2014-11-22","Régional","166"
"Louis Foissac","K1H","127.26","496.11","598.52","Course 1 | Finale B"
"Robin Plancade","K1H","128.32","700.04","611.59","Course 1 | Finale B"
"Sebastien Dupuis","K1H","128.95","-","619.36","Course 1 | Finale B"
"Samuel De Severac","K1H","131.38","1107.78","649.31","Course 1 | Finale B"
"Ulysse Studer","K1H","131.9","646.57","655.73","Course 1 | Finale B"
"Thomas Bisetto","K1H","138.59","1247.45","738.2","Course 1 | Finale B"
"Eric Vuiet","K1H","139.42","-","748.44","Course 1 | Finale B"
"Vincent Chamois","K1H","139.76","1997.51","752.63","Course 1 | Finale B"
"Jeremy Barraut","K1H","141.97","-","779.87","Course 1 | Finale B"
"Valentin Pujos","K1H","157.68","-","973.55","Course 1 | Finale B"
"Guillaume Viguier","K1H","164.33","491.52","1055.54","Course 1 | Finale B"
"Laurent Guillermin","K1H","164.7","-","1060.1","Course 1 | Finale B"
"Gilles Lovera","K1H","172.46","518.8","1155.77","Course 1 | Finale B"
"Jeff Caron","K1H","175.41","399.69","1192.14","Course 1 | Finale B"
"Gauthier Fiorentino","K1H","190.1","-","1373.24","Course 1 | Finale B"
"Yves Meslet","K1H","250.57","-","2118.74","Course 1 | Finale B"
"Louis Pein","K1HM","116.37","457.32","464.26","Course 1 | Finale B"
"Thomas Courtois","K1HM","127.35","495.77","599.63","Course 1 | Finale B"
"Marceau Hugues","K1HM","127.66","1231.72","603.45","Course 1 | Finale B"
"Julian Guglielmo","K1HM","130.13","629.91","633.9","Course 1 | Finale B"
"Paul Lebrasseur","K1HM","130.88","-","643.15","Course 1 | Finale B"
"Samuel Taillefer","K1HM","135.9","-","-","Course 1 | Finale B"
"Felix Praderie","K1HM","136.68","-","-","Course 1 | Finale B"
"Antoine Lerat Pytlak","K1HM","137.37","-","723.16","Course 1 | Finale B"
"RomÉo Bex","K1HM","140.22","-","758.3","Course 1 | Finale B"
"Baptiste Bounekir","K1HM","140.42","984.81","760.76","Course 1 | Finale B"
"Fabien Zagni","K1HM","140.63","-","763.35","Course 1 | Finale B"
"Noah Dufenieux","K1HM","141.69","-","-","Course 1 | Finale B"
"Kian Pinzon","K1HM","222.51","-","-","Course 1 | Finale B"
