"Sélectif Championnat National 2 Slalom - Rivière Artificielle Orthez - Finale - 2017-05-21","Finale","2017-05-21","Nationale 2","118"
"Maxime Foucault","K1H","115.22","237.5","344.99","Finale A"
"Bryan Seiler","K1H","152.3","189.95","749.64","Finale A"
"Gael Adisson","K1H","171.42","229.79","958.29","Finale A"
"Doriane Delassus","C1D","146.9","238.38","428.53","Finale B"
"Mathieu Doby","C1H","114.19","-","279.41","Finale B"
"Faysal Ali Zazou","C1H","119.72","241.74","336.89","Finale B"
"Maxime Texier","C1H","123.47","300.21","375.86","Finale B"
"Frederic Boob","C1H","125.55","336.35","397.48","Finale B"
"Merwan Fliou","C1H","126.23","289.18","404.55","Finale B"
"Joris Santoro","C1H","129.5","364.8","438.53","Finale B"
"Theau Le Loch","C1H","137.53","334.79","521.99","Finale B"
"Christian Boob","C1H","142.32","392.06","571.77","Finale B"
"Addwyn Martinez","C1H","174.5","334.95","906.22","Finale B"
"Olivier Cain","C1H","Abs","-","-","Finale B"
"Chloe Crachet-Charline Berger Martin","C2D","231.78","528.35","1038.28","Finale B"
"Elena Hugues","K1D","123.45","210.18","284.82","Finale B"
"Eva Pietracha","K1D","125.32","225.42","302.88","Finale B"
"Clemence Lartigue","K1D","125.52","239.93","304.82","Finale B"
"Laurene Roisin","K1D","131.02","230.3","357.93","Finale B"
"Frederique Merle","K1D","134.26","271.6","389.22","Finale B"
"Lise Denat","K1D","137.76","268.94","423.02","Finale B"
"Oriane Guichet","K1D","140.89","320.18","453.24","Finale B"
"Elorri Erdois","K1D","145.7","270.41","499.7","Finale B"
"Chloe Crachet","K1D","148.33","344.02","525.09","Finale B"
"Marine Izac","K1D","158.92","354.91","627.36","Finale B"
"Carla Lacroix","K1D","227.28","299.15","1287.54","Finale B"
"Violaine Truche","K1D","Des","-","-","Finale B"
"Jeremie Palazy","K1H","104.93","228.5","237.7","Finale B"
"Cedric Jegouzo","K1H","105.31","193.86","241.85","Finale B"
"Samuel Bonella","K1H","106.57","207.88","255.6","Finale B"
"Dylan Sourbe","K1H","107.49","238.17","265.64","Finale B"
"Paul Pradalie","K1H","107.98","196.93","270.99","Finale B"
"Henri Bergognon","K1H","108.43","234.31","275.9","Finale B"
"Quentin Clerc","K1H","109.12","240.38","283.43","Finale B"
"Nathan Hossin","K1H","109.27","236.71","285.06","Finale B"
"Florian Gosselin","K1H","109.55","232.32","288.12","Finale B"
"Jeremy Wagner","K1H","109.79","276.21","290.74","Finale B"
"Jules Cresp","K1H","110.11","239.74","294.23","Finale B"
"Nicolas Labat","K1H","110.4","191.97","297.4","Finale B"
"Hugo Mouffle","K1H","110.58","231.65","299.36","Finale B"
"Olivier Cain","K1H","110.96","283.3","303.51","Finale B"
"Tom Bouchardon","K1H","110.98","254.89","303.72","Finale B"
"Alexis Dorey","K1H","111.37","255.15","307.98","Finale B"
"Clement Le Collinet","K1H","111.9","202.81","313.76","Finale B"
"Paul Commenges","K1H","111.9","275.59","313.76","Finale B"
"Quentin Chauvin","K1H","112.33","302.88","318.46","Finale B"
"Djendy Simeant","K1H","113.08","260.38","326.64","Finale B"
"Robin Vandenbossche","K1H","113.1","189.96","326.86","Finale B"
"Adrien Picco","K1H","114.07","252.5","337.45","Finale B"
"Martin Belliot","K1H","115.3","283.13","350.87","Finale B"
"Bertrand Bercon","K1H","115.6","234.26","354.14","Finale B"
"Pierre Campagne","K1H","116.8","271.76","367.24","Finale B"
"Gaetan Coat","K1H","117.09","327.4","370.4","Finale B"
"Flavien San Augustin","K1H","117.35","309.41","373.24","Finale B"
"Cedric Mace","K1H","121.71","278.58","420.82","Finale B"
