"CompÈtition RÈgionale de Slalom - Saint-pierre De Boeuf - Course n∞1 | Qualification - 2015-10-10","Course n∞1 | Qualification","2015-10-10","RÈgional","369"
"Maxime Kabir","C1HM","136.79","758.73","520.91",""
"Adrien Fischer","C1HM","140.64","560.33","563.07",""
"Gabin Siau","C1HM","147.85","-","-",""
"Arthur Viallard","C1HM","158.6","-","759.72",""
"Antonin Dustou","C1HM","168.3","-","865.92",""
"Enki Georgel","C1HM","220.85","-","-",""
"Vincent Sophian","C1HM","Abd","-","-",""
"Coralie Yebenes-Marion Delorme","C2D","158.1","529.98","421.34",""
"Elise Escourrou-Julie Labarelle","C2D","228.91","-","1047.55",""
"Marie Juquelier-Lea Ferraris","C2DM","183.29","853.33","644.11",""
"Frank Adisson-Sandra Forgues","C2H","111.23","155.18","185.69",""
"Stephane Abadie-Sebastien De Kerleau","C2H","112.97","346.02","203.88",""
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","118.85","274.08","265.33",""
"Nicolas Detheve-Nil Georgel","C2H","124.74","-","326.89",""
"Olivier Barriere-Davy Egraz","C2H","132.48","-","407.78",""
"Gauthier Gonseth-Guillaume Gonseth","C2H","135.82","358.52","442.7",""
"Maxence Merpillat-Raphael Lassechere","C2H","140.07","436.61","487.11",""
"Mathieu Lions-Cyril Audoit","C2H","144.22","589.48","530.49",""
"Eric Archambault-Loic Burlet","C2H","154.82","-","641.27",""
"Teo Bouvier-Hugo Martin -laemle","C2H","160.07","694.26","696.14",""
"Emeric Vibert-Valentin Vibert","C2H","185.85","386.46","965.58",""
"Erwan Degreve-Kilian Godart","C2H","193.25","-","1042.92",""
"Yechan Oh-Beomsoo Kim","C2H","230.44","-","1431.61",""
"Pierre Courtois-Enzo Briffa","C2H","Abd","-","-",""
"Tom Mazouat-Enzo Mazouat","C2H","Abd","-","-",""
"Enki Georgel-Loœc Winiarski","C2HM","290.62","-","-",""
"Benjamin Jacon-Lucie Prioux","C2M","124.74","-","218.25",""
"Julie Labarelle-Pierre Labarelle","C2M","128.07","-","250.15",""
"Boris Chenal-Laurine Naveau","C2M","132.96","319.19","297",""
"Laure Castel-Alexandre Lismonde","C2M","133.82","-","305.25",""
"Davy Egraz-Fanny Mino-vercellio","C2M","135.88","450.25","324.97",""
"Tiphanie Borlet-Matthieu Le Gall","C2M","Abd","-","-",""
"Jean Baptiste Lismonde-Patricia Raspaut","C2M","Abd","-","-",""
"Lea Wetzel","K1D","106.39","136.04","105.59",""
"Julie Neime","K1D","106.52","130.56","106.91",""
"Emeline Oudet","K1D","110.36","141.56","145.98",""
"Marjorie Delassus","K1D","110.78","158.63","150.25",""
"Anneline Triomphe","K1D","110.84","135.25","150.86",""
"Natacha Delassus","K1D","112.57","153.15","168.47",""
"Caroline Bourry","K1D","113.2","127.48","174.88",""
"Jihane Samlal","K1D","113.62","180.02","179.15",""
"Viviana Daille","K1D","114.36","217.65","186.68",""
"Lucie Prioux","K1D","114.99","90.3","193.09",""
"Nelly Tornare","K1D","115.22","218.87","195.43",""
"Julie Labarelle","K1D","118.04","151.67","224.11",""
"Charlotte Issagarre","K1D","118.05","340.89","224.22",""
"Marie Borlet","K1D","122.03","-","264.71",""
"Hind Jamili","K1D","122.25","219.27","266.95",""
"Coralie Yebenes","K1D","122.25","392.71","266.95",""
"Marion Delorme","K1D","122.46","282.09","269.09",""
"Raphaelle Hovine","K1D","123.07","280.83","275.3",""
"Carine Chapuis","K1D","123.15","297.39","276.1",""
"Marie-amelie Jullien","K1D","123.3","294.1","277.63",""
"Sabine Kleinhenz","K1D","124.04","309.16","285.16",""
"Manon Prioux","K1D","124.5","-","289.84",""
"Fanny Mino-vercellio","K1D","125.33","290.39","298.29",""
"Zoe Bruchon","K1D","128.59","328.31","331.45",""
"Louise Bichet","K1D","129.98","248.58","345.6",""
"Tiphanie Borlet","K1D","130.05","434.62","346.3",""
"Elise Escourrou","K1D","132.11","-","367.27",""
"Coline Charel","K1D","134.74","436.28","394.02",""
"Estelle Friconneau","K1D","134.76","-","394.23",""
"Amelie Perier","K1D","134.83","368.51","394.94",""
"Julie Fauroux","K1D","135.36","335.7","400.33",""
"Emilie Armani","K1D","136.09","564.51","407.76",""
"Lucie Adisson","K1D","136.23","385.81","409.19",""
"Tifenn Primet","K1D","138.95","423.49","436.86",""
"Aurelie Le Fee","K1D","142.62","1027.59","474.19",""
"Carla Cerrutti - Bozzola","K1D","147.49","427.93","523.74",""
"Laure Castel","K1D","148.37","-","532.69",""
"Annie Ughetto","K1D","149.81","-","547.34",""
"Meryl Steinmann","K1D","150.34","357.12","552.73",""
"Juliette Ribault","K1D","155.24","594.28","602.59",""
"Annaelle Meheut","K1D","158.74","166.51","638.2",""
"Angele Hug","K1D","165.7","264.29","709",""
"Chloe Faverjon","K1D","185.08","861.56","906.18",""
"Juliette Rousset","K1D","190.28","524.95","959.08",""
"Lorene Scalbert","K1D","192.69","430.79","983.6",""
"Christelle Channac","K1D","196.11","501.29","1018.4",""
"Emma Miton","K1D","199.96","-","1057.57",""
"Barbara Lassechere","K1D","234.37","409.45","1407.65",""
"Sarah Monod","K1D","252.77","486.09","1594.85",""
"Marine Brenet","K1D","279.18","-","1863.54",""
"Lison Soullier","K1D","351.36","-","2597.89",""
"Amandine Cr…gut","K1D","Abd","-","-",""
"Margot Blanc","K1D","Abd","-","-",""
"Elise Carbon","K1D","Abd","-","-",""
"Eva Pietracha","K1DM","124.76","342.81","292.48",""
"Elena Hugues","K1DM","124.88","374.67","293.7",""
"Laurene Roisin","K1DM","131.36","331.52","359.64",""
"Marion Pasquali","K1DM","133.91","1161.66","385.57",""
"Lea Ferraris","K1DM","136.76","472.03","414.58",""
"Solen Friconneau","K1DM","137.44","-","-",""
"Louane Chenal","K1DM","138.86","506.99","435.94",""
"Solene Grenier","K1DM","146.74","-","-",""
"Marie Juquelier","K1DM","164.11","453.25","692.83",""
"Marie Hilger","K1DM","194.81","563.29","1005.17",""
"Victoire Guerin","K1DM","201.63","-","1074.56",""
"Elke Saragas","K1DM","222.43","4258.84","1286.18",""
"Carla Voineau","K1DM","305.01","-","2126.33",""
"Clara Jannic","K1DM","Abd","-","-",""
"Lea Hubert","K1DM","Abd","-","-",""
"Camille Berson","K1DM","Abd","-","-",""
"Benjamin Travostino","K1H","92.46","55.13","86.16",""
"Kevin Schultz","K1H","93.46","74.81","97.65",""
"Martin Daviet","K1H","94.63","64.54","111.1",""
"Nicolas Abbal","K1H","95.89","66.78","125.59",""
"Renaud Doby","K1H","96.36","39.19","130.99",""
"Thomas Durand","K1H","98.34","134.63","153.76",""
"Romain Faurie","K1H","98.85","93.09","159.62",""
"Christophe Augu","K1H","99.37","148.81","165.6",""
"Titouan Dupras","K1H","99.47","126.2","166.75",""
"Paul Cornut-chauvinc","K1H","99.5","127.45","167.09",""
"Maxime Bottex","K1H","100.06","89.24","173.53",""
"Nicolas Caussanel","K1H","100.28","145.86","176.06",""
"Benjamin Jacon","K1H","100.54","113.46","179.05",""
"Leo Fournier","K1H","100.85","190.59","182.61",""
"Louis Masson","K1H","100.95","185.92","183.76",""
"Boris Chenal","K1H","100.98","68.19","184.11",""
"Antoine Gaillard","K1H","101.92","163.41","194.91",""
"Sebastien Nouvel","K1H","102.82","145.95","205.26",""
"Minhyeong Song","K1H","103.08","-","208.25",""
"Antoine Roux","K1H","103.23","130.06","209.97",""
"Bertrand Bercon","K1H","103.44","249.48","212.39",""
"Alexandre Lismonde","K1H","103.64","242.8","214.69",""
"Sebastien De Kerleau","K1H","103.93","206.95","218.02",""
"Matthieu Le Gall","K1H","103.94","165.78","218.14",""
"Davy Egraz","K1H","104","183.12","218.83",""
"Gregoire Guerin","K1H","104.02","168.82","219.06",""
"Lilian Querry","K1H","104.51","279.37","224.69",""
"Adrien Maire","K1H","104.61","158.57","225.84",""
"Vincent Gerdeaux","K1H","105.09","279.48","231.36",""
"Yann Zaepffel","K1H","105.71","268.7","238.49",""
"William Desnos","K1H","105.71","85.44","238.49",""
"Jules Bernardet","K1H","105.95","293.93","241.24",""
"Samuel Bonella","K1H","105.95","273.54","241.24",""
"Pierre Grapotte","K1H","106.2","315.59","244.12",""
"Alexandre Bordas","K1H","106.31","338.81","245.38",""
"Florent Iraundegui","K1H","106.52","245.32","247.8",""
"Pierre Labarelle","K1H","106.85","-","251.59",""
"Kawan Thomas","K1H","107.15","307","255.04",""
"Luc Doye","K1H","107.33","218.17","257.11",""
"Erwan Cadio","K1H","107.33","227.15","257.11",""
"Victor Paulais","K1H","107.52","486.79","259.29",""
"Maxime Gaillard","K1H","108.04","301.98","265.27",""
"Cedric Mace","K1H","108.19","-","267",""
"Corentin Douady","K1H","108.31","195.54","268.38",""
"Sebastien Lepaulard","K1H","108.44","275.29","269.87",""
"Thibaud Lacour","K1H","108.45","-","269.99",""
"Baptiste Granger","K1H","108.77","285.49","273.67",""
"Jules Silvin","K1H","109.39","311.56","280.79",""
"Nizar Samlal","K1H","109.44","-","281.37",""
"Jean Philippe Roche","K1H","109.63","317.24","283.55",""
"Mathieu Monier","K1H","109.76","199.37","285.05",""
"Julien Coudert","K1H","109.79","-","285.39",""
"Antoine Dubost","K1H","110.05","-","288.38",""
"Emeric Bussonnais","K1H","110.1","291.61","288.96",""
"Maxime Le Morvan","K1H","110.12","-","289.19",""
"Stephane Boulanger","K1H","110.22","-","290.33",""
"Nicolas Detheve","K1H","110.25","-","290.68",""
"Alexandre Marin","K1H","110.27","280.73","290.91",""
"Quentin Robin","K1H","110.32","421.18","291.48",""
"Jeremy Wagner","K1H","110.38","-","292.17",""
"Thomas Thieblemont","K1H","110.65","312.94","295.28",""
"Teo Bouvier","K1H","111.42","376.03","304.13",""
"Jules Cresp","K1H","111.55","308.59","305.63",""
"Jae Hyeong Bak","K1H","111.59","-","306.09",""
"Tom Benini","K1H","111.67","413.16","307",""
"Emeric Vibert","K1H","111.92","271.33","309.88",""
"Raphael Lassechere","K1H","112","252.01","310.8",""
"Julien Signarbieux","K1H","112.02","311.09","311.03",""
"Hafiz Ali Hassan","K1H","112.2","-","313.1",""
"Raphael Ricci Miege","K1H","112.3","357.81","314.25",""
"Olivier Hardonniere","K1H","112.49","329.22","316.43",""
"Loic Joly","K1H","112.61","310.91","317.81",""
"Valentin Vibert","K1H","113.17","257.28","324.25",""
"Raphael Olla","K1H","113.38","359.48","326.66",""
"Flavien San Augustin","K1H","113.39","270.27","326.78",""
"Mathieu Lions","K1H","113.47","339.11","327.7",""
"Lucas Barriere","K1H","113.77","431.47","331.15",""
"Maxence Merpillat","K1H","114.55","332.8","340.11",""
"Lucien Goulet","K1H","114.61","461.58","340.8",""
"Julien Beltrami","K1H","114.94","-","344.6",""
"Jeonghyeon Lee","K1H","114.99","-","345.17",""
"Matteo Licoine","K1H","115.12","392.58","346.67",""
"Axel Kournwsky","K1H","115.21","264.41","347.7",""
"Pierrealain Clerc","K1H","115.32","328.1","348.97",""
"Bertrand Dubiez","K1H","115.53","-","351.38",""
"Thomas Denais","K1H","115.71","304.36","353.45",""
"Pascal Hunault","K1H","115.85","324.65","355.06",""
"Florent Cossou","K1H","116.54","-","362.99",""
"Olivier Barriere","K1H","116.91","339.59","367.25",""
"Xavier Rat","K1H","117.19","396.27","370.47",""
"Paul Gaillard","K1H","117.2","434.57","370.58",""
"Xavier Le Gallic","K1H","117.51","-","374.14",""
"Emmanuel Triomphe","K1H","117.63","335.92","375.52",""
"Jeremie Devillers","K1H","118.1","392.85","380.93",""
"Stephane Abadie","K1H","118.54","-","385.99",""
"Benjamin Dodane","K1H","118.59","345.58","386.56",""
"Gauthier Vanden  Abeele","K1H","118.68","360.96","387.6",""
"Victorien Lombard","K1H","119.02","402.01","391.5",""
"Cyril Audoit","K1H","119.11","370.11","392.54",""
"Fabien Leist","K1H","119.4","367.32","395.87",""
"Hugo Martin -laemle","K1H","120.72","510.41","411.05",""
"Quentin Sablayrolles","K1H","120.82","282.85","412.2",""
"Pierre Louis Debuigne","K1H","121.27","654.42","417.37",""
"Antonin Barraud","K1H","121.47","300.14","419.67",""
"Alexis Mercoirol","K1H","122.79","470.06","434.85",""
"Flavien Portier","K1H","123.81","519.6","446.57",""
"Louis Burignat","K1H","124.14","373.37","450.37",""
"Thomas Courtois","K1H","124.55","451.37","455.08",""
"Nayl Tazi-sidqui","K1H","124.62","399.37","455.88",""
"Jules Azelie","K1H","124.81","-","458.07",""
"Marc Le Morvan","K1H","126.84","-","481.41",""
"Valentin Bonnot","K1H","127.75","597.86","491.87",""
"Hugo Polard","K1H","128.47","487.23","500.15",""
"Adrien Jacquemet","K1H","130.74","541.12","526.24",""
"Erwan Degreve","K1H","131.67","536.6","536.94",""
"Philippe Bigard","K1H","132.94","692.46","551.54",""
"Lucas Maurin","K1H","133.44","538.33","557.28",""
"Nathan Pavot","K1H","134.48","470.75","569.24",""
"Arthur Lagleyze","K1H","135.95","472.29","586.14",""
"Yves Masson","K1H","137.13","-","599.71",""
"Enzo Mazouat","K1H","137.17","691.23","600.17",""
"Pierre Courtois","K1H","138.07","537.8","610.51",""
"Oscar Lombardot","K1H","139.21","666.99","623.62",""
"Loic Bouvier","K1H","140","591.14","632.7",""
"Dominique Polard","K1H","140.54","551.24","638.91",""
"Seraphin Margot","K1H","142.81","554.05","665.01",""
"Francois Lecuit","K1H","144.47","569.31","684.09",""
"Alexei Evlachev","K1H","145.86","935","700.07",""
"Yann Leruste","K1H","146.57","602.3","708.23",""
"Olivier Mercier","K1H","146.89","580.44","711.91",""
"Fabien Bezut","K1H","148.29","2004.5","728.01",""
"Arthur Tebib","K1H","148.66","716.6","732.26",""
"Gilles Lovera","K1H","151.6","432.02","766.06",""
"Enzo Briffa","K1H","153.59","612.66","788.94",""
"Djimy Kar","K1H","153.9","373.22","792.5",""
"Benjamin Gonthier","K1H","156.5","993.67","822.39",""
"Benjamin Harreau","K1H","161.48","340.52","879.65",""
"Jerome Burignat","K1H","164.59","619.57","915.4",""
"Thomas Galbrun","K1H","164.66","-","916.21",""
"Boris Rostaing","K1H","166.84","346.48","941.27",""
"Kilian Godart","K1H","169.09","-","967.14",""
"Francis Gaillard","K1H","169.11","436.16","967.37",""
"Sebastien Routhier","K1H","172.36","337.54","1004.73",""
"Tom Mazouat","K1H","176.14","695.55","1048.19",""
"Paul Badache","K1H","177.85","579.85","1067.85",""
"Kilian Hervault","K1H","188.4","-","1189.13",""
"Yanis Delacour","K1H","189.54","467.15","1202.24",""
"Hugo Nerisson","K1H","190.93","782.77","1218.22",""
"Marc Jungling","K1H","194.25","-","1256.39",""
"Remy Beal","K1H","194.31","2154.32","1257.08",""
"Yasin Gulay","K1H","208.22","-","1416.99",""
"Holger Neupert","K1H","234.18","-","1715.44",""
"Hughes Faivre D'arcier","K1H","237.73","-","1756.26",""
"Pascal Genereux","K1H","239.14","-","1772.47",""
"Charles Coulon","K1H","265.75","-","2078.39",""
"Hugo Avril","K1H","Abs","-","-",""
"Yann Tabone","K1H","Abs","-","-",""
"Anton Gille","K1H","Abd","-","-",""
"Alexandre Florent","K1H","Abs","-","-",""
"Corentin Sabaut","K1H","Abd","-","-",""
"Maxence Marin","K1H","Abs","-","-",""
"Louis Scalbert","K1H","Abd","-","-",""
"Gael Adisson","K1HM","111.33","388.58","303.1",""
"Henri Bergognon","K1HM","111.67","-","307",""
"Florian Sauvage","K1HM","113","-","322.3",""
"Lucas Augu","K1HM","114.97","-","-",""
"Adrien Fischer","K1HM","116.61","443.02","363.8",""
"Lucas Dominguez","K1HM","117.48","-","-",""
"Etienne Wiche","K1HM","120.59","-","-",""
"Djendy Simeant","K1HM","123.88","-","-",""
"Armand Lombardot","K1HM","125.1","-","461.4",""
"Maxime Melmont","K1HM","127.73","750.58","491.64",""
"Guillaume Belet","K1HM","128.12","-","-",""
"Nino Chailan","K1HM","136.34","-","590.62",""
"Batiste Ansaldi","K1HM","136.73","-","-",""
"Tino Forgues","K1HM","137.62","618.01","605.34",""
"Yazid Koraichi","K1HM","137.87","-","-",""
"Zacharie Trinquet","K1HM","138.34","962.02","613.62",""
"Yanis Clerc","K1HM","138.39","-","614.19",""
"Thijs Duvillard","K1HM","138.78","-","618.68",""
"Alexandre Goujon","K1HM","139.48","754.36","626.72",""
"Raphael Massot","K1HM","141.67","-","-",""
"Sander Duvillard","K1HM","151.62","-","766.29",""
"Arthur Viallard","K1HM","155.56","-","811.59",""
"Kilian Cottet","K1HM","162.74","-","-",""
"Aymeric Fumex","K1HM","164.49","-","-",""
"Charles Culine","K1HM","166.31","-","935.18",""
"Antonin Dustou","K1HM","168.67","1941.19","962.31",""
"Loœc Winiarski","K1HM","182.49","-","-",""
"Ronan Emery","K1HM","194.62","-","1260.64",""
"Erwann Buthod","K1HM","199.71","-","-",""
"Simon Louchard","K1HM","214.83","-","1492.99",""
"Julien Lambert","K1HM","223.92","-","-",""
"Valentin Capel","K1HM","308.72","-","2572.4",""
"Yanniss Aghanine","K1HM","477.87","-","4517.03",""
"Aloœs Cretier","K1HM","Abd","-","-",""
"Florent Vallier","K1HM","Abd","-","-",""
