"Manche 3 de la Coupe de France Nationale 1 Slalom - Cergy - Finale - 2018-03-31","Finale","2018-03-31","Nationale 1","180"
"Lea Wetzel","K1D","135.33","108.47","314.24","Finale A"
"Lucie Baudu","K1D","152.04","45.89","457.69","Finale A"
"Joana Palermo","K1D","165.65","89.72","574.52","Finale A"
"Boris Neveu","K1H","90.24","21.39","27.86","Finale A"
"Pierre Bourliaud","K1H","92.8","54.73","52.7","Finale A"
"Mathieu Biazizzo","K1H","92.85","29.92","53.18","Finale A"
"Lukas Werro","K1H","93.41","82.42","58.61","Finale A"
"Yves Prigent","K1H","94.38","33.32","68.02","Finale A"
"Quentin Burgi","K1H","95.07","41.73","74.72","Finale A"
"Pol Oulhen","K1H","96.25","60.39","86.16","Finale A"
"Charlie Barbier","K1H","98.95","68.64","112.36","Finale A"
"Anatole Delassus","K1H","104.14","61.03","162.7","Finale A"
"Mathieu Desnos","K1H","152.36","32.48","630.47","Finale A"
"Angele Hug","C1D","130.82","180.98","215.01","Finale B"
"Laurene Roisin","C1D","135.17","231.77","250.18","Finale B"
"Julia Budzinski","C1D","141.84","197.95","304.09","Finale B"
"Tifenn Primet","C1D","144.63","258.16","326.65","Finale B"
"Azenor Philip","C1D","146.26","181.34","339.82","Finale B"
"Charlotte Abba","C1D","154.27","192.77","404.57","Finale B"
"Charline Berger Martin","C1D","164.24","272.42","485.18","Finale B"
"Doriane Delassus","C1D","184.95","234.24","652.59","Finale B"
"Elena Hugues","C1D","290.87","247.11","1508.84","Finale B"
"Martin Thomas","C1H","98.77","66.97","69.98","Finale B"
"Nicolas Gestin","C1H","100.05","100.21","81.81","Finale B"
"Liam Jegou","C1H","101.46","190.7","94.84","Finale B"
"Antoine Gaillard","C1H","101.86","115.85","98.53","Finale B"
"Theo Roisin","C1H","101.93","112.93","99.18","Finale B"
"Edern Le Ruyet","C1H","102.17","73.4","101.4","Finale B"
"Nicolas Peschier","C1H","103.42","62.98","112.94","Finale B"
"Cedric Joly","C1H","103.63","90.74","114.88","Finale B"
"Valentin Marteil","C1H","104.3","124.32","121.07","Finale B"
"Baptiste Delaplace","C1H","104.53","88.57","123.2","Finale B"
"Jean Pierre Bourhis","C1H","105.34","122.14","130.68","Finale B"
"Yohann Senechault","C1H","105.97","169.25","136.5","Finale B"
"Tom Maffeis","C1H","106.88","130.75","144.91","Finale B"
"Charly Chassigneux","C1H","106.99","176.2","145.92","Finale B"
"Nathan Hossin","C1H","107.65","155.19","152.03","Finale B"
"Hugo Latimier","C1H","107.88","169.79","154.15","Finale B"
"Sebastien De Kerleau","C1H","108.16","96.66","156.74","Finale B"
"Yann Rivallant","C1H","108.55","160.62","160.34","Finale B"
"Nicolas Scianimanico","C1H","108.78","137.78","162.46","Finale B"
"Emilien Kempf","C1H","108.94","102.9","163.94","Finale B"
"Baptiste Le Poncin","C1H","109.88","141.06","172.63","Finale B"
"Jules Bernardet","C1H","111.86","135.76","190.92","Finale B"
"Corentin Oulhen","C1H","111.99","107.27","192.12","Finale B"
"Jerome Blanchet","C1H","114.06","150.45","211.25","Finale B"
"Jean Freri","C1H","114.1","205.61","211.62","Finale B"
"Julien Pajaud","C1H","114.9","189.97","219.01","Finale B"
"Gireg Hamoniaux","C1H","115.01","159.87","220.02","Finale B"
"Erwan Marchais","C1H","115.83","107.81","227.59","Finale B"
"Nicolas Ducrocq","C1H","115.88","159.07","228.06","Finale B"
"Galaad Pereyron","C1H","117.62","186.15","244.13","Finale B"
"Anthony Roux","C1H","118.42","171.05","251.53","Finale B"
"Luc Sarramea","C1H","118.53","169.84","252.54","Finale B"
"Hector Combes","C1H","120.05","163.54","266.58","Finale B"
"Thomas Rosset","C1H","124.16","153.24","304.56","Finale B"
"Eloi Seemann-Quentin Mannier","C2H","142.52","310.07","414.33","Finale B"
"Nicolas Detheve-Nil Georgel","C2H","143.12","326.63","419.62","Finale B"
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","150.13","309.25","481.44","Finale B"
"Benjamin Reig-Cyril Boulet","C2H","156.91","307.89","541.23","Finale B"
"Jean Charles Hacquart-Marvin Tulpin","C2H","166.33","330.97","624.3","Finale B"
"Jerome Blanchet-Anthony Roux","C2H","230.8","278.59","1192.85","Finale B"
"Thibaud Vielliard-Tiphaine Duboc","C2M","152.18","286.7","387.68","Finale B"
"Thibault Blaise-Julia Budzinski","C2M","155.09","294.97","411.21","Finale B"
"Silvere Desongins-Angelique Guilcher","C2M","304.34","355.77","1617.73","Finale B"
"Julie Neime","K1D","110.13","70.83","102.9","Finale B"
"Fanchon Janssen","K1D","111.63","114.01","115.78","Finale B"
"Natacha Delassus","K1D","114.51","94.09","140.5","Finale B"
"Berenice Kolenc","K1D","115.91","79.62","152.52","Finale B"
"Lucie Prioux","K1D","116.34","107.18","156.22","Finale B"
"Emma Vuitton","K1D","116.79","152.22","160.08","Finale B"
"Angele Hug","K1D","116.82","103.65","160.34","Finale B"
"Claire Jacquet","K1D","117","186.41","161.88","Finale B"
"Alixe Degremont","K1D","117.01","132.95","161.97","Finale B"
"Anais Bernardy","K1D","117.27","149.33","164.2","Finale B"
"Viviana Daille","K1D","117.39","150.56","165.23","Finale B"
"Eva Pietracha","K1D","120.8","186.44","194.5","Finale B"
"Marine Leveque","K1D","122.43","154.88","208.49","Finale B"
"Cecile Tixier","K1D","124.59","180.47","227.04","Finale B"
"Tiphaine Duboc","K1D","127.37","151.21","250.9","Finale B"
"Emeline Oudet","K1D","127.95","132.01","255.88","Finale B"
"Charline Berger Martin","K1D","134.43","185.94","311.51","Finale B"
"Agathe Chaumet","K1D","139.04","158.67","351.08","Finale B"
"Solene Graille","K1D","169.08","95.15","608.97","Finale B"
"Lisa Mouffle","K1D","172.59","124.29","639.11","Finale B"
"Doriane Delassus","K1D","Des","-","-","Finale B"
"Malo Quemeneur","K1H","92.52","48.56","54.98","Finale B"
"Guillaume Graille","K1H","93.5","57.56","64.49","Finale B"
"Thomas Durand","K1H","94.2","67.39","71.28","Finale B"
"Antoine Launay","K1H","94.45","68.47","73.7","Finale B"
"Benjamin Renia","K1H","94.56","40.7","74.77","Finale B"
"Alan Dollo","K1H","95.05","87.21","79.52","Finale B"
"Gurgen Brun","K1H","95.19","77.63","80.88","Finale B"
"Pierre Giudicelli","K1H","96.15","77.32","90.19","Finale B"
"Mathis Soudi","K1H","96.3","93.03","91.65","Finale B"
"Thomas Bersinger","K1H","96.53","44.77","93.88","Finale B"
"Manuel Munsch","K1H","96.83","78.54","96.79","Finale B"
"Kendaor Le Huitou","K1H","97.17","93.89","100.09","Finale B"
"Sami Rocher","K1H","97.42","80.53","102.51","Finale B"
"Benjamin Travostino","K1H","97.51","42.47","103.39","Finale B"
"Thomas Schmitt","K1H","97.75","71.55","105.71","Finale B"
"Ludovic Di Nisi","K1H","97.76","67.92","105.81","Finale B"
"Lucas Latimier","K1H","98.35","81.45","111.54","Finale B"
"Vincent Delahaye","K1H","99","89.95","117.84","Finale B"
"Julien Pajaud","K1H","99.03","76.68","118.13","Finale B"
"Thibault Marchand","K1H","99.51","85.58","122.79","Finale B"
"Quentin Bove","K1H","99.69","95.03","124.53","Finale B"
"Pierre Marie Roussel","K1H","99.9","146.12","126.57","Finale B"
"Aaron Penning","K1H","100.3","97.9","130.45","Finale B"
"Benjamin Jacon","K1H","100.56","57.54","132.97","Finale B"
"Hugo Regnier","K1H","100.67","109.33","134.04","Finale B"
"Titouan Dupras","K1H","101.21","76.71","139.28","Finale B"
"Thomas Rosset","K1H","101.62","88.54","143.26","Finale B"
"Pierre Grapotte","K1H","102.29","121.06","149.76","Finale B"
"Edgar Prigent","K1H","102.73","70.38","154.02","Finale B"
"Florian Busson","K1H","103.02","125.39","156.84","Finale B"
"Loic Bertoia","K1H","103.22","79.45","158.78","Finale B"
"Robin Pottelette","K1H","103.26","115.76","159.17","Finale B"
"Yanis Rainaud","K1H","103.38","136.34","160.33","Finale B"
"Enrick Cunsolo","K1H","103.72","76.49","163.63","Finale B"
"Simon Hene","K1H","104.18","99.71","168.09","Finale B"
"Isaac Dufrene","K1H","104.46","93.48","170.81","Finale B"
"Pol Euzenes","K1H","104.64","163.59","172.55","Finale B"
"Theo Foucher","K1H","104.75","109.73","173.62","Finale B"
"Mathys Huvelin","K1H","105.08","121.34","176.82","Finale B"
"Nicolas Abbal","K1H","106.75","81.19","193.02","Finale B"
"Gregoire Guerin","K1H","106.84","130.71","193.89","Finale B"
"Hugo Crepeau","K1H","107.06","103.19","196.03","Finale B"
"Pierre Hellard","K1H","108.42","161.78","209.22","Finale B"
"Mathieu Monier","K1H","109","142.4","214.85","Finale B"
"Maxime Bottex","K1H","109.26","92.19","217.37","Finale B"
"Matheo Lebaindre","K1H","116.67","144.13","289.25","Finale B"
"Clement Travert","K1H","146.31","80.27","576.78","Finale B"
"Paul Cornut-chauvinc","K1H","147.92","92.97","592.4","Finale B"
"Theo Desvignes","K1H","148.49","107.07","597.93","Finale B"
"Hugo Cailhol","K1H","149.49","107.05","607.63","Finale B"
"Renaud Doby","K1H","152.34","98.7","635.27","Finale B"
"Louison Turmeau","K1H","152.69","91.59","638.67","Finale B"
"Nicolas Baudoin","K1H","154.71","81.09","658.26","Finale B"
"Martin Daviet","K1H","154.86","69.15","659.72","Finale B"
"Benoit Guillaume","K1H","168.66","49.44","793.59","Finale B"
"Tom Scianimanico","K1H","199.36","65.6","1091.4","Finale B"
"Martin Dougoud","K1H","210.13","31.52","1195.88","Finale B"
"William Desnos","K1H","210.93","102.59","1203.64","Finale B"
