"Championnat Régional - Bassin de la Nacelle - Corbeil Essonnes - 2011-06-19","Course 1","2011-06-19","Régional","144"
"Catherine Boulan-Xavier Jourdain","C2M","133.07","282.39","309.18",""
"Agnes Gigan-Thibault Dhennin","C2M","160.99","-","616.21",""
"Berangere Baudart","K1D","112.41","172.09","136.69",""
"Emilie Hernandez-brossard","K1D","112.48","115.99","137.49",""
"Marion Gallois","K1D","114.75","170.53","163.56",""
"Emeline Oudet","K1D","116.47","217.43","183.31",""
"Fiora Bourges","K1D","117.14","215.42","191.01",""
"Celia Jodar","K1D","119.48","241.2","217.88",""
"Claire Gaigeot","K1D","119.7","194.08","220.4",""
"Lea Gaigeot","K1D","120.45","199.48","229.01",""
"Justine Traversa","K1D","122.6","313.47","253.71",""
"Lea Feuillard","K1D","123.22","253.3","260.82",""
"Sophie Machiels","K1D","125.33","285","285.06",""
"Clara Dos Santos","K1D","130.32","210.71","342.35",""
"Dora Le Borgne","K1D","132.86","448.27","371.52",""
"Claire Souchaire","K1D","133.5","374.98","378.87",""
"Claire Chantry","K1D","134.31","471.08","388.16",""
"Elise Rousseau","K1D","135.82","388.21","405.51",""
"Catherine Boulan","K1D","143.44","532.93","493.01",""
"Maryse Viseur","K1D","146.27","492.26","525.5",""
"Agnes Gigan","K1D","197.12","-","1109.43",""
"Sylvie Bourdon","K1D","289.74","-","2173.01",""
"Oswald Besch","K1H","92.59","14.76","47.31",""
"Ronan Lucas","K1H","93.23","23.55","55.61",""
"Emmanuel Walczak","K1H","94.41","11.42","70.92",""
"Jeremy Cremonesi","K1H","95.21","19.58","81.31",""
"Louis Philippe Rigal","K1H","95.54","59.02","85.59",""
"Samuel Lhegu","K1H","97.02","61.55","104.79",""
"Loic Monbel","K1H","97.75","100.9","114.26",""
"Benoit Chantry","K1H","97.93","78.22","116.6",""
"Xavier Jourdain","K1H","98.08","70.73","118.55",""
"Pierre Bontoux","K1H","98.52","61.88","124.26",""
"Arnaud Gallois","K1H","99.51","150.54","137.1",""
"Boris Sacre","K1H","100.18","72.84","145.8",""
"Nicolas Feuillard","K1H","100.31","101.37","147.48",""
"Valentin Casse","K1H","100.65","158.7","151.9",""
"Vincent Ablin","K1H","100.99","158.92","156.31",""
"Tristan Lejot","K1H","103.1","159.57","183.69",""
"Philippe Daumont","K1H","103.94","142.2","194.59",""
"Louison Tanet","K1H","104.21","154.93","198.09",""
"Romain Bertrand","K1H","105.05","174.37","208.99",""
"Nicolas Lair","K1H","105.73","251.74","217.81",""
"Corentin Robin","K1H","105.8","226.83","218.72",""
"Michel Gombert","K1H","106.02","-","221.58",""
"Alexandre Lismonde","K1H","106.88","175.62","232.74",""
"Tom Barthelemy","K1H","106.9","229.8","233",""
"Evence Granger","K1H","106.92","-","233.26",""
"Rodolphe Rodrigue","K1H","107.27","230.83","237.8",""
"Fabien Perruchet","K1H","107.33","238.71","238.58",""
"Adrien Dacruz","K1H","107.34","245.81","238.71",""
"Pierre Dampeyrou","K1H","108.34","281.6","251.68",""
"Florian El Assali","K1H","109.15","245.69","262.19",""
"Yohan Marck","K1H","111.26","332.47","289.57",""
"Matthieu Walfard","K1H","111.99","201.39","299.04",""
"Laurent Dupuis","K1H","113.01","332.41","312.28",""
"Maxime Cousin","K1H","115.23","360.32","341.09",""
"Philippe Valeri","K1H","115.81","352.93","348.61",""
"Robin Pilard","K1H","116.03","338.61","351.47",""
"Louis Savart","K1H","116.31","291.2","355.1",""
"Mathurin Madore","K1H","117.34","261.11","368.47",""
"Thibault Dhennin","K1H","117.52","320.5","370.8",""
"Jeanbaptiste Truy","K1H","117.71","364.49","373.27",""
"Ludovic Ngo","K1H","120.2","680.93","405.58",""
"Gerard Lafargue","K1H","120.58","318.25","410.51",""
"Yoann Nurit","K1H","120.86","323.9","414.14",""
"Adrien Barlier","K1H","121.15","437.47","417.91",""
"Clement Bekaert","K1H","121.69","-","424.91",""
"Benoit Le Mazurier","K1H","122.37","444.34","433.74",""
"Benoit Mercier","K1H","126.04","-","481.36",""
"Maxime Pilard","K1H","127.06","462.73","494.59",""
"Loic Durand","K1H","127.98","514.42","506.53",""
"Hassan Zaryoh","K1H","131.01","586.45","545.85",""
"Jacques Nardeau","K1H","133.17","-","573.88",""
"Claude Breuzard","K1H","136.63","564.2","618.78",""
"Henri Molet","K1H","143.34","807.51","705.85",""
"Jeremy Grippon","K1H","146.42","-","745.81",""
"Lionel Aguilhon","K1H","147.67","523","762.03",""
"David Plot","K1H","148.03","-","766.7",""
"Etienne Ernou","K1H","149.03","-","779.68",""
"Michel Andre","K1H","160.64","-","930.33",""
"Sergepatrick Viseur","K1H","Nt","-","-",""
"Bastien Meslet","K1H","Nt","-","-",""
"Benjamin Motard","K1H","Nt","-","-",""
"Erwan Chevalier","K1H","Nt","-","-",""
"Vincent Reiter","K1H","Nt","-","-",""
"Gael Wassmer","K1H","Nt","-","-",""
"Florian Perenchio","K1H","Nt","-","-",""
"Antoine Lebastard","K1H","Nt","-","-",""
