"Championnat de France Elite - Pau - Course n°2 | 1 sur 2 Finale - 2014-05-14","Course n°2 | 1/2 Finale","2014-05-14","Championnats de France","114"
"Lea Wetzel","K1D","133.53","96.74","157.29",""
"Flora Huvelin","K1D","135.59","90.74","169.7",""
"Claire Gaigeot","K1D","136.04","84.75","172.41",""
"Emilie Fer","K1D","172.1","11.92","389.56",""
"Lucie Prioux","K1D","187.27","101.38","480.91",""
"Lea Gaigeot","K1D","Nt","-","-",""
"Pierre Bourliaud","K1H","97.33","26.36","15.5",""
"Sebastien Combot","K1H","97.79","18.94","18.63",""
"Boris Neveu","K1H","98.25","12.58","21.76",""
"Mathieu Biazizzo","K1H","98.35","12.41","22.44",""
"Thomas Rosset","K1H","98.49","40.83","23.39",""
"Etienne Daille","K1H","99.77","-","32.1",""
"Quentin Burgi","K1H","99.78","29.1","32.17",""
"Benjamin Renia","K1H","100.12","32.94","34.48",""
"Benoit Guillaume","K1H","100.27","24.68","35.5",""
"Tom Scianimanico","K1H","102.7","60.15","52.04",""
"Benoit Peschier","K1H","102.75","20.92","52.38",""
"Ludovic Di Nisi","K1H","102.9","31.36","53.4",""
"Hugo Cailhol","K1H","103.29","30.48","56.05",""
"Nicolas Abbal","K1H","105.47","59.31","70.89",""
"Mathys Huvelin","K1H","108.29","63.73","90.08",""
"Enrick Cunsolo","K1H","108.56","56.84","91.91",""
"Kevin Schultz","K1H","109.62","55.2","99.13",""
"Quentin Mignard","K1H","109.67","67.03","99.47",""
"Frederic Walczak","K1H","110.09","55.01","102.32",""
"William Desnos","K1H","110.82","58.4","107.29",""
"Martin Daviet","K1H","114.03","63.09","129.13",""
"Jonathan Delagnes","K1H","114.09","82.19","129.54",""
"Jonathan Chapatte","K1H","114.18","100.93","130.16",""
"Mathurin Madore","K1H","116.29","74.33","144.51",""
"Pol Oulhen","K1H","117.29","70.67","151.32",""
"Nicolas Baudoin","K1H","119.61","89.09","167.1",""
"Bertrand Gutierrez","K1H","125.32","61.23","205.96",""
"Vivien Colober","K1H","147.13","20.61","354.37",""
"Bastien Damiens","K1H","152.64","15.38","391.87",""
"Antoine Launay","K1H","152.77","38.7","392.75",""
"Renaud Doby","K1H","154","27.74","401.12",""
"Boris Chenal","K1H","158.56","65.76","432.15",""
"Louison Turmeau","K1H","159.44","81.87","438.14",""
"Thomas Schmitt","K1H","160.99","65.79","448.68",""
"Christophe Marechal","K1H","164.94","73.91","475.56",""
"Jonas Turmeau","K1H","167.42","86","492.44",""
"Alexandre Dherbilly","K1H","168.97","77.73","502.99",""
"Samuel Lhegu","K1H","185.18","74.74","613.29",""
"Yann Le Govic","K1H","205.27","39.82","750",""
"Aubry Bertin","K1H","261.07","89.74","1129.7",""
"Gurgen Brun","K1H","377.39","73.01","1921.23",""
"Goulwen Chapelier","K1H","413.06","56.85","2163.95",""
"James Duvernoy","K1H","Nt","-","-",""
