"CHAMPIONNAT DEPARTEMENTAL SLALOM - Servon Sur Vilaine - 2003-10-19","Course 1","2003-10-19","Régional","139"
"Brieuc Cadic","K1H","210.67","376","332",""
"Herfray Francois","K1H","211.23","286","336",""
"Ludovic Gloaguen","K1H","212.20","382","343",""
"Erwan Le Pen","K1H","212.36","-","344",""
"Tasserit Romain","K1H","212.88","-","347",""
"Denis Voisin","K1H","213.66","-","352",""
"Gardan Benjamin","K1H","213.92","424","353",""
"L'haridon Olivier","K1H","214.95","193","361",""
"Louet Gwenael","K1H","218.41","-","383",""
"Lebreton Simon","K1H","219.19","390","388",""
"Georgin Etienne","K1H","219.45","367","390",""
"Rossignol Yves","K1H","219.94","473","393",""
"Deffay Axel","K1H","220.08","328","394",""
"Stephen Le Diagon","K1H","220.50","422","396",""
"Pierre Yves Tanguy","K1H","221.52","372","404",""
"Guillotin Simon","K1H","222.18","414","408",""
"Legout Kevin","K1H","223.43","-","415",""
"Gacogne Yves","K1H","224.49","494","423",""
"Louet Steven","K1H","224.74","395","424",""
"Gravina Frederic","K1H","225.99","-","433",""
"Mathieu Bourdet","K1H","226.28","457","435",""
"Tual Jacky","K1H","226.57","-","436",""
"Rogue Clement","K1H","229.09","548","453",""
"Blanchard Cedric","K1H","230.12","-","459",""
"Mainguene Cedric","K1H","230.71","489","463",""
"Coirre Laurent","K1H","232.29","-","473",""
"Jeremy Froger","K1H","234.78","-","489",""
"Hatteville Nicolas","K1H","236.59","-","501",""
"Guiziou Leo","K1H","240.83","-","529",""
"Silvain Maxime","K1H","244.76","-","555",""
"Massot Alexandre","K1H","250.53","-","592",""
"Ader Mathieu","K1H","251.66","-","600",""
"Mercier Remi","K1H","253.66","-","612",""
"Robert Marc Antoine","K1H","254.76","-","620",""
"Massot Benjamin","K1H","255.28","-","623",""
"Ronan Gestin","K1H","256.97","-","634",""
"Debray Tony","K1H","257.43","-","637",""
"Cherel Florent","K1H","258.48","-","645",""
"Hamou Charles-Elie","K1H","259.34","-","650",""
"Perche Alexis","K1H","262.50","-","670",""
"Laverriere Vincent","K1H","262.76","-","672",""
"Garcia Thomas","K1H","267.13","-","700",""
"Chevallier Clément","K1H","268.18","-","708",""
"Nivol Baptiste","K1H","270.58","-","723",""
"Huckert Regis","K1H","270.72","-","724",""
"Lecallennec Marc","K1H","271.78","-","731",""
"Haugmard Emilien","K1H","273.92","-","745",""
"Julien Bourdet","K1H","274.37","-","747",""
"Limantour Romain","K1H","277.56","-","769",""
"Pourot Simon","K1H","278.99","-","777",""
"Matthieu Jonnart-baur","K1H","282.83","-","803",""
"Haugmard Méric","K1H","284.24","-","812",""
"Goarant Antoine","K1H","285.54","-","820",""
"Besset Patrice","K1H","289.20","-","845",""
"Froger Alexandre","K1H","290.29","-","851",""
"Cachau Heneillat Emmanuel","K1H","299.82","-","913",""
"Le Bas Julien","K1H","301.39","-","924",""
"Cedelle Loic","K1H","304.91","-","946",""
"Paulet François","K1H","306.93","-","959",""
"Guillot Jérémie","K1H","315.26","-","1014",""
"Perron Yaël","K1H","320.28","-","1047",""
"Volny-Luraghi Mickael","K1H","325.00","-","1077",""
"Lebee Daniel","K1H","330.91","-","1116",""
"Bourdet Vincent","K1H","336.03","-","1150",""
"Chevalier Valentin","K1H","341.42","-","1184",""
"Bertolini Gael","K1H","365.13","-","1339",""
"Biju Duval Loic","K1H","373.42","-","1393",""
"Ducrocq Xavier","K1H","405.66","-","1604",""
"Balluas Gwenael","K1H","432.05","-","1775",""
"Le Trionnaire Baptiste","K1H","585.84","-","2777",""
