"Sélectif N3 Nord Ouest - Veigné - 2001-03-18","Course 1","2001-03-18","Nationale 3","133"
"Jeanmarie Le Guyader","K1H","244.62","-","616",""
"Aurelien Leroy","K1H","245.1","-","619",""
"Le Mercier David","K1H","246.17","-","625",""
"Mathieu Godin","K1H","246.56","-","628",""
"Loic Froissard","K1H","246.74","-","629",""
"Yann Lardic","K1H","247.89","-","636",""
"Perret Herve","K1H","248.64","-","641",""
"Barbier Julien","K1H","251.44","-","658",""
"Chapel Mikael","K1H","254.32","-","675",""
"Reveillere Pierrick","K1H","255.06","-","680",""
"Le Feuvre Nicolas","K1H","255.93","-","685",""
"Landa Thomas","K1H","257.84","-","697",""
"Sadrin Kilian","K1H","258.89","-","704",""
"Gallerne Stephane","K1H","260.84","-","716",""
"Louet Jeremie","K1H","263.00","-","729",""
"Guichard Jonathan","K1H","263.27","-","731",""
"Tanguy Anthony","K1H","264.48","-","738",""
"Erwan Cadio","K1H","265.57","-","745",""
"Dosque Wesley","K1H","267.51","-","757",""
"Rifflet Jerome","K1H","267.79","-","758",""
"Maze Ronan","K1H","269.6","-","769",""
"Julien Brouzes","K1H","270.08","-","772",""
"Deffay Axel","K1H","271.14","-","779",""
"Prigent Mathieu","K1H","272.65","-","788",""
"Denis Siegfried","K1H","273.14","-","791",""
"Le Guen Vincent","K1H","280.63","-","837",""
"Plard Adrien","K1H","286.98","-","876",""
"Pluviaud Maxime","K1H","293.33","-","915",""
"Guillaume Coroller","K1H","294.36","-","922",""
"Houwen Alexandre","K1H","303.36","-","977",""
"Troley Yann","K1H","305.22","-","988",""
"Dubu Alain","K1H","305.47","-","990",""
"Grosvalet Pierre","K1H","306.47","-","996",""
"Louet Steven","K1H","313.46","-","1039",""
"Nado Julien","K1H","313.77","-","1041",""
"De Boysson Thomas","K1H","315.99","-","1055",""
"Guillo Damien","K1H","321.91","-","1091",""
"Michel Alexandre","K1H","330.68","-","1145",""
"Vaillant Tiphaine","K1H","332.29","-","1155",""
"Marrec Cedric","K1H","336.09","-","1178",""
"Josse Nicolas","K1H","337.08","-","1184",""
"Childeric Thoreau","K1H","343.89","-","1226",""
"Eftekhari Boris","K1H","346.98","-","1245",""
"Hoel Carnot","K1H","352.2","-","1277",""
"Kevin Gouabault","K1H","356.49","-","1304",""
"Guyomard Julien","K1H","388.97","-","1503",""
"Cleraux Antoine","K1H","392.37","-","1524",""
"Florent Regrettier","K1H","402.41","-","1586",""
"Andre Romain","K1H","588.97","-","2733",""
