"Championnat de France N1 - Metz - Championnat de France par équipe de clubs - 2011-07-30","Championnat de France par équipe de clubs","2011-07-30","Nationale 1","150"
"Florian Baumann-Charlie Barbier-Arnaud Pellizzoni","EKH","127.36","-","500",""
"Vincent Ablin-Mathurin Madore-Adrien Dacruz","EKH","128.25","-","500",""
"Vincent Lemonnier-Maxime Dreux-Stephane Odot","EKH","128.58","-","1936",""
"Didier Niel-Nicolas Dupres-Bertrand Avril","EKH","128.64","-","1911",""
"Nicolas Carduner-Maxime Lignereux-Sylvain Le Roux","EKH","129.65","-","500",""
"Antoine Lebastard-Gaspard Gindt-Venceslas Viseur","EKH","131","-","1861",""
"Anne-sophie Biazizzo-Antoine Germay-Maxime Degesves","EKH","131.26","-","1837",""
"Yann Rivallant-Thomas Denais-Thomas Schmitt","EKH","131.4","-","500",""
"Goulwen Chapelier-Yoann Deschemaeker-Anthony Mottais","EKH","131.92","-","1787",""
"Johan De Mareuil-Gaelle Tosser-roussey-Billel Khenchouche","EKH","132.14","-","1762",""
"Paul Messialle-Emilie Chamouleau-Jean Messialle","EKH","133","-","500",""
"Matthieu Duval-Nicolas Germay-Therence Bernard","EKH","133.44","-","500",""
"Pol Euzenes-Mathieu L 'hostis-Pol Oulhen","EKH","133.65","-","500",""
"Gireg Hamoniaux-Pascal Marrec-Maxime Perron","EKH","134.67","-","1663",""
"Nicolas Mangeolle-Melanie Ragaru-Thomas Stutzmann","EKH","136.22","-","500",""
"Galaad Pereyron-Quentin Raissac-Marlene Rio","EKH","136.59","-","1614",""
"Manuel Coquelin-Jean Yves Prigent-Sarah Despres","EKH","137.08","-","500",""
"Leo Bernard-Orion Ragnini-Ronan Cordier","EKH","137.34","-","500",""
"Laetitia Thueux-Clement Guiraud-Violaine Truche","EKH","137.96","-","500",""
"Berangere Baudart-Sebastien De Kerleau-Jenny Chevalier","EKH","138.49","-","1515",""
"Nicolas Rebours-Damien Goujard-Simon Dureau","EKH","139.11","-","1490",""
"Hugo Guilleray-Nathan Chaumier-Xavier Le Gallic","EKH","139.42","-","1465",""
"Alexis Pernelle-Arthur Chaumet-Luc Hellard","EKH","140.28","-","500",""
"Romain Gaillard-Maxime Texier-Damien Souville","EKH","141.37","-","500",""
"Paul Jean-Baptiste Podor-Adrien Picco","EKH","141.62","-","1391",""
"Bastien Belembert-Amaury Vielliard-Eric Lamour","EKH","142.5","-","500",""
"Charlotte Lubineau-Antoine Colas-Romain Faurie","EKH","142.97","-","1342",""
"Andy Pajani-Damien Ferraud-Alexandre Bordas","EKH","143.8","-","1317",""
"Marianne Bercon-Guillaume Payet-Guillaume Blin","EKH","145.01","-","500",""
"Camille Andrieux-Nizar Samlal-Marion Laurain","EKH","145.17","-","1267",""
"Quentin Moret De Rocheprise-Susy Merand-Vincent Dubois","EKH","148.94","-","500",""
"Bastien Damiens-Lea Tobo-Francois Palant","EKH","150.18","-","500",""
"Colin Beziade-Marie-zelia Lafont-Cecile Tixier","EKH","150.87","-","1193",""
"Mathieu Lions-Marion Delorme-Coralie Yebenes","EKH","152.75","-","1168",""
"Herve Busson-Christophe Sorin-Christophe Gergaud","EKH","154.3","-","1144",""
"Manuel Munsch-Alexandre Allemang-Liam Jegou","EKH","156.4","-","500",""
"Felix Jeanningros-Thibaut Evrot-Manon Galmiche","EKH","157.91","-","500",""
"Alan Dollo-Leo Le Druillennec-Clement Le Moal","EKH","162.96","-","1069",""
"Xavier Marie-Arthur Bernot-Thibaut Bernot","EKH","163.76","-","1045",""
"Sylviane Quemerais-Christophe Mitchell-Emma Jacob","EKH","165.75","-","500",""
"Joris Santoro-Yoan Bouchardon-Lise Denat","EKH","172.3","-","995",""
"Christophe Le Mercier-Maxime Foucault-Yoann Le Guyader","EKH","173.69","-","500",""
"Emeric Vibert-Carla Cerrutti - Bozzola-Valentin Vibert","EKH","173.88","-","500",""
"Cedric Joly-Ludovic Le Cointre-Theo Quenouillere","EKH","176.52","-","921",""
"Remi Thomas-Damien Burteaux-Lucas Ferraina","EKH","180.68","-","896",""
"Alexandre Le Quere-Gwendal Pariscoat-Hugo Maher","EKH","182.23","-","871",""
"Yoann Turowsky-Joffrey Lemeux-Simon Philibert","EKH","187.02","-","847",""
"Dimitri Etienne-Malo Le Paih-Francois Gillot","EKH","189.01","-","500",""
"Estelle Hellard-Vincent Rondeau-Solene Graille","EKH","190.04","-","500",""
"Louis Raguenes-Alexis Brouard-Anais L'hotelier","EKH","202.81","-","772",""
"Richard Davy-Thibaud Chevalier-Edouard Anne","EKH","204.64","-","748",""
"Claire Gaigeot-Pierre Dampeyrou-Lea Gaigeot","EKH","213.49","-","500",""
"Romain Bertrand-Thomas Theunissen-Thibault Dhennin","EKH","219.33","-","500",""
"Francois Faguet-Florian Joly-Francois Xavier Robinet","EKH","248.62","-","500",""
"Louis Bouclier-Raphael Lemonnier-Martin Mottais","EKH","265.25","-","500",""
"Nicolas Thomas-Gregoire Moury-Josquin Dubois","EKH","278.13","-","500",""
"Francois Bonnet-Oriane Rebours-Victor Duhamel","EKH","286.53","-","500",""
"Damien Launay-Justine Lorin-Lucas Marchais","EKH","292.62","-","500",""
"Philippe Valeri-Jeanbaptiste Truy-Nicolas Lair","EKH","409.39","-","550",""
