"Championnat Régional de Slalom - Championnat Régional Slalom - Finale - 2015-06-14","Finale","2015-06-14","Régional","223"
"Agathe Sananikone-Manon Durand","C2D","157.54","-","564.2","Finale A"
"Natacha Giraud-Eva Dauvergne","C2D","164.92","535.05","637.32","Finale A"
"Frederic Momot-Quentin Bove","C2H","108.76","-","276.85","Finale A"
"David Mingasson-Charles Dampeyrou","C2H","115.32","338.05","353.65","Finale A"
"Issam Chakir-Tom Maffeis","C2H","116.57","402.77","368.3","Finale A"
"Xavier Jourdain-Francois Durand","C2H","117.4","280.15","378.01","Finale A"
"Nicolas Ducrocq-Michael Philibert","C2H","126.85","449.47","488.65","Finale A"
"Andreas Dupuy-Aaron Penning","C2H","142.1","576.68","667.19","Finale A"
"Caroline Bourry-Renaud Doby","C2M","113.67","291.4","223.44","Finale A"
"Benoit Chantry-Stephanie Bender","C2M","115.12","260.58","239","Finale A"
"Frederic Momot-Manon Durand","C2M","126.14","-","357.27","Finale A"
"Tiphaine Duboc-Michael Philibert","C2M","134.75","-","449.68","Finale A"
"Ilhame Siraj-Guillaume Picavet","C2M","135.86","572.44","461.59","Finale A"
"Julien Fougeron-Lea Feuillard","C2M","157.39","419.3","692.64","Finale A"
"Solene Graille","K1D","97.85","93.63","118.71","Finale A"
"Caroline Bourry","K1D","98.96","94.38","131.36","Finale A"
"Flora Huvelin","K1D","99.31","74.81","135.35","Finale A"
"Anais Bernardy","K1D","105.11","222.02","201.45","Finale A"
"Manon Durand","K1D","107.87","217.82","232.91","Finale A"
"Tiphaine Duboc","K1D","107.9","252.51","233.25","Finale A"
"Lisa Robin","K1D","108.37","248.4","238.6","Finale A"
"Alicia Gallot","K1D","110.69","310.72","265.04","Finale A"
"Emilie Delahaye","K1D","111.6","259.26","275.42","Finale A"
"Emilie Hernandez-brossard","K1D","112.33","298.95","283.74","Finale A"
"Stephanie Bender","K1D","114.45","352.28","307.89","Finale A"
"Lucie Cecile","K1D","115.81","286.64","323.4","Finale A"
"Marion Gallois","K1D","116.39","301.48","330.01","Finale A"
"Adele Charlaigre","K1D","116.52","332.38","331.49","Finale A"
"Ilhame Siraj","K1D","117.02","357.45","337.19","Finale A"
"Lea Feuillard","K1D","119.33","339.82","363.52","Finale A"
"Athenais Reby","K1D","119.61","388.3","366.71","Finale A"
"Jade Robin","K1D","120.16","404.55","372.97","Finale A"
"Eva Dauvergne","K1D","122.59","289.78","400.67","Finale A"
"Lucie Robin","K1D","127.94","374.7","461.64","Finale A"
"Mathilde Guillot-le Goff","K1DM","132.42","-","-","Finale A"
"Elina Gigan","K1DM","139.88","-","-","Finale A"
"Mathurin Madore","K1H","85.45","87.67","103.99","Finale A"
"Maxime Bottex","K1H","86.85","117.4","122.02","Finale A"
"Renaud Doby","K1H","88.88","25.85","148.16","Finale A"
"Benoit Chantry","K1H","89.06","134.76","150.48","Finale A"
"Quentin Bove","K1H","89.21","124.6","152.41","Finale A"
"Samuel Lhegu","K1H","89.97","85.18","162.2","Finale A"
"Nicolas Feuillard","K1H","90.52","124.53","169.28","Finale A"
"Andy Pajani","K1H","91.07","95.54","176.37","Finale A"
"Xavier Jourdain","K1H","91.22","152.79","178.3","Finale A"
"Robin Pilard","K1H","91.45","164.89","181.26","Finale A"
"Nicolas Bernardy","K1H","93.1","196.31","202.51","Finale A"
"Thomas Durand","K1H","93.51","211.04","207.79","Finale A"
"David Mingasson","K1H","95.08","210.27","228.01","Finale A"
"Robin Pottelette","K1H","95.42","243.15","232.39","Finale A"
"Tristan Lejot","K1H","95.75","217.35","236.64","Finale A"
"Romain Bertrand","K1H","95.76","196.55","236.77","Finale A"
"Philippe Daumont","K1H","95.82","248.8","237.54","Finale A"
"Luca Dos Santos","K1H","97.12","190.74","254.28","Finale A"
"Louison Tanet","K1H","97.59","-","260.33","Finale A"
"Tom Maffeis","K1H","98.12","262.05","267.16","Finale A"
"Kevin Rancon","K1H","98.2","350.88","268.19","Finale A"
"Yani Ferhaoui","K1H","98.59","253.87","273.21","Finale A"
"Lucas Gillet","K1H","98.68","288.58","274.37","Finale A"
"Xavier Chantry","K1H","99.16","302.5","280.55","Finale A"
"Tom Barthelemy","K1H","99.7","270.92","287.51","Finale A"
"Julien Fougeron","K1H","100.64","301.09","299.61","Finale A"
"Yohan Marck","K1H","101.57","279.9","311.59","Finale A"
"Aaron Penning","K1H","101.68","327.91","313.01","Finale A"
"Benoit Monvoisin","K1H","102.29","324.57","320.86","Finale A"
"Son Bui","K1H","102.67","366.91","325.76","Finale A"
"Benjamin Harreau","K1H","102.69","390.56","326.01","Finale A"
"Francois Durand","K1H","103.72","271.97","339.28","Finale A"
"Bastien Darcillon","K1H","104.95","-","355.12","Finale A"
"Issam Chakir","K1H","105.16","372.48","357.83","Finale A"
"Jeremy Huguenin","K1H","105.52","-","362.46","Finale A"
"Florian Perenchio","K1H","107.71","363.03","390.67","Finale A"
"Quentin Arnoult","K1H","109.56","463.8","414.49","Finale A"
"Ludovic Ngo","K1H","Dsq","-","-","Finale A"
"Mathurin Garnier","K1H","Abs","-","-","Finale A"
"Hector Combes","K1HM","110.54","-","-","Finale A"
"Yohann Senechault","K1HM","110.57","-","-","Finale A"
"Alban Morel","K1HM","110.98","-","-","Finale A"
"Noe Perreau","K1HM","111.02","-","-","Finale A"
"Athenais Reby","C1D","125.14","425.8","351.53","Finale B"
"Eva Dauvergne","C1D","125.95","418.06","360.22","Finale B"
"Stephanie Bender","C1D","130.05","-","404.23","Finale B"
"Emilie Delahaye","C1D","133.74","370.02","443.83","Finale B"
"Lucie Robin","C1D","146.33","566.84","578.95","Finale B"
"Sophie Dupas","C1D","146.44","565.44","580.13","Finale B"
"Natacha Giraud","C1D","151.45","584.17","633.89","Finale B"
"Manon Borde","C1D","155.37","-","675.97","Finale B"
"Louise Chauvary","C1D","169.33","904.4","825.78","Finale B"
"Nicolas Feuillard","C1H","110.75","307.8","366.89","Finale B"
"Thibault Bigeon","C1H","111.94","-","381.5","Finale B"
"Thomas Durand","C1H","114.17","-","408.84","Finale B"
"Jeremy Grippon","C1H","115.56","397.89","425.89","Finale B"
"Antonin Dreit","C1H","116.17","465.61","433.37","Finale B"
"Alexy Wengler","C1H","117.34","369.19","447.72","Finale B"
"Robin Pottelette","C1H","118.43","582.46","461.09","Finale B"
"Tristan Lejot","C1H","118.74","-","464.9","Finale B"
"Son Bui","C1H","120.92","-","491.64","Finale B"
"Jacques Nardeau","C1H","123.97","485.4","529.05","Finale B"
"Quentin Arnoult","C1H","124.02","512.25","529.65","Finale B"
"Yohan Marck","C1H","125.18","598.25","543.89","Finale B"
"Romain Huguenin","C1H","132.5","-","633.66","Finale B"
"Lucas Correia","C1H","134.93","713.32","663.48","Finale B"
"Valentin Serrurier","C1H","134.95","-","663.72","Finale B"
"Alexis Agent","C1H","146.77","-","808.69","Finale B"
"Alexandre Ponnelle","C1H","147.44","-","816.91","Finale B"
"Nicolas Gallais","C1H","148.44","853.96","829.17","Finale B"
"Louis Prezeau","C1H","150.34","-","852.48","Finale B"
"Marvin Lescourant","C1H","154.92","-","908.66","Finale B"
"Melvin Queudeville","C1H","163.45","-","1013.28","Finale B"
"Mickael Dubois","C1H","Des","-","-","Finale B"
"Vincent Delahaye","C1H","Abs","-","-","Finale B"
"Thibault Bigeon-Bastien Darcillon","C2H","137.48","-","618.1","Finale B"
"Thibault Gigan-Valentin Fleury","C2H","142.47","695.67","676.52","Finale B"
"Lucas Jacob-Benoit Guernic","C2H","147.99","-","741.15","Finale B"
"Maxime Pilard-Robin Pilard","C2H","156.67","-","842.77","Finale B"
"Nicolas Gallais-Loric Bertrand Delorme","C2H","160.53","-","887.96","Finale B"
"Augustin Francois-Louis Prezeau","C2H","224.53","-","1637.27","Finale B"
"Samuel Lhegu-Marion Gallois","C2M","140.29","399.37","514.12","Finale B"
"Florence Marchal-Jacques Nardeau","C2M","145.41","587.46","569.08","Finale B"
"Louise Chauvary-Nicolas Ducrocq","C2M","152.46","746.74","644.74","Finale B"
"Benoit Guernic-Lea Kieffer","C2M","163.63","-","764.61","Finale B"
"Agathe Sananikone-Thomas Durand","C2M","169.9","-","831.9","Finale B"
"Lucas Jacob-Manon Borde","C2M","185.31","-","997.29","Finale B"
"Leontine Dubuisson","K1D","120.6","404.6","382.99","Finale B"
"Sophie Dupas","K1D","124.55","469.25","428","Finale B"
"Agathe Sananikone","K1D","124.99","-","433.03","Finale B"
"Nelia Barbosa","K1D","125.08","470.56","434.04","Finale B"
"Natacha Giraud","K1D","129.78","376.17","487.62","Finale B"
"Sandrine Arnal","K1D","131.7","433.24","509.5","Finale B"
"Manon Zanelli","K1D","132.09","583.36","513.94","Finale B"
"Anna Marvillet","K1D","132.57","606.33","519.42","Finale B"
"Manon Borde","K1D","132.81","455.93","522.15","Finale B"
"Lea Lauer","K1D","141.22","674.97","617.99","Finale B"
"Florence Marchal","K1D","142.25","580.28","629.73","Finale B"
"Lea Kieffer","K1D","142.85","602.01","636.57","Finale B"
"Meryl Vion","K1D","144.21","-","652.07","Finale B"
"Maryse Viseur","K1D","147.9","-","694.13","Finale B"
"Agnes Gigan","K1D","149.05","503.37","707.24","Finale B"
"Angel Bepoix","K1D","154.29","759.78","766.96","Finale B"
"Celine Garcia","K1D","164.73","-","885.94","Finale B"
"Louise Chauvary","K1D","177.05","968.71","1026.34","Finale B"
"Marjorie Boulogne","K1D","202.71","-","1318.79","Finale B"
"Nathan Aubert","K1H","101.59","284.66","316.85","Finale B"
"Fabien De Almeida","K1H","101.86","411.34","320.33","Finale B"
"Thibault Gigan","K1H","105.36","411.61","365.4","Finale B"
"Andreas Dupuy","K1H","105.88","362.01","372.1","Finale B"
"Romain Huguenin","K1H","107.03","406.15","386.91","Finale B"
"Arthur Guillot-le Goff","K1H","108.11","427.35","400.82","Finale B"
"Gerard Lafargue","K1H","109.31","422.55","416.27","Finale B"
"Theo Zilber","K1H","110.08","426.54","426.19","Finale B"
"Lucas Jacob","K1H","110.32","385.42","429.28","Finale B"
"Vincent Amisse","K1H","111.04","461.74","438.55","Finale B"
"Isidore Dubuisson","K1H","111.09","439.68","439.2","Finale B"
"Philippe Valeri","K1H","112.05","442.47","451.56","Finale B"
"Quentin Robin","K1H","112.3","403.14","454.78","Finale B"
"Nicolas Lalliot","K1H","112.8","521.51","461.22","Finale B"
"Theo Loury","K1H","113.27","-","467.27","Finale B"
"Maxime Pilard","K1H","114.32","514.45","480.79","Finale B"
"Philippe Piat","K1H","118.54","530.26","535.14","Finale B"
"Louis Prezeau","K1H","119.66","556.09","549.56","Finale B"
"Vladimir Krsmanovic","K1H","120.04","600.02","554.46","Finale B"
"Benoit Guernic","K1H","120.53","531.59","560.77","Finale B"
"Lucas Correia","K1H","120.71","585.03","563.09","Finale B"
"Eloi Brunet-texier","K1H","121.27","612.35","570.3","Finale B"
"Alexis Agent","K1H","122.12","606.18","581.25","Finale B"
"Augustin Francois","K1H","123.97","563.83","605.07","Finale B"
"Alexandre Ponnelle","K1H","124.2","594.7","608.03","Finale B"
"Juan Guerrero","K1H","124.39","539.75","610.48","Finale B"
"Loric Bertrand Delorme","K1H","125.96","623.44","630.7","Finale B"
"Arthur Lagleyze","K1H","127.11","472.29","645.51","Finale B"
"Cyril Pottier","K1H","128.07","725.49","657.87","Finale B"
"Maxime Taimiot","K1H","130.41","-","688.01","Finale B"
"Mickael Dubois","K1H","130.93","569.84","694.71","Finale B"
"Christophe Flores","K1H","132.82","-","719.05","Finale B"
"Marvin Lescourant","K1H","133.23","626.13","724.33","Finale B"
"Valentin Fleury","K1H","161.46","466.51","1087.89","Finale B"
"Charles Dampeyrou","K1H","163.33","404.85","1111.97","Finale B"
"Emeric Bussonnais","K1H","167.91","321.63","1170.96","Finale B"
"Vincent Delahaye","K1H","175.41","287.62","1267.55","Finale B"
"Melvin Queudeville","K1H","Dsq","-","-","Finale B"
"Eden Quevremont","K1HM","111.44","-","-","Finale B"
"Lucas Weilbach","K1HM","128.69","-","-","Finale B"
"Anthony Dubois","K1HM","163.37","-","-","Finale B"
