"3ème Manche de la Coupe de France Nationale 1 Slalom - Pôle Nautique De Nancy - Finale - 2017-04-01","Finale","2017-04-01","Nationale 1","136"
"Ludovic Di Nisi","K1H","104.78","71.51","82.75","Finale B"
"Benjamin Jacon","K1H","104.91","79.7","83.97","Finale B"
"Thomas Schmitt","K1H","105.29","76.5","87.53","Finale B"
"Nicolas Abbal","K1H","105.29","60.39","87.53","Finale B"
"Titouan Dupras","K1H","105.65","93.49","90.9","Finale B"
"Sami Rocher","K1H","105.73","87","91.65","Finale B"
"Paul Cornut-chauvinc","K1H","106.57","100.99","99.53","Finale B"
"Thomas Rosset","K1H","106.79","68.39","101.59","Finale B"
"Malo Quemeneur","K1H","106.95","56.09","103.09","Finale B"
"Jonas Turmeau","K1H","106.98","103.87","103.37","Finale B"
"Edgar Prigent","K1H","107.87","80.71","111.72","Finale B"
"Pierre Giudicelli","K1H","107.95","109.28","112.47","Finale B"
"Hugo Crepeau","K1H","108.12","161.48","114.06","Finale B"
"Alan Dollo","K1H","108.52","99.52","117.81","Finale B"
"Goulwen Chapelier","K1H","108.7","111.23","119.5","Finale B"
"Vincent Delahaye","K1H","108.89","151.31","121.28","Finale B"
"Maxime Tilhet","K1H","108.92","107.19","121.56","Finale B"
"Benoit Chantry","K1H","109.43","113.85","126.35","Finale B"
"Gurgen Brun","K1H","110.26","88.61","134.13","Finale B"
"Lucas Latimier","K1H","110.4","133.35","135.44","Finale B"
"William Desnos","K1H","110.54","98.8","136.75","Finale B"
"Kendaor Le Huitou","K1H","110.55","100.37","136.85","Finale B"
"Thibault Marchand","K1H","110.94","80.18","140.5","Finale B"
"Boris Chenal","K1H","111","121.65","141.07","Finale B"
"Mathys Huvelin","K1H","111.54","58.25","146.13","Finale B"
"Isaac Dufrene","K1H","112.36","167.18","153.82","Finale B"
"Yann Le Govic","K1H","112.48","99.73","154.94","Finale B"
"Quentin Bove","K1H","112.56","89.74","155.69","Finale B"
"Maxime Bottex","K1H","113.29","109.1","162.54","Finale B"
"Nicolas Bernardy","K1H","116.89","141.57","196.29","Finale B"
"Fabien Le Nechet","K1H","119.05","128.2","216.55","Finale B"
"Robin Pottelette","K1H","134.92","159.12","365.35","Finale B"
"Louison Turmeau","K1H","155.79","104.46","561.03","Finale B"
"Pierre Bourliaud","K1H","452.09","40.13","3339.23","Finale B"
"Benoit Guillaume","K1H","Abs","-","-","Finale B"
