"Sélectif Championnat National 2 Slalom - Inzinzac Lochrist - Finale - 2018-03-11","Finale","2018-03-11","Nationale 2","141"
"Laurine Salesse","K1D","132.08","294.53","407.28","Finale A"
"Jann Le Corre","K1D","160.6","356.32","710.09","Finale A"
"Anthony Drouhin","K1H","93.73","171.07","129.49","Finale A"
"Pierre-louis Saussereau","K1H","93.74","153.15","129.61","Finale A"
"Valentin Brindeau","K1H","95.11","167.35","146.04","Finale A"
"Tanguy Zaninotto","K1H","96.18","208.52","158.88","Finale A"
"Johann Loiseau","K1H","96.32","256.41","160.56","Finale A"
"Christophe Marechal","K1H","96.33","182.48","160.68","Finale A"
"Paul Gestin","K1H","96.33","221.81","160.68","Finale A"
"Noe Perreau","K1H","96.42","235.12","161.76","Finale A"
"Benjamin Thiboust","K1H","96.7","181.35","165.12","Finale A"
"Lucas Jacob","K1H","97.69","207.77","177","Finale A"
"Anthony Thuillier","K1H","99","171.8","192.71","Finale A"
"Valentin Courtiade","K1H","99.62","181.65","200.15","Finale A"
"Benoit Chantry","K1H","100.16","146.42","206.63","Finale A"
"Arnaud Verrons","K1H","100.46","210.06","210.23","Finale A"
"David Mingasson","K1H","100.5","168.59","210.71","Finale A"
"Xavier Jourdain","K1H","101.67","162.46","224.75","Finale A"
"Fabien Le Nechet","K1H","102.1","177.02","229.9","Finale A"
"Alex Louveau","K1H","103.57","176.41","247.54","Finale A"
"Malo Legrand","K1H","103.74","200.99","249.58","Finale A"
"Nicolas Veillard","K1H","105.06","262.92","265.42","Finale A"
"Sebastien Routhier","K1H","105.24","230.06","267.58","Finale A"
"Timothee Cornu","K1H","110.07","195.73","325.52","Finale A"
"Thibaud Lacour","K1H","110.09","200.91","325.76","Finale A"
"Lucas Augu","K1H","110.17","222.97","326.72","Finale A"
"Romain Guyomard","K1H","117.68","226.74","416.82","Finale A"
"Lucas Correia","K1H","132.54","256.84","595.1","Finale A"
"Arthur Mizzi","K1H","143.29","189.57","724.07","Finale A"
"Matheo Gillaizeau","K1H","149.93","218.51","803.74","Finale A"
"Zeph Scamps","K1H","155.34","188.47","868.64","Finale A"
"Nicolas Mevel","K1H","166.5","150.61","1002.53","Finale A"
"Romain Branjauneau","K1H","167.63","250.86","1016.09","Finale A"
"Luca Dos Santos","K1H","210.97","183.71","1536.06","Finale A"
"Dylan Sourbe","K1H","307.76","224.81","2697.28","Finale A"
"Manon Durand","C1D","134.08","290.37","350.47","Finale B"
"Camille Castryck","C1D","140.86","396.96","418.26","Finale B"
"Perrine Joubert","C1D","147.81","415.26","487.75","Finale B"
"Marion Grangeon","C1D","166.14","366.17","671.01","Finale B"
"Jules Chaumet","C1H","112.55","325.04","295.97","Finale B"
"Nicolas Bernardy","C1H","112.71","336.81","297.81","Finale B"
"Xavier Jourdain","C1H","113.02","267.65","301.35","Finale B"
"Matheo Lebaindre","C1H","113.87","324.11","311.06","Finale B"
"Samuel Vallienne","C1H","114.01","327.34","312.66","Finale B"
"Gaetan Hamelin","C1H","114.16","325.83","314.37","Finale B"
"Lubin Huet","C1H","114.76","315.11","321.23","Finale B"
"Aaron Penning","C1H","114.89","251.61","322.71","Finale B"
"Tomy Dandonneau","C1H","116","318.95","335.39","Finale B"
"Medhi Deguil","C1H","119.71","379.68","377.79","Finale B"
"Issam Chakir","C1H","120.52","252.99","387.04","Finale B"
"Hugo Eouzan-chaffotec","C1H","126.41","335.48","454.34","Finale B"
"Anthony Thuillier","C1H","131.17","341.46","508.73","Finale B"
"Christian Boob-Frederic Boob","C2H","133.37","313.77","464.59","Finale B"
"Simon Dubosc-Quentin Angot","C2H","136.75","486.97","501.46","Finale B"
"Nicolas Ducrocq-Luca Dos Santos","C2H","137.57","881.95","510.41","Finale B"
"Lorin Dumont-Nicolas Le Belleguic","C2H","146.82","456.21","611.3","Finale B"
"Bertrand Avril-Chloe Gatuingt","C2M","147.79","658.47","487.54","Finale B"
"Morgane Quemerais-Matheo Lebaindre","C2M","152.64","529.65","536.04","Finale B"
"Vincent Laclide-Romane Bronchet","C2M","182.51","-","834.68","Finale B"
"Frederique Merle","K1D","123.43","306.6","320.45","Finale B"
"Carla Lacroix","K1D","127.58","336.79","364.51","Finale B"
"Coline Bertin","K1D","130.04","306.93","390.63","Finale B"
"Camille Castryck","K1D","131.57","399.46","406.87","Finale B"
"Clothilde Le Louarn","K1D","133.81","364.8","430.65","Finale B"
"Chloe Gatuingt","K1D","136.25","394","456.56","Finale B"
"Romane Bronchet","K1D","137.92","361.53","474.29","Finale B"
"Mathilde Guillot-le Goff","K1D","140.4","397.18","500.62","Finale B"
"Celia Jodar","K1D","141.14","432.78","508.48","Finale B"
"Manon Le Lay","K1D","148.4","394.09","585.55","Finale B"
"Christine Le Gall","K1D","152.24","396.33","626.33","Finale B"
"Solene Lafitte","K1D","155.91","404.9","665.28","Finale B"
"Morgane Quemerais","K1D","185.4","258.18","978.39","Finale B"
"Julien Antide","K1H","92.66","242.02","121.65","Finale B"
"Florentin Saumon","K1H","96.41","239.47","166.64","Finale B"
"Luc Hellard","K1H","98.85","200.32","195.91","Finale B"
"Andreas Dupuy","K1H","99.32","202.35","201.55","Finale B"
"Julien Dosse","K1H","100.58","282.11","216.67","Finale B"
"Tom Babin","K1H","101.17","255.85","223.75","Finale B"
"Tom Bouchardon","K1H","101.35","219.4","225.91","Finale B"
"Nathan Boudaillez","K1H","101.53","234.26","228.07","Finale B"
"Pierre Audouin","K1H","102.31","246.28","237.42","Finale B"
"Sam Traquet","K1H","102.33","259.27","237.66","Finale B"
"Adrien Picco","K1H","102.55","277.33","240.3","Finale B"
"Anthony Mottais","K1H","103.04","288.71","246.18","Finale B"
"Francois Gillot","K1H","103.36","285.84","250.02","Finale B"
"Herve Busson","K1H","103.64","228.66","253.38","Finale B"
"Clement Le Collinet","K1H","104.17","219.97","259.74","Finale B"
"Remi Vinet","K1H","104.75","216.01","266.7","Finale B"
"Loan Queffelec","K1H","104.77","228.61","266.94","Finale B"
"Jeanmichel Regnier","K1H","104.78","285.04","267.06","Finale B"
"Nicolas Rouleaud","K1H","105.53","199.16","276.06","Finale B"
"Timothee Le Mort","K1H","105.67","264.1","277.73","Finale B"
"Aubry Bertin","K1H","107.92","275.59","304.73","Finale B"
"Lorin Dumont","K1H","112.56","271.38","360.4","Finale B"
"Vincent Ablin","K1H","113.45","208.14","371.07","Finale B"
"Youn Aubry","K1H","114.08","227.78","378.63","Finale B"
"Pierre Campagne","K1H","117.62","327.92","421.1","Finale B"
"Denis Guilmard","K1H","119.83","283.42","447.62","Finale B"
"Simon Dubosc","K1H","120.45","239.22","455.06","Finale B"
"Thomas Ukalovic","K1H","123.1","268.07","486.85","Finale B"
"Vincent Laclide","K1H","157.12","246.21","895","Finale B"
"Fabien De Almeida","K1H","158.38","281.24","910.11","Finale B"
"Joris Rocher","K1H","160.58","252.52","936.51","Finale B"
"Nathan Flageul","K1H","168.45","275.74","1030.93","Finale B"
