"Sélectif slalom - Vinon Sur Verdon - 2006-11-26","Course 1","2006-11-26","Régional","126"
"Jeremy Vibert","K1H","209.21","186","230",""
"Paul Graton","K1H","211.17","192","242",""
"Mathieu Cataldo","K1H","211.56","198","245",""
"Jeremiah Mosch","K1H","211.62","168","245",""
"Yannick Besse","K1H","212.22","223","248",""
"Thibaud Lacour","K1H","212.97","243","253",""
"Virgile Pigache-donnet","K1H","213.67","229","257",""
"Fabrice Madier","K1H","213.96","294","258",""
"Romain Chabrol","K1H","215.45","175","267",""
"Viallon Hugo","K1H","215.51","205","267",""
"Martin Moreau","K1H","217.71","276","280",""
"Jeanluc Nitard","K1H","218.87","159","287",""
"Voindrot Quentin","K1H","219.15","343","288",""
"Nathanael Renia","K1H","220.63","260","297",""
"Thibault Gache","K1H","223.14","347","311",""
"Eloi Seemann","K1H","223.46","-","314",""
"Antoine Lhermite","K1H","223.50","463","314",""
"Camille Sahuc","K1H","223.81","-","316",""
"Delphine Fabrice","K1H","224.63","417","321",""
"Jean Baptiste Morera","K1H","227.39","298","336",""
"Guillaume Jacobe","K1H","228.48","329","343",""
"Serge Million","K1H","229.39","420","348",""
"Pierron David","K1H","231.38","-","359",""
"Bryan Seiler","K1H","231.64","297","361",""
"Jean Francois Bry","K1H","231.90","462","362",""
"Anthony Deschamps","K1H","234.15","414","375",""
"Antoine Vinay","K1H","234.28","341","376",""
"Lutinier Ugo","K1H","234.46","415","377",""
"Stephane Simonpietri","K1H","234.66","378","378",""
"Barbosa Florent","K1H","236.53","548","389",""
"Mickael Cordier","K1H","237.80","-","397",""
"Bernard Delorme","K1H","237.90","389","398",""
"Pierre Moreau","K1H","239.28","298","405",""
"Boris Chenal","K1H","240.06","400","410",""
"Sylvain Viallon","K1H","240.97","-","415",""
"Yann Lardic","K1H","241.62","-","419",""
"Damien Chammings","K1H","243.48","1050","430",""
"Runel-Paulhan Sylvain","K1H","244.99","546","438",""
"Malderez Sebastien","K1H","245.12","396","439",""
"Laurent Fieschi","K1H","248.58","-","459",""
"Florent Delhommel","K1H","248.67","403","459",""
"Delorme Sebastien","K1H","248.69","-","459",""
"Remi Palisse","K1H","249.08","-","462",""
"Tom Bar","K1H","251.99","-","479",""
"Ludovic Smal","K1H","252.90","-","484",""
"Claparede Jonas","K1H","254.70","717","495",""
"Adrien Quillet","K1H","255.41","524","499",""
"Pablo Niro","K1H","256.76","-","507",""
"Camille Balsac","K1H","257.61","-","511",""
"Jimy Bercon","K1H","258.78","173","518",""
"Dimitri Durannot","K1H","263.27","-","544",""
"Foultier Damien","K1H","266.61","-","564",""
"Dominique Kremer","K1H","267.58","-","570",""
"Levrien Corentin","K1H","271.54","510","592",""
"De Serezin Remy","K1H","273.24","-","602",""
"Champeau Laurent","K1H","274.80","466","611",""
"Ricci Jean Pierre","K1H","276.04","-","618",""
"Pierre Lagarde","K1H","281.06","519","648",""
"Florent Bret","K1H","282.63","-","657",""
"Adrien Tamas","K1H","284.28","-","666",""
"Oleszek Mathieu","K1H","286.44","795","679",""
"Vallet Florian","K1H","292.74","-","715",""
"Baudry Pierre Luc","K1H","296.89","495","739",""
"Olivier Kremer","K1H","300.11","-","758",""
"David Dih","K1H","300.13","-","758",""
"Olivier Bret","K1H","304.59","-","784",""
"Adrien Tappero","K1H","305.09","-","786",""
"Murillo Lambert","K1H","328.82","950","924",""
"Plancade Robin","K1H","331.84","929","942",""
"Long Yannick","K1H","348.89","-","1040",""
"Maxime Berthuit","K1H","361.95","-","1116",""
"Colombet Jeremy","K1H","369.01","-","1157",""
"Sebastien Villecourt","K1H","377.23","-","1206",""
"Gauthier Vanden  Abeele","K1H","602.25","-","2510",""
