"Slalom Bertrand-Réals (Double Sélectif Régional) - Cessenon sur Orb - Course n°1 | Finale - 2018-10-06","Course n°1 | Finale","2018-10-06","Régional","138"
"Gael Adisson","K1H","78.72","166.5","224.39","Course n°1 | Finale A"
"Samuel Bonella","K1H","78.97","187.92","228.24","Course n°1 | Finale A"
"Hugo Crespo","K1H","78.98","324.34","228.39","Course n°1 | Finale A"
"Nour Ait Kaddour","K1H","80","275.29","244.09","Course n°1 | Finale A"
"Vincent Garcia","K1H","80.13","253.83","246.09","Course n°1 | Finale A"
"Luc Sarramea","K1H","81.12","203.55","261.32","Course n°1 | Finale A"
"Marc Sarramea","K1H","81.34","251.92","264.71","Course n°1 | Finale A"
"Marceau Faget","K1H","81.64","328.56","269.33","Course n°1 | Finale A"
"Bryan Seiler","K1H","82.18","272.19","277.64","Course n°1 | Finale A"
"Quentin Clerc","K1H","82.7","327.99","285.64","Course n°1 | Finale A"
"Guilhem Viguier","K1H","83.09","300.65","291.64","Course n°1 | Finale A"
"Felix Praderie","K1H","83.38","256.92","296.1","Course n°1 | Finale A"
"Esteban Illido","K1H","83.93","287.11","304.56","Course n°1 | Finale A"
"Theo Ducasse","K1H","84.5","291.07","313.34","Course n°1 | Finale A"
"Alex Baldoni","K1H","85.1","376.3","322.57","Course n°1 | Finale A"
"Arthur Contamine","K1H","85.89","292.47","334.72","Course n°1 | Finale A"
"Baptiste Gaillard","K1H","85.96","316.72","335.8","Course n°1 | Finale A"
"Herve Clerc","K1H","86.09","364.49","337.8","Course n°1 | Finale A"
"Kilian Cottet","K1H","86.51","346.88","344.27","Course n°1 | Finale A"
"Martin Rombi","K1H","89.14","414.62","384.74","Course n°1 | Finale A"
"Arthur Cousty","K1H","89.57","374.43","391.35","Course n°1 | Finale A"
"Frederic Reus","K1H","90.28","416.33","402.28","Course n°1 | Finale A"
"Corentin Georgeon","K1H","96.48","352.04","497.68","Course n°1 | Finale A"
"Matt Vidou","K1H","97.72","437.51","516.76","Course n°1 | Finale A"
"Hippolyte Cail","K1H","125.02","147.57","936.85","Course n°1 | Finale A"
"Luc Doye","K1H","131.24","291.37","1032.56","Course n°1 | Finale A"
"Jacques Roisin","K1H","141.52","387.74","1190.75","Course n°1 | Finale A"
"Thomas Buffet","K1HM","90.45","560.16","404.89","Course n°1 | Finale A"
"Clement Claret","K1HM","92.53","523.87","436.9","Course n°1 | Finale A"
"Timeo Canonico","K1HM","92.78","581.99","440.75","Course n°1 | Finale A"
"Matteo Roubaud","K1HM","93.51","591.78","451.98","Course n°1 | Finale A"
"Florian Malaval","K1HM","93.99","553","459.37","Course n°1 | Finale A"
"Bilal Robert Caldini","K1HM","97.94","554.67","520.15","Course n°1 | Finale A"
"Theo Bertauts","K1HM","99.45","1068.96","543.38","Course n°1 | Finale A"
"Walid Belkoussa","K1HM","107.03","969.37","660.02","Course n°1 | Finale A"
"Margot Beziat","C1D","102.76","377.5","335.77","Course n°1 | Finale B"
"Heloise Pinon","C1D","111.21","582.45","444.13","Course n°1 | Finale B"
"Chiara Cini","C1D","115.07","665.48","493.63","Course n°1 | Finale B"
"Alex Baldoni","C1H","92.42","403.94","372.49","Course n°1 | Finale B"
"David Bernardeau","C1H","97.13","469.24","441.51","Course n°1 | Finale B"
"Kilian Cottet","C1H","105.38","656.12","562.42","Course n°1 | Finale B"
"Corentin Georgeon","C1H","111.02","607.57","645.07","Course n°1 | Finale B"
"Clement Serres","C1H","113.76","894.14","685.23","Course n°1 | Finale B"
"Francois Mouttou","C1H","116.25","787.67","721.71","Course n°1 | Finale B"
"Alexis Guillon","C1H","117.14","506.48","734.76","Course n°1 | Finale B"
"Loic Leymonerie","C1H","Abs","-","-","Course n°1 | Finale B"
"Luc Sarramea-Carla Lacroix","C2M","104.06","432.76","352.45","Course n°1 | Finale B"
"Camille Santa Cruz","K1D","104.6","499.76","442.46","Course n°1 | Finale B"
"Amelie Leclercq","K1D","106.15","442.84","463.57","Course n°1 | Finale B"
"Chiara Cini","K1D","107.77","576.77","485.63","Course n°1 | Finale B"
"Helene Merlet","K1D","108.86","989.61","500.47","Course n°1 | Finale B"
"Callista Grange","K1D","110.04","541.12","516.54","Course n°1 | Finale B"
"Pauline Rouilhet","K1D","111.59","604.73","537.65","Course n°1 | Finale B"
"Celia Roulleau","K1D","121.11","816.75","667.29","Course n°1 | Finale B"
"Caroline Guita","K1D","129.51","683.97","781.68","Course n°1 | Finale B"
"Marine Cottu","K1D","133.18","2234.01","831.64","Course n°1 | Finale B"
"Emmy Bernard","K1DM","113.47","761.3","563.25","Course n°1 | Finale B"
"Ameline Saunier","K1DM","116.56","704.95","605.32","Course n°1 | Finale B"
"Aurelie Cabrera","K1DM","118.44","620.46","630.92","Course n°1 | Finale B"
"Valentine Georgeon","K1DM","158.05","645.15","1170.31","Course n°1 | Finale B"
"Julien Ojard-chillet","K1H","86.77","375.92","353.27","Course n°1 | Finale B"
"Marin Saint Macary","K1H","89.62","492.05","397.12","Course n°1 | Finale B"
"Tom Zanfini","K1H","90.05","318.26","403.74","Course n°1 | Finale B"
"Gael Villar","K1H","92.75","509.65","445.29","Course n°1 | Finale B"
"Eric Vidou","K1H","93.05","464.59","449.9","Course n°1 | Finale B"
"Abel Boidron","K1H","95.8","481.35","492.22","Course n°1 | Finale B"
"Remi Dolcin Tillant","K1H","95.99","499.17","495.14","Course n°1 | Finale B"
"David Bernardeau","K1H","96.64","486.24","505.14","Course n°1 | Finale B"
"Louis Scalbert","K1H","96.65","560.06","505.3","Course n°1 | Finale B"
"Baptiste Moret","K1H","97.06","543.69","511.61","Course n°1 | Finale B"
"Raphael Bonnard","K1H","97.67","490.76","520.99","Course n°1 | Finale B"
"Arthur Sanchez","K1H","97.75","577.48","522.22","Course n°1 | Finale B"
"Leo Parnotte","K1H","98.38","515.94","531.92","Course n°1 | Finale B"
"Pierrick Bresson","K1H","99.1","494.66","543","Course n°1 | Finale B"
"Lohan Wyon","K1H","99.24","517.67","545.15","Course n°1 | Finale B"
"Bruno Lamothe","K1H","100.67","646.65","567.16","Course n°1 | Finale B"
"Alexandre Weiler","K1H","104.27","504.5","622.55","Course n°1 | Finale B"
"Mateo Destruel","K1H","106.83","934.68","661.95","Course n°1 | Finale B"
"Loic Leymonerie","K1H","106.86","512.97","662.41","Course n°1 | Finale B"
"Clement Serres","K1H","110.18","924.23","713.5","Course n°1 | Finale B"
"Yanis Delmas","K1H","113.27","863.23","761.04","Course n°1 | Finale B"
"Francois Mouttou","K1H","119.44","1266.94","855.99","Course n°1 | Finale B"
"Valerian Touzet","K1H","120.65","3209.86","874.61","Course n°1 | Finale B"
"MatÉo Million","K1H","121.2","1386.34","883.07","Course n°1 | Finale B"
"Bary Caron","K1H","124.42","1110.28","932.62","Course n°1 | Finale B"
"Sylvain Lauth","K1H","136.5","812.01","1118.5","Course n°1 | Finale B"
"Rutger Hoedemaker","K1H","140.12","479.29","1174.21","Course n°1 | Finale B"
"Victor Dhumieres","K1H","150.47","703.26","1333.47","Course n°1 | Finale B"
"Amaury Viguier","K1H","160.79","649.73","1492.27","Course n°1 | Finale B"
"Jules Maitre","K1H","163.63","1087.95","1535.97","Course n°1 | Finale B"
"Raphael Duval","K1H","315.19","-","3868.15","Course n°1 | Finale B"
"Jerome Julien","K1H","515.95","-","6957.41","Course n°1 | Finale B"
"Rafael Parnotte","K1HM","112.22","792.11","744.89","Course n°1 | Finale B"
"Gael Touron","K1HM","112.23","1589.93","745.04","Course n°1 | Finale B"
"Gael Rivier","K1HM","113.59","835.88","765.97","Course n°1 | Finale B"
"Antonin Bretecher","K1HM","113.61","875.58","766.28","Course n°1 | Finale B"
"William Varela","K1HM","124.47","1086.92","933.39","Course n°1 | Finale B"
"Arthur Piqueras","K1HM","136.67","968.48","1121.12","Course n°1 | Finale B"
"Raphael Herzlich","K1HM","175.51","926.49","1718.78","Course n°1 | Finale B"
"Bryan Bertrand","K1HM","228.79","1244.25","2538.64","Course n°1 | Finale B"
