"Championnat Régional de Slalom - île Mortes Champ sur marne - Finale - 2017-06-04","Finale","2017-06-04","Régional","216"
"Thomas Brunet","C1HM","Nt","-","-","Finale B"
"Romain Bezies-Ianis Fleury","C2H","139.21","-","720.95","Finale B"
"Lucas Jacob-Benoit Guernic","C2H","140.7","433.2","739.15","Finale B"
"Mickael Dubois-Pierre Emmanuel Ravet","C2H","212.34","-","1614.55","Finale B"
"Fabien Bonvalet-Mathis Pomares","C2HM","166.68","829.31","1056.61","Finale B"
"Delphine Brunet-Samuel Bonvalet","C2M","174.99","721.82","979.97","Finale B"
"Francois Vuillermot-Celine Garcia","C2M","192.56","-","1176.78","Finale B"
"Adele Charlaigre-Melvin Queudeville","C2M","Dsq","-","-","Finale B"
"Lea Feuillard","K1D","124.71","527.9","503.31","Finale B"
"Fiona Gille","K1D","125.45","480.91","512.11","Finale B"
"Anna Marvillet","K1D","130.82","516.45","575.98","Finale B"
"Elise Sergio","K1D","130.88","565.37","576.7","Finale B"
"Florence Marchal","K1D","135.35","575.03","629.87","Finale B"
"Sandrine Arnal","K1D","143","653.83","720.87","Finale B"
"Margaux Mourlon","K1D","146.19","724.83","758.82","Finale B"
"Celine Garcia","K1D","153.41","794.26","844.69","Finale B"
"Delphine Brunet","K1D","186.97","882.84","1243.89","Finale B"
"Isabelle Rousseau","K1D","217.91","-","1611.93","Finale B"
"Loane Foulongani","K1D","281.09","2142","2363.46","Finale B"
"Wissal Mouinet","K1DM","135.28","544.33","629.04","Finale B"
"Valentine Jussy","K1DM","145.7","909.55","752.98","Finale B"
"Souhayla Khattabi","K1DM","155.44","-","868.85","Finale B"
"Lisa Manach","K1DM","157.55","-","893.94","Finale B"
"Charlotte Cadet","K1DM","157.88","-","897.87","Finale B"
"Camille Rousson","K1DM","596.19","-","6111.61","Finale B"
"Fleur Andrieux","K1DM","Abs","-","-","Finale B"
"Hector Combes","K1H","97.24","309.73","326.91","Finale B"
"Theo Loury","K1H","98.48","332.16","343.58","Finale B"
"Benjamin Bergin","K1H","112","568.25","525.31","Finale B"
"Philippe Valeri","K1H","115.13","533.04","567.38","Finale B"
"Salim Raye","K1H","115.74","-","575.58","Finale B"
"Emrys Meddour","K1H","118.15","648.91","607.98","Finale B"
"Leonard Soland","K1H","118.84","607.14","617.25","Finale B"
"Nathan Saintobert","K1H","119.05","591.26","620.07","Finale B"
"Yann Dhieux","K1H","119.35","589.43","624.11","Finale B"
"Noe Vannier","K1H","119.63","610.48","627.87","Finale B"
"Yunus Polat","K1H","122.97","-","672.76","Finale B"
"Samuel Bonvalet","K1H","126.23","637.05","716.58","Finale B"
"Claude Breuzard","K1H","127.02","767.39","727.2","Finale B"
"Adam El Manouzi","K1H","127.03","726.52","727.34","Finale B"
"Gabriel Benoit","K1H","127.52","668.31","733.92","Finale B"
"Francois Vuillermot","K1H","129.97","-","766.85","Finale B"
"Alain Brucher","K1H","134.13","-","822.77","Finale B"
"Franz Barth","K1H","136.14","-","849.79","Finale B"
"Samuel Gornet","K1H","136.26","-","851.4","Finale B"
"Ilan Foulongani","K1H","137.52","841.09","868.34","Finale B"
"Joshua Ravet","K1H","137.54","820.56","868.61","Finale B"
"Ludovic Leprevost","K1H","138.82","-","885.81","Finale B"
"Maxime Kerbrat","K1H","163.68","-","1219.97","Finale B"
"Pierre Emmanuel Ravet","K1H","163.8","-","1221.58","Finale B"
"Marc-olivier Dufour","K1H","166.76","-","1261.37","Finale B"
"Lucas Voisin","K1H","198.81","-","1692.16","Finale B"
"Evan Thibault","K1H","205.46","-","1781.55","Finale B"
"Antonin Gemeline","K1H","238.53","-","2226.06","Finale B"
"Alexandre Janicot","K1H","Des","-","-","Finale B"
"Nathan Huguenin","K1HM","114.57","-","559.86","Finale B"
"Antoine Marion","K1HM","116.5","608.08","585.8","Finale B"
"Arthur Pichancourt","K1HM","117.96","-","605.42","Finale B"
"Helwann Rachdi","K1HM","119.74","602.2","629.35","Finale B"
"Loick Manoury","K1HM","120.97","-","645.88","Finale B"
"Fabien Bonvalet","K1HM","125.24","522.68","703.28","Finale B"
"Samy Serrakh","K1HM","125.66","693.2","708.92","Finale B"
"Clery Girard","K1HM","127.75","-","737.01","Finale B"
"Fares Chennahi","K1HM","129.71","782.97","763.36","Finale B"
"Matteo Figueiredo Alves","K1HM","130.33","727.49","771.69","Finale B"
"Quentin Pirlot","K1HM","137.26","-","864.84","Finale B"
"Rayan Serrakh","K1HM","139.2","815.87","890.92","Finale B"
"Axel Girard","K1HM","150.12","-","1037.7","Finale B"
"Louis Marvillet","K1HM","150.92","-","1048.45","Finale B"
"Romeo Saulnier","K1HM","153.48","-","1082.86","Finale B"
"Robin Le Mazurier","K1HM","153.62","-","1084.74","Finale B"
"Mathis Pomares","K1HM","154.21","927.81","1092.68","Finale B"
"Lucas Bellaize","K1HM","160.29","-","1174.4","Finale B"
"Thomas Brunet","K1HM","184.18","1030.59","1495.52","Finale B"
"Mathias Lenfant","K1HM","218.78","1081.61","1960.59","Finale B"
"MattÉo Dubois","K1HM","220.02","-","1977.26","Finale B"
"Theo Siguret","K1HM","259.48","-","2507.66","Finale B"
"Jerome Payen","K1HM","301.78","-","3076.23","Finale B"
"Romain Jego","K1HM","Dsq","-","-","Finale B"
"Karim Yajjou","K1HM","Dsq","-","-","Finale B"
