"Sélectif N3 Est - Conflans sur Lanterne - 2010-04-04","Course 1","2010-04-04","Nationale 3","134"
"Thibaut Bernot","K1H","99.85","290","258",""
"Pierre Cassin","K1H","100.69","243","268",""
"Simon Barthelemy","K1H","100.72","343","269",""
"Yann Maignant","K1H","100.91","276","271",""
"Matthieu Duval","K1H","101.08","296","273",""
"Quentin Robert","K1H","101.72","398","281",""
"Frederic Blanrue","K1H","101.73","277","282",""
"Thomas Barraco","K1H","101.86","300","283",""
"Nicolas Pinot","K1H","102.38","287","290",""
"Guillaume Armbruster","K1H","102.50","396","291",""
"Damien Siegfried","K1H","102.56","396","292",""
"Clement Gourmelon","K1H","103.15","319","300",""
"Therence Bernard","K1H","103.74","320","307",""
"Laurent Graillot","K1H","103.85","351","309",""
"Florent Bronchain","K1H","103.98","390","310",""
"Jules Marragou","K1H","104.34","260","315",""
"Enzo Seker","K1H","104.89","307","322",""
"Xavier Rat","K1H","105.00","302","323",""
"Mickael Lefuel","K1H","105.52","390","330",""
"Tom Jackson","K1H","105.62","299","331",""
"Gauthier Ruspini","K1H","106.03","405","337",""
"Robin Guebey","K1H","107.31","359","353",""
"Jason Bauge","K1H","107.32","572","353",""
"Andre Kempf","K1H","107.39","337","354",""
"Hippolyte Brunier","K1H","107.41","321","354",""
"Marco Rodrigues","K1H","107.50","419","355",""
"Antoine Leroy","K1H","108.93","467","374",""
"Florian Hugedet","K1H","109.31","373","378",""
"Julien Rocaboy","K1H","110.18","381","390",""
"Robin Malenfer","K1H","111.10","519","401",""
"Maxime Battaini","K1H","111.29","402","404",""
"Nathan Robert","K1H","111.81","383","410",""
"Romain Buchot","K1H","112.12","426","414",""
"David Pierson","K1H","112.43","316","418",""
"Patrick Thevenin","K1H","113.12","418","427",""
"Frederic Caillet","K1H","113.52","351","432",""
"Thomas Garnier","K1H","115.69","552","460",""
"Riyad Khelil","K1H","115.72","469","460",""
"Frederic Saguet","K1H","116.03","472","464",""
"Thibaut Gaudet","K1H","116.86","501","475",""
"Anthony Oudot","K1H","118.20","439","492",""
"Claude Breuzard","K1H","118.37","472","494",""
"Valentin Maire","K1H","118.44","493","495",""
"Benoit Mercier","K1H","118.68","523","498",""
"Lucas Saudon","K1H","118.69","498","498",""
"Loic Joly","K1H","120.94","525","527",""
"Dylan Bard","K1H","122.20","482","543",""
"Romain Genestier","K1H","124.30","566","570",""
"Jeremy Peltier","K1H","127.77","621","614",""
"Gauthier Cuny","K1H","132.19","734","671",""
"Paul-andre Montemont","K1H","132.57","626","676",""
"Michel Ternynck","K1H","133.32","752","685",""
"Arthur Veber","K1H","160.58","272","1035",""
"Vincent Maire","K1H","167.31","570","1121",""
"Alexandre Allemang","K1H","Nt","-","-",""
