"Sélectif Régional de Hermes - 60370 Hermes - Qualification - 2019-10-06","Qualification","2019-10-06","Régional","159"
"Maeva Firon","K1D","150.08","726.13","814.77",""
"Elodie Thomasset","K1D","150.48","781.78","819.45",""
"Angeline Dheilly","K1D","150.56","930.21","820.39",""
"Karelle Payen","K1D","159.5","728.35","925.12",""
"Manon Venet","K1D","159.69","1140.12","927.36",""
"Noemie Tchoua","K1D","160.5","660.45","936.84",""
"Catherine Boulan","K1D","161.41","1035.42","947.51",""
"Lola Arroyo","K1D","166.03","1007.5","1001.62",""
"Clementine Thierus","K1D","170.84","1067.09","1057.98",""
"Romane Bedoin","K1D","206.24","920.11","1472.69",""
"Lou-ann Delmotte","K1D","228.41","-","1732.43",""
"Marie Vandeville","K1D","234.82","-","1807.51",""
"Nina Pesce-roue","K1DM","123.41","410.31","502.32",""
"Emma Pouilly","K1DM","127.16","592.35","546.26",""
"Coline Regnier","K1DM","128.72","493.68","564.54",""
"Jade Cascarino","K1DM","139.81","631.77","694.46",""
"Jade Dendele","K1DM","141.75","793.66","717.17",""
"Lea Brioiskheroufi","K1DM","162.78","-","963.55",""
"Laure Prieur","K1DM","165.19","1660.63","991.79",""
"Blanche Leborgne","K1DM","214.35","-","1567.7",""
"Yvan Leblond","K1H","96.84","149.32","338.54",""
"Amaury Brucher","K1H","97.28","247.3","344.36",""
"Helwann Rachdi","K1H","99.06","354.69","367.92",""
"Eden Quevremont","K1H","99.22","330.1","370.04",""
"Thibaut Evrard","K1H","99.34","341.89","371.63",""
"Matheo Dupont","K1H","100.07","314.38","381.29",""
"Nathan Huguenin","K1H","100.25","342.65","383.68",""
"Hugo Pidoux","K1H","101.72","357.68","403.14",""
"Pierre Baux","K1H","103.44","391.39","425.91",""
"Mathis Piepho","K1H","103.5","347.14","426.7",""
"Pierre Baudouin","K1H","103.72","-","429.61",""
"Benoit Chantry","K1H","104.78","168.66","443.65",""
"Dimitry Vandenabeele","K1H","105.31","454.2","450.66",""
"Ianis Fleury","K1H","105.56","285.2","453.97",""
"Axel Girard","K1H","105.96","419.8","459.27",""
"Jeremy Huguenin","K1H","107.1","334.51","474.36",""
"Paul Pesant","K1H","107.49","502.24","479.52",""
"Fabrice Bethune","K1H","108","-","486.27",""
"Hugo Tellier","K1H","108.69","460.99","495.41",""
"Baptiste Duboc","K1H","109.19","403.62","502.03",""
"Robin Dheilly","K1H","110.85","369.3","524",""
"Adrien Gaillot","K1H","112.35","540.73","543.86",""
"Beranger Doulle","K1H","116.19","481.65","594.69",""
"Tony Faria","K1H","117.44","618.73","611.24",""
"Theo Siguret","K1H","118.5","534.05","625.28",""
"Flavien Firon","K1H","119.81","590.77","642.62",""
"Cosme Duboc","K1H","122.88","491.38","683.26",""
"Pierre Carton","K1H","124","747.66","698.09",""
"Pierre Yves Tempier","K1H","126.19","698.61","727.08",""
"Francois Patte","K1H","127.31","-","741.9",""
"Maxime Kerbrat","K1H","130.03","483.91","777.91",""
"Mathieu Benkaroun","K1H","130.97","743.37","790.36",""
"Mao Caron","K1H","133.62","840.41","825.44",""
"Michel Joly","K1H","134.34","656.26","834.97",""
"Theotime Plumet","K1H","135.16","966.13","845.82",""
"Sebastien Marchandin","K1H","137.55","1156.59","877.46",""
"Esteban De Andres","K1H","138.65","-","892.03",""
"Eric Bernard","K1H","138.65","737.68","892.03",""
"Elouan Fouquier","K1H","144.63","717.28","971.19",""
"Arnaud Grignon","K1H","147.28","947.87","1006.27",""
"Denis Marrocos","K1H","148.44","892.42","1021.63",""
"Jean Baptiste Caillieret","K1H","154.67","1270.29","1104.1",""
"Paul Cascarino","K1H","161.57","406.68","1195.44",""
"Louis Vanbersel","K1H","169.84","434.02","1304.93",""
"Didier Firon","K1H","175.1","-","1374.56",""
"Evan Maesse","K1H","183.4","-","1484.44",""
"Thibault Wurceldorf","K1H","209.43","980.13","1829.03",""
"Quentin Podevin","K1H","212.69","503.05","1872.18",""
"Yanis Mancaux","K1H","256.71","-","2454.93",""
"Cedric Cotte","K1H","266.79","2491.9","2588.37",""
"Leni Perreau","K1HM","98.32","385.08","358.13",""
"Axel Colin","K1HM","101.93","336.27","405.92",""
"Benjamin Marty Carpentier","K1HM","109.25","665.12","502.82",""
"Pierric Clipet","K1HM","112.06","464.83","540.02",""
"ClÉment Tamion","K1HM","112.37","839.59","544.12",""
"Timothee Clep","K1HM","118.3","680.32","622.63",""
"Clement Brault","K1HM","118.5","715.86","625.28",""
"Mael Thierus","K1HM","124.7","781.51","707.35",""
"Bazil Grignon","K1HM","127.96","956.42","750.51",""
"Nathan Morris","K1HM","127.97","-","750.64",""
"Hugo Hernoux","K1HM","129.35","817.04","768.91",""
"Kavishan Kulatunga","K1HM","132.28","-","807.7",""
"Quentin Dubelloy","K1HM","135.47","1168.51","849.93",""
"Eugene Pataut Ghez","K1HM","139.18","-","899.04",""
"Qeis Khalfaoui","K1HM","142.3","725.62","940.34",""
"Louis Rolland","K1HM","143.47","-","955.83",""
"Romain Podevin","K1HM","143.91","-","961.66",""
"Enzo Marchand","K1HM","143.93","816.39","961.92",""
"Antoine Fournier","K1HM","145.24","-","979.26",""
"Hugo Jouvry","K1HM","156.9","1436.29","1133.62",""
"Victor Berland Laporte","K1HM","158.45","-","1154.14",""
"Sebastien De La Rosa","K1HM","163.55","2358.61","1221.66",""
"Raphael Paul Donatien","K1HM","166","-","1254.09",""
"Nathan Gobert","K1HM","167.6","-","1275.27",""
"Leo Le Sort","K1HM","181.85","999.61","1463.92",""
"Helois Dargent","K1HM","183.68","-","1488.14",""
"Titouan Roussel","K1HM","184.19","-","1494.89",""
"Matteo Varlet","K1HM","279.77","-","2760.2",""
"Dimitri Zavodszki","K1HM","286.01","-","2842.81",""
"Samuel Marquant","K1HM","286.02","-","2842.94",""
