"Challenge Bernard Begard - Montreuil-sur-Mer - 2009-10-04","Course 2","2009-10-04","Régional","113"
"Vianney Tillier","K1H","105.53","259","292",""
"Luc Wojtasiak","K1H","105.77","271","295",""
"Gaspard Gindt","K1H","106.00","333","298",""
"Jeremy Bretteville","K1H","106.89","252","309",""
"Arnaud Delattre","K1H","106.99","-","310",""
"Lancelot Meillier","K1H","107.23","312","313",""
"Gaspard Vivien","K1H","108.61","422","329",""
"Jess Masson","K1H","109.45","291","340",""
"Elliot Gest","K1H","110.52","-","353",""
"Maxime Poupart","K1H","111.00","-","359",""
"Gaetan Leroux","K1H","111.26","379","362",""
"Jeanchristophe Laroque","K1H","111.66","379","366",""
"Leo Boulard","K1H","112.71","-","380",""
"Vincent Fontaine","K1H","113.07","-","384",""
"Stephane Sagnier","K1H","113.24","-","386",""
"Kevin Pantofel","K1H","113.59","427","390",""
"Thibault Dhennin","K1H","113.72","323","392",""
"Simon Bernard","K1H","113.83","-","393",""
"Matthieu Rousseau","K1H","114.31","327","399",""
"Alexis Averlant","K1H","115.22","-","410",""
"Edouard Gracias","K1H","115.69","-","415",""
"Mathieu Dutendas","K1H","116.23","317","423",""
"Quentin Deroubaix","K1H","116.96","-","431",""
"Clement Sannier","K1H","118.86","469","454",""
"Benjamin Soroka","K1H","122.45","-","498",""
"Alban Duboc","K1H","122.61","-","500",""
"Antoine Martin","K1H","124.08","552","518",""
"Loic Ozeray","K1H","124.20","-","520",""
"Francois Palant","K1H","124.29","-","521",""
"Eric Bernard","K1H","125.74","592","538",""
"Denis Martin","K1H","126.26","524","544",""
"Remi Lengagne","K1H","127.30","500","557",""
"Johann Sacleux","K1H","128.97","566","577",""
"Thierry Codemo","K1H","136.22","-","666",""
"Adrien Barlier","K1H","137.49","664","681",""
"Etienne Averlant","K1H","139.42","-","705",""
"Martial Langlois","K1H","140.27","-","715",""
"Christophe Hemar","K1H","141.52","-","730",""
"Florent Lacroix","K1H","143.42","-","754",""
"Nicolas Guerin","K1H","153.62","-","877",""
"Arman Karimi","K1H","168.48","-","1058",""
"Nicolas Verger","K1H","182.41","-","1228",""
"Bastien Belembert","K1H","Nt","-","-",""
"Bruno Dumouilla","K1H","Nt","-","-",""
"Alexis Dezitter","K1H","Nt","-","-",""
"Xavier Leclercq","K1H","Nt","-","-",""
"Adrien Helbert","K1H","Nt","-","-",""
"Martin Jaze","K1H","Nt","-","-",""
