"Championnat Régional de Slalom - Championnat Régional De Slalom Aquitaine - Qualification - 2015-06-21","Qualification","2015-06-21","Régional","133"
"Maxime Tilhet","K1H","92.33","164.93","133.28",""
"Kendaor Le Huitou","K1H","92.7","107.83","137.64",""
"Louis Georges Lafont","K1H","95.12","-","166.14",""
"Florian Campagnole","K1H","96.2","159.83","178.86",""
"Theo Celjo","K1H","96.51","179.38","182.51",""
"Titouan Dupras","K1H","97","131.73","188.28",""
"Vincent Fondeviole","K1H","97.14","154.07","189.93",""
"Nicolas Caussanel","K1H","97.54","149.17","194.64",""
"Flavien San Augustin","K1H","101.61","285.79","242.58",""
"Hugo Mouffle","K1H","102.09","288.85","248.23",""
"Pierre-louis Saussereau","K1H","104.76","281.42","279.68",""
"Nicolas Honzatko","K1H","105.17","-","284.51",""
"Olivier Cail","K1H","105.18","268.53","284.63",""
"Robin Vandenbossche","K1H","105.98","276.39","294.05",""
"Theau Le Loch","K1H","106.81","314.02","303.82",""
"Edouard Lecomte","K1H","107.18","264.99","308.18",""
"Quentin Clerc","K1H","108.26","271.79","320.9",""
"Jeanmichel Bibes","K1H","108.33","280.44","321.72",""
"Marc Darribere","K1H","108.58","362.84","324.67",""
"Antoine Laye","K1H","109.57","327.21","336.33",""
"Guillaume Fletcher","K1H","109.81","-","339.16",""
"Pierre Campagne","K1H","109.87","311.89","339.86",""
"Vincent Gardere","K1H","110.26","346.31","344.46",""
"Florent Iraundegui","K1H","111.02","261.72","353.41",""
"Clement Caillard","K1H","114.2","442.01","390.86",""
"Marc Lalande","K1H","114.64","-","396.04",""
"Florian Giraud","K1H","115.57","380.97","406.99",""
"Jean Bernard Lacave","K1H","116.08","-","413",""
"Luc Sarramea","K1H","116.12","356.9","413.47",""
"Nicolas Corbin","K1H","116.18","356.09","414.18",""
"Manuel Legros","K1H","116.46","356.49","417.48",""
"Paul Commenges","K1H","116.91","243.46","422.78",""
"Antoine Dumaye","K1H","119.38","406.25","451.87",""
"Eric Vidou","K1H","122.52","413.22","488.85",""
"Thiefaine Verge","K1H","123.44","570.56","499.68",""
"Paul Luquet","K1H","123.81","393.78","504.04",""
"Alois Bertrand","K1H","124.82","446.89","515.94",""
"Baptiste Lauroua","K1H","124.83","433.32","516.06",""
"Jose Pereira","K1H","128.53","418.16","559.63",""
"Franck Le Coz","K1H","134.59","555.32","631.01",""
"Robin Mougel","K1H","137.47","-","664.92",""
"Jean Luc Pessoni","K1H","138.43","612.1","676.23",""
"Aven Gilham","K1H","138.55","638.79","677.64",""
"Nicolas Saurat","K1H","139.35","486.63","687.07",""
"Compton Cruickshank","K1H","143.43","-","735.12",""
"Damien Caillard","K1H","149.93","539.12","811.67",""
"Theo Dunie","K1H","152.28","497.87","839.35",""
"Loan Jioux","K1H","157.03","881.91","895.3",""
"Paul Pradalie","K1H","159.74","393","927.21",""
"Marc Cordier","K1H","161.24","328.45","944.88",""
"Marc Cailhol","K1H","240.11","505.09","1873.78",""
"Louis Decoopman","K1H","292.86","523.12","2495.05",""
"Bastien Darmayan","K1H","309.09","814.34","2686.2",""
"Robin Genty","K1H","Abs","-","-",""
"Loup Fauries","K1H","Abs","-","-",""
"Nicolas Peyroux","K1H","Abd","-","-",""
"Paul Lefevre","K1H","Des","-","-",""
"Steeve Fillastre","K1H","Abd","-","-",""
"Lucas Mauer","K1H","Abs","-","-",""
"Jean Lemire","K1H","Abs","-","-",""
"Adrien Mesmoudi","K1HM","116.56","-","-",""
"Tonin Desmet","K1HM","141.36","-","-",""
"Marc Sarramea","K1HM","144.44","-","-",""
"Angus Cruickshank","K1HM","191.3","-","-",""
"Paul Beguin","K1HM","291.45","-","-",""
"Jean Monpouillan","K1HM","Abs","-","-",""
"Simon Metra","K1HM","Abs","-","-",""
"Antonin Maystre","K1HM","Abs","-","-",""
"Jeremie Lacroix","K1HM","Abs","-","-",""
"Tomy Dandonneau","K1HM","Abs","-","-",""
"Valentin Courtiade","K1HM","Abs","-","-",""
"Alex Mureau","K1HM","Abs","-","-",""
"Gedeon Cothias-faure","K1HM","Abs","-","-",""
"Julien Coric","K1HM","Abs","-","-",""
"Louis Casenave","K1HM","Abs","-","-",""
"Antonin Beyneix","K1HM","Abs","-","-",""
"Arthur Accini","K1HM","Abs","-","-",""
