"1ère MANCHE COUPE DE LORRAINE SLALOM - Ancerville - 2004-10-17","Course 1","2004-10-17","Régional","193"
"Guillaume Carpentier","K1H","216.98","503","486",""
"Jeanty Thomas","K1H","219.29","-","503",""
"Carisey Pierre","K1H","219.75","635","507",""
"Thibault Gautherot","K1H","220.86","886","515",""
"Thomann Simon","K1H","222.05","-","524",""
"Gautherot Mathieu","K1H","222.11","529","524",""
"Arthur Veber","K1H","222.23","521","525",""
"Benjamin Fourmet","K1H","223.24","-","532",""
"Geyl Loic","K1H","223.59","-","536",""
"Bontemps Romain","K1H","223.82","742","537",""
"Aurelien Desgrez","K1H","225.15","536","547",""
"Stock Marc-Antoine","K1H","226.02","-","553",""
"Leclerc Jerome","K1H","226.74","1149","559",""
"Argenson Thomas","K1H","229.20","472","577",""
"Potelle Pierreandre","K1H","229.31","169","577",""
"Henriot Thomas","K1H","237.70","-","639",""
"Buffler Ambroise","K1H","238.56","-","646",""
"Germain Carre","K1H","240.04","-","657",""
"Lillette Mael","K1H","254.54","368","765",""
"Dupin Nicolas","K1H","257.71","-","788",""
"Dubois Mortimer","K1H","258.22","-","792",""
"Romain Viry","K1H","261.62","451","817",""
"Brouillard Aurelien","K1H","269.87","-","878",""
"Demoury Jean Briac","K1H","273.99","-","910",""
"Albertelli Romain","K1H","280.01","665","953",""
"Brouillard Thibault","K1H","282.84","-","975",""
"Juillet Edouard","K1H","285.53","1101","995",""
"Ardelean Dan Marian","K1H","290.45","-","1032",""
"Rayssac Fabien","K1H","294.94","-","1064",""
"Paul Baldi","K1H","297.26","-","1082",""
"Cambier Jonathan","K1H","299.02","-","1095",""
"Pierron Aurelien","K1H","308.28","-","1164",""
"Doquois Romain","K1H","330.54","-","1329",""
"Quentin Moreaux","K1H","339.84","-","1398",""
"Krein Jeremy","K1H","348.82","-","1465",""
"Brillaud Robin","K1H","375.54","-","1663",""
"Andre Kempf","K1H","388.23","-","1757",""
"Francis Duchiron","K1H","397.69","968","1827",""
"Aimeric Brouillard","K1H","734.48","-","4328",""
