"Championnat régional slalom - Chasseneuil du Poitou - 2010-05-16","Course 1","2010-05-16","Régional","148"
"Ludovic Di Nisi","K1H","87.48","20","89",""
"Antoine Launay","K1H","88.69","63","105",""
"Louis-maxime Main","K1H","89.32","104","113",""
"Antoine Egreteau","K1H","89.58","-","117",""
"Alexandre Di Nisi","K1H","91.62","137","145",""
"Nicolas Labat","K1H","92.15","26","152",""
"Felix Merzeau","K1H","92.59","137","158",""
"Jean Messialle","K1H","93.08","134","165",""
"Lucas Kelifaoui","K1H","94.52","95","184",""
"Paul Messialle","K1H","94.59","196","185",""
"Fabien Cambon","K1H","95.03","170","191",""
"Clement Faure","K1H","95.58","-","199",""
"Marc Robert","K1H","96.21","218","207",""
"Herve Launay","K1H","96.30","260","208",""
"Philippe Niquet","K1H","96.31","235","208",""
"Antoine Dubost","K1H","96.35","187","209",""
"David Riffaud","K1H","96.46","157","210",""
"Ronan Goualc'h","K1H","97.18","-","220",""
"Damien Launay","K1H","97.25","188","221",""
"Laurent Urvois","K1H","97.40","-","224",""
"Thibaud Delaunay","K1H","97.44","174","224",""
"Cedric Forgit","K1H","97.97","-","230",""
"Etienne Chauvin","K1H","98.00","236","232",""
"Valentin Lesseau","K1H","98.33","208","236",""
"Gaetan Coat","K1H","98.38","247","236",""
"Damien Caillon","K1H","98.75","204","242",""
"James Duvernoy","K1H","98.76","177","242",""
"Antoine Delcourt","K1H","99.04","341","245",""
"Olivier Nonnet","K1H","99.55","254","252",""
"Guillaume Chainier","K1H","99.72","216","254",""
"Julien Riffaud","K1H","99.93","175","258",""
"Alexandre Dherbilly","K1H","100.04","291","259",""
"Clement Praille","K1H","100.18","244","261",""
"Yoann Turowsky","K1H","100.29","219","262",""
"Hugo Le Goff","K1H","101.46","282","278",""
"Thomas Marino","K1H","102.06","255","287",""
"Antoine Giudicelli","K1H","102.68","-","295",""
"Marin Daigne","K1H","104.34","407","317",""
"Baptiste Piveteau","K1H","104.64","253","322",""
"Valentin Cesbron","K1H","104.85","339","324",""
"Jeremy Rouet","K1H","105.19","371","328",""
"Jason Brothier","K1H","105.90","347","339",""
"Guillaume Chasseriault","K1H","106.37","356","344",""
"Mathis Besse","K1H","106.38","329","345",""
"Benjamin Sanella","K1H","106.42","279","345",""
"Henri Despont","K1H","106.47","374","346",""
"Romain Gaillard","K1H","106.65","338","349",""
"Jordan Rocdunos","K1H","108.06","384","368",""
"Charlie Baron","K1H","108.33","379","371",""
"Xavier Flatreau","K1H","108.39","362","372",""
"Hippolyte Granados","K1H","108.51","481","374",""
"Jean-philippe Brothier","K1H","109.13","353","383",""
"Loup Charles","K1H","111.34","476","412",""
"Paulin Cachanado","K1H","112.03","487","422",""
"Kevin Rocdunos","K1H","112.34","420","425",""
"Jean-noel Biteau","K1H","113.64","421","443",""
"Valentin Soullard","K1H","114.93","418","460",""
"Daniel Bregazzi","K1H","116.44","578","482",""
"Richard Fradin","K1H","116.49","413","482",""
"Thomas Megard","K1H","116.99","653","488",""
"Francois Giudicelli","K1H","118.90","-","514",""
"Julien Anglade","K1H","126.34","685","616",""
"Thierry Dugue","K1H","126.87","614","622",""
"Emmanuel Despont","K1H","127.64","-","633",""
"Thibault Gaillardin","K1H","142.99","-","841",""
"Kevin Dubreil","K1H","163.99","-","1125",""
"Patrick Desouche","K1H","Nt","-","-",""
"Jonathan Bourdier","K1H","Nt","-","-",""
"Romain Caillon","K1H","Nt","-","-",""
