"Championnat Régional de Slalom - 77311 Champs Sur Marne - Finale - 2019-06-16","Finale","2019-06-16","Régional","187"
"Axel Colin-Nina Pesce-roue","C2MM","147.28","880.98","558.55","Finale A"
"Clement Brault-Jade Dendele","C2MM","190.24","1011.53","1009.48","Finale A"
"Teo Tester-Camille Brugvin","C2MM","219.4","979.62","1315.55","Finale A"
"Loan Battistuzzi","K1D","109.43","636.25","232.42","Finale A"
"Clara Delahaye","K1D","111.27","352.59","252.93","Finale A"
"Nelia Barbosa","K1D","111.98","403.88","260.84","Finale A"
"Adele Charlaigre","K1D","117.31","367.97","320.25","Finale A"
"Alina Rassel","K1D","119.89","428.87","349.01","Finale A"
"Alexia Bechu","K1D","120.36","450.89","354.25","Finale A"
"Eva Dauvergne","K1D","122.53","462.04","378.44","Finale A"
"Julie Dupas","K1D","123.32","384.41","387.25","Finale A"
"Souhayla Khattabi","K1D","127.12","435.65","429.61","Finale A"
"Lea Feuillard","K1D","129.36","499.99","454.57","Finale A"
"Elise Vegnaduzzo","K1D","134.87","510.94","515.99","Finale A"
"Nina Pesce-roue","K1DM","128.59","411.83","445.98","Finale A"
"Coline Regnier","K1DM","130.73","497.82","469.84","Finale A"
"Emma Pouilly","K1DM","137.17","592.35","541.62","Finale A"
"Camille Brugvin","K1DM","146.09","623.93","641.05","Finale A"
"Chloe Nicolaou","K1DM","154.27","1564.85","732.23","Finale A"
"Thomas Durand","K1H","84.23","30.19","73.58","Finale A"
"Vincent Delahaye","K1H","88.15","47.18","122.95","Finale A"
"Jonas Turmeau","K1H","91.05","87.62","159.48","Finale A"
"Loic Monbel","K1H","92.6","255.41","179","Finale A"
"Hector Combes","K1H","92.71","267.26","180.39","Finale A"
"Benoit Chantry","K1H","93.96","148.21","196.13","Finale A"
"Amaury Brucher","K1H","94.88","265.58","207.72","Finale A"
"Nicolas Feuillard","K1H","95.13","196.85","210.87","Finale A"
"Vincent Reiter","K1H","96.98","520.83","234.17","Finale A"
"Yvan Leblond","K1H","98.79","217.39","256.97","Finale A"
"Denis Parizia","K1H","99.29","313.51","263.27","Finale A"
"Theo Loury","K1H","99.74","334.43","268.94","Finale A"
"Quentin Moreaux","K1H","100.56","292.6","279.27","Finale A"
"Quentin Henri","K1H","101.1","381.99","286.07","Finale A"
"Julien Antide","K1H","101.15","304.64","286.7","Finale A"
"Romain Huguenin","K1H","102.41","293.16","302.57","Finale A"
"Mathis Piepho","K1H","103.5","350.6","316.3","Finale A"
"Helwann Rachdi","K1H","103.99","354.69","322.47","Finale A"
"Yohan Marck","K1H","104.13","330.32","324.23","Finale A"
"Melvin Queudeville","K1H","105.72","282.35","344.26","Finale A"
"Julien Fougeron","K1H","105.83","345.05","345.65","Finale A"
"Jeremy Huguenin","K1H","107.24","358.26","363.41","Finale A"
"Tom Barthelemy","K1H","107.51","356.66","366.81","Finale A"
"Francois Durand","K1H","107.55","443.76","367.31","Finale A"
"Loick Manoury","K1H","110.14","433.65","399.93","Finale A"
"Matheo Dupont","K1H","110.61","321.87","405.85","Finale A"
"Antoine Huger","K1H","111.02","460.02","411.02","Finale A"
"Thibaut Evrard","K1H","111.13","341.89","412.4","Finale A"
"Antoine Pas","K1H","112.15","451.18","425.25","Finale A"
"Axel Girard","K1H","113.5","419.8","442.25","Finale A"
"Samuel Tahaafe","K1H","113.55","456.86","442.88","Finale A"
"Clery Girard","K1H","113.67","512.87","444.4","Finale A"
"Hugo Tellier","K1H","118.7","460.99","507.75","Finale A"
"Quentin Podevin","K1H","122.53","503.05","555.99","Finale A"
"Hugo Pidoux","K1H","534.29","357.68","5742.39","Finale A"
"Axel Colin","K1HM","102.22","364.64","300.17","Finale A"
"Leni Perreau","K1HM","107.79","392.9","370.33","Finale A"
"Pierric Clipet","K1HM","111.35","469.19","415.17","Finale A"
"Thomas Gaud","K1HM","122.06","606.07","550.07","Finale A"
"Clement Brault","K1HM","128.2","715.86","627.41","Finale A"
"Benjamin Marty Carpentier","K1HM","129.59","665.12","644.92","Finale A"
"Hugo Hernoux","K1HM","137.26","1009.29","741.53","Finale A"
"Enzo Marchand","K1HM","139.3","835.08","767.22","Finale A"
"Teo Tester","K1HM","141.3","799.5","792.41","Finale A"
"Leo Dupont","K1HM","142.02","956.93","801.48","Finale A"
"Bazil Grignon","K1HM","163.69","838.4","1074.43","Finale A"
"Antonin Costa","K1HM","208.6","814.03","1640.1","Finale A"
"Souhayla Khattabi","C1D","134.94","599.3","434.03","Finale B"
"Julie Dupas","C1D","142.8","592.2","516.53","Finale B"
"Pauline Lybrecht","C1D","150.07","657.74","592.84","Finale B"
"Alina Rassel","C1D","165.92","951.51","759.21","Finale B"
"Florence Marchal","C1D","169.34","1062.4","795.11","Finale B"
"Lucas Jamart","C1H","117.37","436.45","425.6","Finale B"
"Paul Lecomte","C1H","124.53","562.95","511.49","Finale B"
"Denis Parizia","C1H","130.57","755.79","583.94","Finale B"
"Jacques Nardeau","C1H","131.02","594.3","589.35","Finale B"
"Yohan Marck","C1H","134.84","646.7","635.17","Finale B"
"Robin Le Mazurier","C1H","137.79","807.45","670.56","Finale B"
"Antoine Pas","C1H","139.01","649.21","685.19","Finale B"
"Gilles Gaud","C1H","141.93","632.18","720.22","Finale B"
"Melvin Queudeville","C1H","142.13","607.57","722.62","Finale B"
"Antoine Huger","C1H","144.1","891.4","746.25","Finale B"
"Mathieu Benkaroun","C1H","150.4","978.85","821.82","Finale B"
"Louis Marvillet","C1H","152.14","1079.05","842.7","Finale B"
"Erwan Masson","C1H","154.7","804.47","873.4","Finale B"
"Xavier Perreau","C1H","213.79","922.7","1582.25","Finale B"
"Alain Brucher","C1H","260.27","1389.23","2139.81","Finale B"
"Clement Brault","C1HM","144.35","908","749.25","Finale B"
"Enzo Marchand","C1HM","150.24","794.27","819.91","Finale B"
"Kyllian Leroux Senac","C1HM","166.15","1426.39","1010.76","Finale B"
"Xavier Perreau-Marc-olivier Dufour","C2H","359.4","-","3132.99","Finale B"
"Charlotte Chauvey","K1D","128.32","475.14","447.98","Finale B"
"Pauline Lybrecht","K1D","133.78","591.1","508.83","Finale B"
"Florence Marchal","K1D","134.97","589.71","522.1","Finale B"
"Noemie Tchoua","K1D","144.29","671.94","625.99","Finale B"
"Karelle Payen","K1D","148.9","779.31","677.38","Finale B"
"Elodie Thomasset","K1D","150.2","781.78","691.86","Finale B"
"Coralie Delmotte","K1D","158.84","805.79","788.17","Finale B"
"Amelie Gonzalez","K1D","169.55","783.88","907.55","Finale B"
"Maelle Bedoin","K1D","182.8","1074.46","1055.25","Finale B"
"Manon Venet","K1D","195.74","1110.44","1199.48","Finale B"
"Sandrine Arnal","K1D","202.33","722.91","1272.94","Finale B"
"Solene Cantet","K1DM","140.72","898.39","586.2","Finale B"
"Jade Cascarino","K1DM","147.13","1356.76","657.65","Finale B"
"Jade Dendele","K1DM","151.02","886.3","701.01","Finale B"
"Oumou Ndiaye","K1DM","240.67","3267.61","1700.3","Finale B"
"Cosme Duboc","K1H","117.18","491.38","493.61","Finale B"
"Fabian Loemie","K1H","118.12","579.58","505.45","Finale B"
"Gerard Lafargue","K1H","119.06","586.76","517.29","Finale B"
"Elias Bouddour","K1H","120.03","1169.54","529.5","Finale B"
"Leo Dos Santos","K1H","121.09","513.53","542.86","Finale B"
"Philippe Valeri","K1H","121.92","583.19","553.31","Finale B"
"Erwan Laloux","K1H","122.49","540.09","560.49","Finale B"
"Maixent De Poucques","K1H","122.92","674.85","565.91","Finale B"
"Garvan Boulben","K1H","124.42","711.46","584.8","Finale B"
"Robin Le Mazurier","K1H","124.6","559.06","587.07","Finale B"
"Paul Lecomte","K1H","125.54","615.15","598.91","Finale B"
"Philippe Piat","K1H","125.81","502.79","602.31","Finale B"
"Pierre Yves Tempier","K1H","130.88","698.61","666.17","Finale B"
"Mathieu Benkaroun","K1H","131.6","743.37","675.24","Finale B"
"Sebastien Tester","K1H","132","860.78","680.27","Finale B"
"Lucas Franetich","K1H","136.27","1110.65","734.06","Finale B"
"Ibrahim Ben-belgacem","K1H","137.36","1118.01","747.79","Finale B"
"Alain Brucher","K1H","137.45","764.47","748.92","Finale B"
"Laurent Bes","K1H","137.63","767.78","751.19","Finale B"
"Eric Bernard","K1H","140.13","727.17","782.68","Finale B"
"Arnaud Grignon","K1H","142.16","948.9","808.25","Finale B"
"Axel Tempier","K1H","145.75","826.7","853.46","Finale B"
"Adrien Andre","K1H","147.35","1560.12","873.62","Finale B"
"Claude Breuzard","K1H","148.42","673.49","887.1","Finale B"
"Theotime Plumet","K1H","148.58","1043.15","889.11","Finale B"
"Samuel Gornet","K1H","150.36","1002.86","911.53","Finale B"
"Yves Souchal","K1H","151.81","941.62","929.79","Finale B"
"Hugo Favrelle","K1H","152.86","1058.69","943.02","Finale B"
"Denis Marrocos","K1H","155.15","1043.72","971.86","Finale B"
"Joseph Simonpietri","K1H","170.25","1617.59","1162.06","Finale B"
"Louis Marvillet","K1H","180.52","560.14","1291.42","Finale B"
"Clement Couvent","K1H","181.82","716.32","1307.79","Finale B"
"Marc-olivier Dufour","K1H","213.52","920.14","1707.07","Finale B"
"Wally Ndiaye","K1H","235.01","2145.19","1977.76","Finale B"
"Pierre-louis Mingasson","K1HM","118.45","629.33","509.6","Finale B"
"ClÉment Tamion","K1HM","124.01","1099.54","579.63","Finale B"
"Qeis Khalfaoui","K1HM","139.27","1022.84","771.84","Finale B"
"Joris Bonine","K1HM","156.09","2042.75","983.7","Finale B"
"Leandre Richard","K1HM","162.31","1046.3","1062.05","Finale B"
"Hugo Jouvry","K1HM","163.09","1557.76","1071.87","Finale B"
"Baptiste Paris","K1HM","163.98","1467.33","1083.08","Finale B"
"Jules Dagonet","K1HM","166.52","1130.56","1115.08","Finale B"
"Souleymane Ndoye","K1HM","166.97","1020.87","1120.75","Finale B"
"Adrien Lefebvre","K1HM","167.22","-","1123.89","Finale B"
"Sebastien De La Rosa","K1HM","204.24","2614.76","1590.19","Finale B"
