"Double Sélectif Régional de Slalom - Troyes - Course n°1 | Finale - 2018-09-22","Course n°1 | Finale","2018-09-22","Régional","148"
"Gregory Ganthier","K1H","104.47","486.35","481.48","Course n°1 | Finale A"
"Loic Bourgeois","K1H","104.63","474.06","483.73","Course n°1 | Finale A"
"Aymeric Dollat","K1H","107.86","470.2","529.2","Course n°1 | Finale A"
"Antoine Pas","K1H","108.26","412.32","534.83","Course n°1 | Finale A"
"Philippe Piat","K1H","113.76","506.36","612.26","Course n°1 | Finale A"
"Theo Reby","K1HM","90.8","295.76","289.05","Course n°1 | Finale A"
"Arthur Pichancourt","K1HM","99.44","506.74","410.67","Course n°1 | Finale A"
"Nathan Frison","K1HM","102.38","434.9","452.06","Course n°1 | Finale A"
"Axel Colin","K1HM","107.72","532.35","527.23","Course n°1 | Finale A"
"Adrien Gaillot","K1HM","116.61","640.86","652.38","Course n°1 | Finale A"
"Robin Le Mazurier","K1HM","123.35","726.01","747.26","Course n°1 | Finale A"
"Romain Moret","K1HM","128.12","813.44","814.4","Course n°1 | Finale A"
"Gauthier Lepolard","K1HM","130.03","770.79","841.29","Course n°1 | Finale A"
"Clement Brault","K1HM","141.24","915.27","999.1","Course n°1 | Finale A"
"Souhayla Khattabi","C1DM","148.41","1081.11","756.83","Course n°1 | Finale B"
"Clara Hulin","C1DM","197.22","1041.56","1329.42","Course n°1 | Finale B"
"Axel Guilleret","C1H","105.19","611.48","426.1","Course n°1 | Finale B"
"Guillaume Gonseth","C1H","105.49","405.43","430.13","Course n°1 | Finale B"
"Philippe Senechal","C1H","106.65","427.54","445.67","Course n°1 | Finale B"
"Cedric Mace","C1H","107.82","467.73","461.37","Course n°1 | Finale B"
"Jules Latimier","C1H","108.05","458.4","464.45","Course n°1 | Finale B"
"Vivien Stemmelen","C1H","108.64","417.59","472.36","Course n°1 | Finale B"
"Jacques Nardeau","C1H","114.55","589.72","551.59","Course n°1 | Finale B"
"Jean Christophe Boivin","C1H","114.64","462.39","552.8","Course n°1 | Finale B"
"Jerome Talbot","C1H","115","576.11","557.63","Course n°1 | Finale B"
"Antoine Paumier","C1H","115.47","714.79","563.92","Course n°1 | Finale B"
"Antoine Pas","C1H","117.65","696.94","593.16","Course n°1 | Finale B"
"Alexis Pacholak","C1H","118.12","630.36","599.45","Course n°1 | Finale B"
"Emrys Meddour","C1H","133.39","818.73","804.17","Course n°1 | Finale B"
"Boris Bonenfant","C1H","Dsq","-","-","Course n°1 | Finale B"
"Robin Le Mazurier","C1HM","199.56","900.97","1691.3","Course n°1 | Finale B"
"Alexandre Paumier","C1HM","224.03","3647.72","2019.37","Course n°1 | Finale B"
"Maxime Paumier","C1HM","293.5","2363.49","2950.73","Course n°1 | Finale B"
"Nolann Besnard","C1HM","Des","-","-","Course n°1 | Finale B"
"Alain Brucher-Jacques Nardeau","C2H","134.84","925.31","741.45","Course n°1 | Finale B"
"Emrys Meddour-Dylan Simon","C2H","554.77","1101.19","6115.44","Course n°1 | Finale B"
"Corentin Monasse-MaÏa Gombert","C2M","118.52","435.32","406.19","Course n°1 | Finale B"
"Jules Latimier-Mylene Guilcher","C2M","146.18","785.12","730.68","Course n°1 | Finale B"
"Fiona Gille","K1D","117.32","481.95","477.37","Course n°1 | Finale B"
"Mylene Guilcher","K1D","120.29","389.46","514.37","Course n°1 | Finale B"
"Charlotte Doucet","K1D","123.06","571.36","548.88","Course n°1 | Finale B"
"Ines Vinet","K1D","123.93","615.3","559.72","Course n°1 | Finale B"
"Gaelle Delaborde","K1D","124.17","647.06","562.71","Course n°1 | Finale B"
"Delhia Petiot","K1D","128.72","510.62","619.4","Course n°1 | Finale B"
"Elodie Berrot","K1D","130.49","-","641.44","Course n°1 | Finale B"
"Katia Talbot","K1D","157.98","1020.98","983.9","Course n°1 | Finale B"
"Souhayla Khattabi","K1DM","126.25","574.5","588.62","Course n°1 | Finale B"
"Helene Hincelin","K1DM","139.4","909.32","752.44","Course n°1 | Finale B"
"Clara Hulin","K1DM","253.3","828.33","2171.36","Course n°1 | Finale B"
"Quentin Henri","K1H","95.25","406.14","356.69","Course n°1 | Finale B"
"Cedric Mace","K1H","99.74","316.44","419.9","Course n°1 | Finale B"
"Julien Michelin","K1H","107.57","481.28","530.12","Course n°1 | Finale B"
"Loic Merat","K1H","108.5","724.01","543.21","Course n°1 | Finale B"
"Gerard Lafargue","K1H","110.4","530","569.96","Course n°1 | Finale B"
"Alexis Gombert","K1H","113.27","573.2","610.36","Course n°1 | Finale B"
"Dylan Simon","K1H","114.06","759.51","621.48","Course n°1 | Finale B"
"Leo Bayard","K1H","114.38","665.73","625.98","Course n°1 | Finale B"
"Yunus Polat","K1H","117.8","1226.43","674.13","Course n°1 | Finale B"
"Alexandre Lambert","K1H","119.94","686.8","704.25","Course n°1 | Finale B"
"Juan Guerrero","K1H","121.35","619.28","724.1","Course n°1 | Finale B"
"Remi Hervieux","K1H","122.69","2181.91","742.97","Course n°1 | Finale B"
"Julien Prompt","K1H","125.55","1669.16","783.23","Course n°1 | Finale B"
"Joshua Ravet","K1H","126.12","807.07","791.25","Course n°1 | Finale B"
"Gerald Oudin","K1H","131.27","876.79","863.75","Course n°1 | Finale B"
"Barnabe Sennelier","K1H","132.69","844.76","883.74","Course n°1 | Finale B"
"Christophe Come","K1H","138.74","1143.75","968.9","Course n°1 | Finale B"
"Arnaud Geoffroy","K1H","143.88","1554.58","1041.26","Course n°1 | Finale B"
"Kevin Ferrando","K1H","153.91","3167.44","1182.45","Course n°1 | Finale B"
"Alexis Pacholak","K1H","155.53","260.31","1205.26","Course n°1 | Finale B"
"Anthony Dubois","K1H","172.98","1123.67","1450.9","Course n°1 | Finale B"
"Lucas Lelarge","K1H","183.22","2275.7","1595.05","Course n°1 | Finale B"
"Gaetan Cornu","K1H","236.1","704.04","2339.45","Course n°1 | Finale B"
"Guillaume Billard","K1H","245.96","1647.77","2478.25","Course n°1 | Finale B"
"Hugo Favrelle","K1H","258.05","2311.8","2648.44","Course n°1 | Finale B"
"Mickael Dubois","K1H","Des","-","-","Course n°1 | Finale B"
"Theo Siguret","K1HM","120.84","794.25","716.92","Course n°1 | Finale B"
"Valentin Oudin","K1HM","121.03","893.12","719.6","Course n°1 | Finale B"
"Mathieu Benkaroun","K1HM","128.45","988.8","824.05","Course n°1 | Finale B"
"Guillaume Cazenave","K1HM","137.79","759.57","955.53","Course n°1 | Finale B"
"Nolann Besnard","K1HM","146.64","944.9","1080.11","Course n°1 | Finale B"
"Maxime Paumier","K1HM","173.3","1133.94","1455.41","Course n°1 | Finale B"
"Thibaut Boudier","K1HM","177.08","671.3","1508.62","Course n°1 | Finale B"
"Alexandre Paumier","K1HM","Des","-","-","Course n°1 | Finale B"
