"Sélectif Régional de Slalom - Pont Querra Bassin Slalom - Finale - 2017-01-08","Finale","2017-01-08","Régional","91"
"Noe Dubois","K1HM","130.16","-","719.09","Finale A"
"Victor Robert","K1HM","132.09","718.91","743.95","Finale A"
"Yaniss Marelle","K1HM","135.26","-","784.8","Finale A"
"Ewann Hervouet","K1HM","140.09","-","847.04","Finale A"
"Alistair Leprince","K1HM","141.31","-","862.76","Finale A"
"Didier Botrel","C1H","119.08","339.1","508.26","Finale B"
"Thomas Ollivo","C1H","128.34","577.76","621.89","Finale B"
"Simon Rolland","C1H","135.62","588.63","711.23","Finale B"
"Anthony Guyomard","C1H","135.68","723.94","711.96","Finale B"
"Hugo Robert","C1H","142.23","728.36","792.34","Finale B"
"Taelle Cardin","K1D","129.99","525.17","529.2","Finale B"
"Bleuenn Le Foll","K1D","134.84","627.47","584.5","Finale B"
"Deborah Larsonneur","K1D","136.12","564","599.1","Finale B"
"Adele Le Duc","K1DM","141.23","-","657.37","Finale B"
"Lucie Broudic","K1DM","166.61","-","946.77","Finale B"
"Ewen Berrest","K1H","103.29","354.05","377.86","Finale B"
"Brice Derrien","K1H","105.03","373.18","400.28","Finale B"
"Regis Cabel","K1H","106.61","293.18","420.64","Finale B"
"Valentin Rault","K1H","106.77","380.25","422.7","Finale B"
"Theo Rose","K1H","109.7","393.19","460.45","Finale B"
"Simon Rolland","K1H","111.44","400.37","482.87","Finale B"
"Lilian Bald","K1H","112.17","433.39","492.28","Finale B"
"Clement Lucas","K1H","113.29","-","506.71","Finale B"
"Yannis Houze","K1H","114.59","494.83","523.46","Finale B"
"Mael Monjaret","K1H","115.18","507.33","531.07","Finale B"
"Daneric Ollivier","K1H","116.84","425.21","552.45","Finale B"
"Thibault Hamon","K1H","117.65","-","562.89","Finale B"
"Elouan Le Fournis","K1H","118.06","485.35","568.17","Finale B"
"Hugo Robert","K1H","121.77","540.48","615.98","Finale B"
"Samuel Piton","K1H","122","580.51","618.94","Finale B"
"Luck Thomas","K1H","123.13","564.85","633.5","Finale B"
"Anthony Guyomard","K1H","125.51","613.85","664.17","Finale B"
"Titouan Le Jeune","K1H","129.79","699.7","719.32","Finale B"
"Mathis Guilleray","K1H","133.67","-","769.31","Finale B"
"Ylan Penvenne","K1HM","129.38","-","714.04","Finale B"
"Louis Nivet","K1HM","134.82","-","784.13","Finale B"
